date,open,high,low,close,volume,adjusted_close
2021-01-04,74.29,74.58,73.72,74.15,4476936,74.15
2021-01-05,75.96,76.07,75.35,75.71,7085115,75.71
2021-01-06,76.9,77.24,76.54,76.89,3856362,76.89
2021-01-07,75.29,76.16,74.84,75.5,2465944,75.5
2021-01-08,75.19,75.4,74.54,74.97,7191985,74.97
2021-01-11,76.35,76.98,75.48,76.23,3069568,76.23
2021-01-12,74.95,75.87,74.61,75.24,3845937,75.24
2021-01-13,74.5,74.77,73.19,73.98,2993433,73.98
2021-01-14,75.42,75.65,75.01,75.33,1533254,75.33
2021-01-15,76.18,76.51,75.55,76.03,9229096,76.03
2021-01-19,77.71,77.85,77.05,77.45,1931673,77.45
2021-01-20,75.87,76.68,75.2,75.94,3738515,75.94
2021-01-21,78.0,78.21,77.39,77.8,5490225,77.8
2021-01-22,77.13,77.75,76.31,77.03,1742207,77.03
2021-01-25,74.98,75.73,74.03,74.88,8297246,74.88
2021-01-26,76.13,77.06,75.92,76.49,3320568,76.49
2021-01-27,77.9,78.48,77.2,77.84,6660285,77.84
2021-01-28,75.88,76.1,75.44,75.77,4339257,75.77
2021-01-29,75.19,75.3,74.7,75.0,6272551,75.0
2021-02-01,77.88,78.19,76.65,77.42,7027270,77.42
2021-02-02,74.72,75.25,74.51,74.88,2080818,74.88
2021-02-03,75.49,76.29,74.91,75.6,8911952,75.6
2021-02-04,76.42,77.79,76.23,77.01,9182722,77.01
2021-02-05,77.65,78.11,76.95,77.53,6201970,77.53
2021-02-08,75.75,76.7,75.6,76.15,5673364,76.15
2021-02-09,76.69,77.31,76.19,76.75,5005715,76.75
2021-02-10,78.36,78.47,77.81,78.14,7606154,78.14
2021-02-11,76.66,77.54,75.88,76.71,6484837,76.71
2021-02-12,79.17,79.63,78.43,79.03,9575572,79.03
2021-02-16,78.01,78.7,77.38,78.04,3428838,78.04
2021-02-17,78.24,79.08,77.8,78.44,8372584,78.44
2021-02-18,77.49,78.35,77.25,77.8,5308012,77.8
2021-02-19,76.73,77.53,76.37,76.95,7562421,76.95
2021-02-22,76.67,77.3,76.6,76.95,9071760,76.95
2021-02-23,78.31,78.51,76.73,77.62,4765599,77.62
2021-02-24,77.02,77.78,76.7,77.24,1743060,77.24
2021-02-25,78.6,79.04,77.94,78.49,8609010,78.49
2021-02-26,78.31,78.82,77.28,78.05,8699817,78.05
2021-03-01,79.24,79.42,77.78,78.6,6184079,78.6
2021-03-02,78.91,79.81,78.31,79.06,5581310,79.06
2021-03-03,76.79,77.65,76.41,77.03,5850581,77.03
2021-03-04,77.14,77.71,76.33,77.02,5558449,77.02
2021-03-05,76.67,78.01,76.43,77.22,9656325,77.22
2021-03-08,78.49,79.35,78.23,78.79,4526413,78.79
2021-03-09,77.82,78.07,76.67,77.37,2528952,77.37
2021-03-10,78.97,79.48,78.46,78.97,8535800,78.97
2021-03-11,76.91,77.16,76.22,76.69,6591343,76.69
2021-03-12,79.83,80.13,78.63,79.38,9995510,79.38
2021-03-15,77.88,78.32,77.04,77.68,4286936,77.68
2021-03-16,79.56,80.11,78.77,79.44,2224689,79.44
2021-03-17,77.96,78.27,77.27,77.77,8282699,77.77
2021-03-18,79.07,79.54,78.06,78.8,7718058,78.8
2021-03-19,76.98,77.9,76.72,77.31,4377372,77.31
2021-03-22,77.79,78.03,77.41,77.72,7085251,77.72
2021-03-23,80.56,80.92,80.06,80.49,9330528,80.49
2021-03-24,80.66,80.92,79.74,80.33,8420868,80.33
2021-03-25,80.18,80.61,79.17,79.89,2206700,79.89
2021-03-26,81.28,81.54,80.24,80.89,2375830,80.89
2021-03-29,79.52,79.84,78.94,79.39,3488534,79.39
2021-03-30,79.01,79.45,78.23,78.84,9004774,78.84
2021-03-31,78.86,80.1,78.62,79.36,1982006,79.36
2021-04-01,80.6,80.92,80.12,80.52,7837170,80.52
2021-04-05,77.57,78.74,77.12,77.93,6200578,77.93
2021-04-06,78.52,78.7,77.24,77.97,9895758,77.97
2021-04-07,80.84,81.48,80.62,81.05,2255776,81.05
2021-04-08,77.79,78.71,77.39,78.05,8240740,78.05
2021-04-09,80.37,80.87,79.19,80.03,5596780,80.03
2021-04-12,80.21,80.59,79.31,79.95,9979180,79.95
2021-04-13,78.73,79.35,78.55,78.95,9726172,78.95
2021-04-14,82.02,82.27,81.23,81.75,6050946,81.75
2021-04-15,79.27,80.82,79.02,79.92,8156244,79.92
2021-04-16,78.51,79.21,78.33,78.77,9979531,78.77
2021-04-19,81.64,82.07,81.13,81.6,9341084,81.6
2021-04-20,82.06,82.8,81.12,81.96,7860926,81.96
2021-04-21,79.3,80.44,79.0,79.72,6779451,79.72
2021-04-22,80.96,81.51,80.13,80.82,8603090,80.82
2021-04-23,82.68,82.86,82.06,82.46,6473268,82.46
2021-04-26,81.68,82.11,80.45,81.28,4648624,81.28
2021-04-27,80.99,81.25,80.59,80.92,2840851,80.92
2021-04-28,80.72,81.11,79.93,80.52,8591017,80.52
2021-04-29,80.65,81.43,79.81,80.62,8852522,80.62
2021-04-30,82.35,83.01,81.17,82.09,7144294,82.09
2021-05-03,82.28,82.48,81.04,81.76,7243596,81.76
2021-05-04,81.07,81.55,80.23,80.89,7584934,80.89
2021-05-05,79.99,80.16,78.66,79.41,7507759,79.41
2021-05-06,82.2,82.87,82.13,82.5,2069360,82.5
2021-05-07,83.51,83.97,82.81,83.39,2957810,83.39
2021-05-10,83.36,83.97,82.07,83.02,5521898,83.02
2021-05-11,82.49,82.98,82.12,82.55,2090673,82.55
2021-05-12,82.09,82.68,81.68,82.18,1522191,82.18
2021-05-13,81.14,82.07,80.43,81.25,2261073,81.25
2021-05-14,82.4,82.62,81.66,82.14,5442387,82.14
2021-05-17,82.15,83.33,81.59,82.46,8002582,82.46
2021-05-18,83.56,84.17,83.41,83.79,9063210,83.79
2021-05-19,82.34,82.58,81.64,82.11,4917184,82.11
2021-05-20,81.59,82.22,80.38,81.3,6437896,81.3
2021-05-21,82.71,83.22,82.44,82.83,5792665,82.83
2021-05-24,84.51,84.95,83.43,84.19,2976301,84.19
2021-05-25,82.57,83.02,82.12,82.57,8042280,82.57
2021-05-26,81.79,82.44,80.9,81.67,2607808,81.67
2021-05-27,83.0,83.22,82.24,82.73,4218788,82.73
2021-05-28,83.64,84.23,82.95,83.59,1569724,83.59
2021-06-01,81.06,81.71,80.85,81.28,4887375,81.28
2021-06-02,83.39,84.83,83.11,83.97,4645926,83.97
2021-06-03,83.89,84.39,83.03,83.71,4099733,83.71
2021-06-04,80.82,81.16,80.36,80.76,9890368,80.76
2021-06-07,84.67,85.03,84.09,84.56,6712132,84.56
2021-06-08,83.0,83.38,82.68,83.03,8461555,83.03
2021-06-09,82.7,83.12,81.94,82.53,2740614,82.53
2021-06-10,81.6,81.94,81.14,81.54,6670368,81.54
2021-06-11,83.62,84.48,82.82,83.65,2119318,83.65
2021-06-14,84.56,84.92,83.86,84.39,5089896,84.39
2021-06-15,83.05,83.33,81.83,82.58,7163351,82.58
2021-06-16,85.24,85.97,84.31,85.14,5043566,85.14
2021-06-17,83.0,83.41,81.61,82.51,8266387,82.51
2021-06-18,82.61,83.56,82.44,83.0,5281605,83.0
2021-06-21,85.05,85.79,84.49,85.14,2127873,85.14
2021-06-22,81.54,82.26,80.9,81.58,3372437,81.58
2021-06-23,81.94,82.68,81.2,81.94,9107400,81.94
2021-06-24,81.69,82.29,81.31,81.8,4966189,81.8
2021-06-25,82.93,83.19,81.87,82.53,6664230,82.53
2021-06-28,82.07,83.32,81.76,82.54,2110010,82.54
2021-06-29,85.53,86.37,85.17,85.77,7470260,85.77
2021-06-30,85.78,85.97,84.73,85.35,4202715,85.35
2021-07-01,86.21,86.67,84.91,85.79,6268224,85.79
2021-07-02,82.84,83.65,82.21,82.93,4625394,82.93
2021-07-06,82.85,83.58,82.7,83.14,6007527,83.14
2021-07-07,85.17,85.75,84.09,84.92,7121815,84.92
2021-07-08,83.56,83.79,82.81,83.3,2113587,83.3
2021-07-09,85.08,86.08,84.76,85.42,8920174,85.42
2021-07-12,83.93,84.39,83.11,83.75,4659574,83.75
2021-07-13,84.61,85.4,84.16,84.78,6714666,84.78
2021-07-14,85.97,86.31,85.19,85.75,8689500,85.75
2021-07-15,86.25,86.66,85.76,86.21,4775324,86.21
2021-07-16,85.24,86.25,84.77,85.51,7281942,85.51
2021-07-19,84.39,84.69,83.93,84.31,5401411,84.31
2021-07-20,84.49,84.83,83.53,84.18,7666624,84.18
2021-07-21,85.02,85.35,84.25,84.8,4087100,84.8
2021-07-22,87.0,87.66,86.02,86.84,5137010,86.84
2021-07-23,87.44,87.65,85.75,86.7,8976239,86.7
2021-07-26,85.82,86.26,84.9,85.58,5339178,85.58
2021-07-27,87.12,88.32,86.68,87.5,6969457,87.5
2021-07-28,85.66,87.31,85.37,86.34,7428245,86.34
2021-07-29,83.84,85.32,83.58,84.45,5440325,84.45
2021-07-30,86.79,87.0,85.98,86.49,9437189,86.49
2021-08-02,86.96,87.24,85.48,86.36,4109274,86.36
2021-08-03,87.41,88.53,87.11,87.82,7845131,87.82
2021-08-04,86.19,86.91,85.11,86.01,6912130,86.01
2021-08-05,85.27,86.38,84.72,85.55,2501863,85.55
2021-08-06,84.98,85.5,83.72,84.61,7601581,84.61
2021-08-09,83.73,84.75,83.21,83.98,7758504,83.98
2021-08-10,84.53,84.67,83.71,84.19,7661435,84.19
2021-08-11,85.86,86.0,85.12,85.56,2604874,85.56
2021-08-12,86.42,87.05,85.19,86.12,5439736,86.12
2021-08-13,85.31,85.82,84.78,85.3,5362441,85.3
2021-08-16,86.4,86.7,85.14,85.92,8773351,85.92
2021-08-17,86.17,86.62,84.68,85.65,8970147,85.65
2021-08-18,88.24,88.47,87.03,87.75,3417034,87.75
2021-08-19,86.79,87.67,85.83,86.75,6134682,86.75
2021-08-20,87.58,87.84,86.24,87.04,3531754,87.04
2021-08-23,86.28,87.02,85.82,86.42,6274908,86.42
2021-08-24,85.82,87.01,85.15,86.08,2816986,86.08
2021-08-25,86.88,87.07,85.45,86.26,5759358,86.26
2021-08-26,84.05,85.58,83.88,84.73,7060720,84.73
2021-08-27,88.16,88.28,87.24,87.76,9199838,87.76
2021-08-30,89.43,89.96,87.98,88.97,5738543,88.97
2021-08-31,85.92,86.18,85.1,85.64,3072946,85.64
2021-09-01,85.46,86.54,84.74,85.64,3928830,85.64
2021-09-02,88.85,89.63,88.61,89.12,6953934,89.12
2021-09-03,87.68,88.31,87.55,87.93,9186807,87.93
2021-09-07,87.5,87.92,87.02,87.47,6071723,87.47
2021-09-08,87.87,88.2,86.64,87.42,7951749,87.42
2021-09-09,86.12,86.78,85.66,86.22,6747151,86.22
2021-09-10,88.13,88.6,87.78,88.19,8225713,88.19
2021-09-13,87.54,89.24,87.26,88.25,5153844,88.25
2021-09-14,87.55,88.01,86.53,87.27,1799339,87.27
2021-09-15,86.63,87.1,86.36,86.73,7217706,86.73
2021-09-16,85.95,86.93,85.05,85.99,7182838,85.99
2021-09-17,87.31,88.93,87.03,87.98,6750485,87.98
2021-09-20,88.79,89.21,87.19,88.2,2578149,88.2
2021-09-21,88.1,88.5,87.7,88.1,7228360,88.1
2021-09-22,88.79,89.43,88.67,89.05,6626806,89.05
2021-09-23,86.86,88.18,86.66,87.42,4953043,87.42
2021-09-24,89.37,90.15,88.79,89.47,7251073,89.47
2021-09-27,89.99,90.7,89.54,90.12,8765549,90.12
2021-09-28,87.48,88.5,86.86,87.68,3908908,87.68
2021-09-29,88.63,89.03,87.11,88.07,8100789,88.07
2021-09-30,89.66,90.32,89.1,89.71,2893956,89.71
2021-10-01,87.73,89.04,87.08,88.06,8271943,88.06
2021-10-04,88.55,90.08,88.24,89.16,7504727,89.16
2021-10-05,90.47,91.43,89.93,90.68,5479386,90.68
2021-10-06,87.5,87.89,86.81,87.35,3543494,87.35
2021-10-07,89.76,90.81,89.63,90.22,2336401,90.22
2021-10-08,89.04,89.18,88.46,88.82,4827350,88.82
2021-10-11,88.3,89.48,88.12,88.8,5223923,88.8
2021-10-12,87.84,88.32,87.2,87.76,5395247,87.76
2021-10-13,88.35,89.01,87.55,88.28,7136285,88.28
2021-10-14,89.12,89.97,88.27,89.12,9147560,89.12
2021-10-15,90.25,91.04,90.0,90.52,9675934,90.52
2021-10-18,89.27,89.48,88.52,89.0,6919428,89.0
2021-10-19,87.41,88.73,87.21,87.97,5469843,87.97
2021-10-20,88.06,89.18,87.74,88.46,2619932,88.46
2021-10-21,88.35,89.23,87.23,88.23,6446446,88.23
2021-10-22,90.2,91.66,89.72,90.69,8495935,90.69
2021-10-25,89.36,89.52,88.4,88.96,3505196,88.96
2021-10-26,91.28,92.92,91.06,91.99,8961922,91.99
2021-10-27,92.21,92.86,91.2,92.03,2705251,92.03
2021-10-28,88.75,89.62,88.58,89.1,3002086,89.1
2021-10-29,90.34,91.8,90.0,90.9,3970569,90.9
2021-11-01,88.55,89.3,88.28,88.79,8309536,88.79
2021-11-02,89.73,90.02,88.92,89.47,5174144,89.47
2021-11-03,89.99,90.86,89.28,90.07,9073395,90.07
2021-11-04,91.07,92.65,90.75,91.7,3685527,91.7
2021-11-05,88.8,89.85,88.07,88.96,7349471,88.96
2021-11-08,91.31,92.45,90.41,91.43,3029394,91.43
2021-11-09,92.78,93.41,91.71,92.56,8403653,92.56
2021-11-10,89.29,89.39,88.51,88.95,5267519,88.95
2021-11-11,89.57,90.7,89.44,90.07,7567760,90.07
2021-11-12,89.84,90.89,89.19,90.04,4464108,90.04
2021-11-15,92.72,93.3,91.8,92.55,6847331,92.55
2021-11-16,91.07,91.97,90.93,91.45,3042083,91.45
2021-11-17,90.73,91.89,90.25,91.07,4126899,91.07
2021-11-18,88.77,90.18,88.54,89.36,2986804,89.36
2021-11-19,89.79,90.15,89.27,89.71,6791569,89.71
2021-11-22,92.53,93.55,92.21,92.88,5856814,92.88
2021-11-23,91.62,92.35,91.45,91.9,8946969,91.9
2021-11-24,89.73,90.57,88.51,89.54,9859649,89.54
2021-11-26,90.75,92.55,90.53,91.54,7154241,91.54
2021-11-29,92.57,93.54,91.86,92.7,3292752,92.7
2021-11-30,89.76,90.78,89.52,90.15,2234809,90.15
2021-12-01,90.42,91.06,89.96,90.51,3431392,90.51
2021-12-02,92.15,92.44,91.18,91.81,1983107,91.81
2021-12-03,91.45,91.95,91.15,91.55,9374908,91.55
2021-12-06,90.27,90.9,89.5,90.2,8034125,90.2
2021-12-07,91.32,92.1,90.7,91.4,4942274,91.4
2021-12-08,92.12,92.5,91.34,91.92,1953897,91.92
2021-12-09,93.92,94.35,93.51,93.93,8341959,93.93
2021-12-10,94.16,94.74,93.86,94.3,2803064,94.3
2021-12-13,90.91,92.14,90.16,91.15,8052588,91.15
2021-12-14,93.92,94.14,93.12,93.63,4775428,93.63
2021-12-15,94.11,94.67,92.79,93.73,8046620,93.73
2021-12-16,92.87,93.65,92.53,93.09,1824340,93.09
2021-12-17,91.27,92.11,90.93,91.52,4107699,91.52
2021-12-20,93.13,94.05,92.77,93.41,9797858,93.41
2021-12-21,91.96,92.18,91.08,91.63,1691590,91.63
2021-12-22,94.34,94.45,93.53,93.99,2564318,93.99
2021-12-23,90.85,91.58,90.28,90.93,4553714,90.93
2021-12-27,92.36,93.53,92.01,92.77,6749533,92.77
2021-12-28,94.2,94.42,92.86,93.64,2719036,93.64
2021-12-29,90.49,91.27,90.23,90.75,7662735,90.75
2021-12-30,93.02,93.86,91.82,92.84,8143089,92.84
2021-12-31,91.78,92.14,91.22,91.68,1947171,91.68
2022-01-03,92.87,93.78,92.68,93.23,5902087,93.23
2022-01-04,92.25,93.45,91.81,92.63,6832097,92.63
2022-01-05,91.91,93.01,91.31,92.16,3571705,92.16
2022-01-06,90.99,91.74,90.32,91.03,2756677,91.03
2022-01-07,90.53,91.78,89.8,90.79,8304187,90.79
2022-01-10,91.73,93.09,91.17,92.13,9936979,92.13
2022-01-11,94.44,94.73,93.67,94.2,9558783,94.2
2022-01-12,92.16,92.86,91.34,92.1,7602684,92.1
2022-01-13,93.54,94.5,92.78,93.64,9190754,93.64
2022-01-14,91.04,91.85,90.89,91.37,9602726,91.37
2022-01-18,91.2,91.75,90.87,91.31,5835467,91.31
2022-01-19,89.76,90.33,89.59,89.96,7446253,89.96
2022-01-20,92.81,92.94,91.74,92.34,6359199,92.34
2022-01-21,90.38,90.87,90.09,90.48,7194907,90.48
2022-01-24,90.05,91.08,89.36,90.22,1726910,90.22
2022-01-25,89.91,90.56,89.8,90.18,8816004,90.18
2022-01-26,91.05,91.29,90.21,90.75,9629988,90.75
2022-01-27,87.73,88.67,87.61,88.14,3773041,88.14
2022-01-28,89.77,91.18,89.22,90.2,9365938,90.2
2022-01-31,88.49,89.43,87.69,88.56,8580116,88.56
2022-02-01,88.21,88.83,87.73,88.28,8746594,88.28
2022-02-02,89.65,89.93,88.29,89.11,5875753,89.11
2022-02-03,86.86,87.73,86.37,87.05,5924426,87.05
2022-02-04,89.76,89.99,89.15,89.57,8567663,89.57
2022-02-07,87.03,87.7,86.42,87.06,4001718,87.06
2022-02-08,87.31,87.73,87.03,87.38,4611150,87.38
2022-02-09,88.16,88.96,87.8,88.38,8593301,88.38
2022-02-10,86.62,87.54,85.84,86.69,6246916,86.69
2022-02-11,88.19,88.43,87.01,87.72,6041033,87.72
2022-02-14,88.36,89.93,87.99,88.96,4835289,88.96
2022-02-15,88.33,88.52,87.44,87.98,6537992,87.98
2022-02-16,86.99,87.22,85.44,86.33,4558877,86.33
2022-02-17,85.82,86.44,85.74,86.09,7415202,86.09
2022-02-18,86.74,87.41,86.13,86.77,3707718,86.77
2022-02-22,88.01,88.96,87.24,88.1,6466115,88.1
2022-02-23,85.05,85.59,84.13,84.86,1506293,84.86
2022-02-24,88.59,89.28,87.6,88.44,2021809,88.44
2022-02-25,89.27,89.51,87.77,88.64,3851916,88.64
2022-02-28,87.51,88.37,87.37,87.87,2338884,87.87
2022-03-01,87.27,87.54,86.8,87.17,6878054,87.17
2022-03-02,84.14,84.72,83.82,84.27,8588826,84.27
2022-03-03,86.87,88.09,86.21,87.15,8827785,87.15
2022-03-04,84.96,85.43,84.13,84.78,5065174,84.78
2022-03-07,83.12,83.73,83.05,83.39,2386401,83.39
2022-03-08,87.04,87.59,86.87,87.23,5468653,87.23
2022-03-09,87.05,87.79,86.59,87.19,6584908,87.19
2022-03-10,84.55,84.81,83.87,84.34,7808382,84.34
2022-03-11,87.29,87.96,86.2,87.08,6118772,87.08
2022-03-14,82.85,84.1,82.24,83.17,7728343,83.17
2022-03-15,86.85,87.1,85.9,86.5,6195109,86.5
2022-03-16,83.9,84.38,82.6,83.49,3795583,83.49
2022-03-17,83.53,84.52,83.24,83.88,6752973,83.88
2022-03-18,85.18,85.68,84.52,85.1,6881807,85.1
2022-03-21,85.79,86.81,84.85,85.83,3728998,85.83
2022-03-22,85.44,85.75,84.33,85.04,5233188,85.04
2022-03-23,82.22,83.36,81.58,82.47,5966186,82.47
2022-03-24,85.6,85.85,84.87,85.36,2179584,85.36
2022-03-25,83.84,84.37,83.27,83.82,5575802,83.82
2022-03-28,84.13,84.91,83.85,84.38,8374096,84.38
