date,open,high,low,close,volume,adjusted_close
2021-01-04,76.68,76.86,75.86,76.36,5962552,76.36
2021-01-05,78.79,79.05,77.53,78.29,7403113,78.29
2021-01-06,76.35,76.83,75.51,76.17,4149894,76.17
2021-01-07,76.81,77.1,76.0,76.55,9471264,76.55
2021-01-08,77.35,77.61,75.97,76.79,5688634,76.79
2021-01-11,77.48,78.6,77.34,77.97,6016481,77.97
2021-01-12,78.46,78.84,77.58,78.21,6840780,78.21
2021-01-13,76.9,77.13,76.37,76.75,5130220,76.75
2021-01-14,79.32,80.06,79.04,79.55,8686097,79.55
2021-01-15,76.63,76.9,75.2,76.05,3641594,76.05
2021-01-19,77.67,78.06,76.94,77.5,1795015,77.5
2021-01-20,78.81,79.53,78.23,78.88,9776835,78.88
2021-01-21,78.22,78.9,77.36,78.13,5139566,78.13
2021-01-22,77.54,77.69,77.01,77.35,4753908,77.35
2021-01-25,78.14,79.03,77.53,78.28,9209311,78.28
2021-01-26,79.63,80.34,78.8,79.57,2472364,79.57
2021-01-27,79.72,80.17,79.17,79.67,8226845,79.67
2021-01-28,80.42,80.74,79.8,80.27,8430136,80.27
2021-01-29,78.87,79.45,78.39,78.92,8009555,78.92
2021-02-01,77.82,77.94,77.12,77.53,3808475,77.53
2021-02-02,78.69,79.46,78.6,79.03,8942080,79.03
2021-02-03,78.31,79.51,77.89,78.7,6359776,78.7
2021-02-04,80.36,80.85,80.05,80.45,2808269,80.45
2021-02-05,80.76,81.07,79.37,80.22,6475032,80.22
2021-02-08,79.71,80.03,78.63,79.33,5607747,79.33
2021-02-09,80.61,81.4,80.12,80.76,9575628,80.76
2021-02-10,78.79,79.79,78.51,79.15,8525132,79.15
2021-02-11,79.68,81.01,79.31,80.16,2643532,80.16
2021-02-12,80.27,80.72,79.28,80.0,2821499,80.0
2021-02-16,78.66,79.32,77.78,78.55,9701967,78.55
2021-02-17,80.7,81.29,80.61,80.95,4058803,80.95
2021-02-18,77.66,78.66,77.04,77.85,7672828,77.85
2021-02-19,79.59,80.0,79.26,79.63,2117314,79.63
2021-02-22,79.26,79.57,77.83,78.7,1583592,78.7
2021-02-23,78.88,79.3,77.8,78.55,1707662,78.55
2021-02-24,78.26,78.61,77.75,78.18,6547329,78.18
2021-02-25,81.12,82.02,80.88,81.45,5354411,81.45
2021-02-26,78.04,78.63,77.73,78.18,6034584,78.18
2021-03-01,80.43,80.54,79.6,80.07,2093838,80.07
2021-03-02,80.8,81.15,80.15,80.65,8790695,80.65
2021-03-03,78.77,79.51,78.23,78.87,8282432,78.87
2021-03-04,80.67,80.96,80.26,80.61,9514608,80.61
2021-03-05,81.68,81.95,80.13,81.04,3220395,81.04
2021-03-08,78.8,79.72,78.66,79.19,8324803,79.19
2021-03-09,79.54,80.58,78.82,79.7,3251791,79.7
2021-03-10,81.29,82.33,80.87,81.6,4137699,81.6
2021-03-11,81.14,81.51,80.79,81.15,3835558,81.15
2021-03-12,81.58,81.79,81.05,81.42,5023661,81.42
2021-03-15,79.86,80.61,79.19,79.9,4716197,79.9
2021-03-16,82.14,82.76,81.66,82.21,7682354,82.21
2021-03-17,81.33,81.51,80.71,81.11,8045268,81.11
2021-03-18,81.46,82.32,80.52,81.42,3234042,81.42
2021-03-19,81.64,82.33,81.05,81.69,3647876,81.69
2021-03-22,81.91,82.75,81.11,81.93,5676119,81.93
2021-03-23,82.73,83.07,82.13,82.6,9886134,82.6
2021-03-24,79.28,80.03,78.89,79.46,6413864,79.46
2021-03-25,79.31,79.81,78.43,79.12,9447894,79.12
2021-03-26,80.27,80.97,79.41,80.19,3945965,80.19
2021-03-29,81.47,82.05,80.57,81.31,2943651,81.31
2021-03-30,80.18,81.14,79.66,80.4,8985705,80.4
2021-03-31,79.2,80.34,78.66,79.5,4614582,79.5
2021-04-01,82.0,83.29,81.61,82.45,3612173,82.45
2021-04-05,82.14,82.84,81.32,82.08,5258604,82.08
2021-04-06,82.23,82.98,81.9,82.44,9350901,82.44
2021-04-07,79.22,80.04,78.82,79.43,9454823,79.43
2021-04-08,82.5,83.73,81.89,82.81,2477943,82.81
2021-04-09,80.88,81.35,79.83,80.59,6531259,80.59
2021-04-12,82.36,83.69,82.05,82.87,7754169,82.87
2021-04-13,80.12,80.73,78.93,79.83,5062696,79.83
2021-04-14,82.28,82.53,80.85,81.69,4811275,81.69
2021-04-15,81.89,82.52,81.64,82.08,6361778,82.08
2021-04-16,81.08,81.54,80.2,80.87,5674936,80.87
2021-04-19,83.61,84.14,82.3,83.22,4685341,83.22
2021-04-20,81.55,82.02,81.14,81.58,1911077,81.58
2021-04-21,83.24,83.9,82.82,83.36,8454749,83.36
2021-04-22,83.97,84.54,83.64,84.09,1555227,84.09
2021-04-23,83.22,84.31,82.85,83.58,2787295,83.58
2021-04-26,81.0,81.83,80.21,81.02,3450119,81.02
2021-04-27,80.4,80.81,80.03,80.42,9057718,80.42
2021-04-28,84.62,84.94,83.74,84.34,9989663,84.34
2021-04-29,82.06,83.54,81.86,82.7,3121522,82.7
2021-04-30,81.15,82.23,80.95,81.59,5163526,81.59
2021-05-03,81.49,81.93,80.29,81.11,8311823,81.11
2021-05-04,83.47,84.13,83.29,83.71,7196971,83.71
2021-05-05,84.14,84.35,83.25,83.8,7802151,83.8
2021-05-06,83.04,83.17,82.21,82.69,6083436,82.69
2021-05-07,81.81,82.11,80.93,81.52,3862465,81.52
2021-05-10,83.96,84.2,82.84,83.52,5940232,83.52
2021-05-11,83.98,84.11,83.23,83.67,4985675,83.67
2021-05-12,82.34,82.92,82.12,82.52,8684417,82.52
2021-05-13,82.67,83.53,81.91,82.72,7078117,82.72
2021-05-14,84.27,84.64,83.7,84.17,7650531,84.17
2021-05-17,81.51,81.9,81.22,81.56,8759153,81.56
2021-05-18,82.45,83.05,82.33,82.69,5290407,82.69
2021-05-19,82.96,83.57,82.89,83.23,5843201,83.23
2021-05-20,82.96,84.54,82.64,83.59,4533847,83.59
2021-05-21,82.79,83.13,81.59,82.36,8945108,82.36
2021-05-24,83.58,84.51,83.01,83.76,1837948,83.76
2021-05-25,82.97,83.59,82.01,82.8,6289011,82.8
2021-05-26,82.46,82.91,82.19,82.55,9178908,82.55
2021-05-27,85.64,86.06,84.3,85.18,1651026,85.18
2021-05-28,82.93,83.18,81.4,82.29,5280236,82.29
2021-06-01,83.72,83.89,82.59,83.24,8361677,83.24
2021-06-02,82.46,83.31,82.23,82.77,3115851,82.77
2021-06-03,83.49,83.66,82.72,83.19,7907432,83.19
2021-06-04,84.18,84.78,83.48,84.13,4817324,84.13
2021-06-07,83.83,84.86,83.48,84.17,4166335,84.17
2021-06-08,83.11,83.9,82.86,83.38,7722094,83.38
2021-06-09,84.83,85.58,84.66,85.12,7327529,85.12
2021-06-10,85.9,86.33,85.07,85.7,6780616,85.7
2021-06-11,85.28,85.65,84.71,85.18,7840531,85.18
2021-06-14,85.98,86.39,85.49,85.94,6106925,85.94
2021-06-15,82.4,82.99,81.99,82.49,6412191,82.49
2021-06-16,84.64,85.7,84.3,85.0,4585134,85.0
2021-06-17,84.95,85.87,84.33,85.1,3974750,85.1
2021-06-18,86.22,86.88,84.94,85.91,3333896,85.91
2021-06-21,84.26,84.71,83.75,84.23,4657883,84.23
2021-06-22,84.08,85.12,83.22,84.17,1500195,84.17
2021-06-23,83.9,84.4,83.54,83.97,9044272,83.97
2021-06-24,82.52,83.36,82.26,82.81,5663054,82.81
2021-06-25,85.85,86.93,85.25,86.09,5244666,86.09
2021-06-28,83.63,85.12,83.28,84.2,9636489,84.2
2021-06-29,86.72,87.69,86.45,87.07,7321612,87.07
2021-06-30,85.61,86.5,84.6,85.55,5864843,85.55
2021-07-01,84.99,86.21,84.67,85.44,7738651,85.44
2021-07-02,84.92,85.88,84.7,85.29,4845209,85.29
2021-07-06,86.46,87.35,85.41,86.38,7836444,86.38
2021-07-07,83.17,84.17,82.51,83.34,1924270,83.34
2021-07-08,85.45,86.48,84.76,85.62,9262270,85.62
2021-07-09,85.79,86.1,84.38,85.24,8168472,85.24
2021-07-12,85.36,85.73,83.95,84.84,8817429,84.84
2021-07-13,85.92,87.05,85.41,86.23,5829861,86.23
2021-07-14,85.5,86.94,85.0,85.97,7940896,85.97
2021-07-15,87.36,87.76,86.46,87.11,4089419,87.11
2021-07-16,84.56,84.98,83.64,84.31,8735979,84.31
2021-07-19,86.1,87.28,85.82,86.55,4477689,86.55
