date,open,high,low,close,volume,adjusted_close
2021-01-04,120.64,121.78,120.3,121.04,7269293,121.04
2021-01-05,120.05,120.63,119.67,120.15,3127950,120.15
2021-01-06,119.15,119.78,117.92,118.85,5101976,118.85
2021-01-07,117.79,118.72,117.0,117.86,2340916,117.86
2021-01-08,120.19,121.97,119.85,120.91,9116246,120.91
2021-01-11,119.3,119.75,117.11,118.43,1959993,118.43
2021-01-12,118.37,119.12,117.76,118.44,2662435,118.44
2021-01-13,120.56,121.48,119.52,120.5,4171483,120.5
2021-01-14,119.07,119.62,118.0,118.81,9248456,118.81
2021-01-15,121.38,122.45,120.83,121.64,8850104,121.64
2021-01-19,121.41,121.76,120.36,121.06,6310785,121.06
2021-01-20,120.8,122.09,119.57,120.83,1776279,120.83
2021-01-21,124.51,125.09,123.09,124.09,8025581,124.09
2021-01-22,121.47,122.63,120.17,121.4,8371723,121.4
2021-01-25,120.92,121.57,120.47,121.02,2902511,121.02
2021-01-26,123.36,125.06,122.96,124.01,4930489,124.01
2021-01-27,120.76,121.73,120.53,121.13,2441769,121.13
2021-01-28,120.95,122.83,120.15,121.49,4812740,121.49
2021-01-29,123.27,124.05,122.61,123.33,7654036,123.33
2021-02-01,125.27,126.56,124.9,125.73,5842652,125.73
2021-02-02,122.17,123.13,121.81,122.47,6544577,122.47
2021-02-03,126.53,126.75,124.89,125.82,5307518,125.82
2021-02-04,127.17,128.28,126.14,127.21,6520038,127.21
2021-02-05,124.22,125.23,122.77,124.0,2289969,124.0
2021-02-08,127.44,129.8,127.06,128.43,8642084,128.43
2021-02-09,127.24,129.55,126.77,128.16,3875287,128.16
2021-02-10,124.63,125.36,123.32,124.34,8578534,124.34
2021-02-11,123.9,124.6,122.26,123.43,8379660,123.43
2021-02-12,126.47,128.75,126.19,127.47,3744321,127.47
2021-02-16,126.71,127.7,125.64,126.67,8979082,126.67
2021-02-17,126.43,127.92,125.98,126.95,7417773,126.95
2021-02-18,129.85,131.41,128.81,130.11,7536670,130.11
2021-02-19,125.45,125.78,123.06,124.42,8487838,124.42
2021-02-22,127.28,128.39,126.25,127.32,3797638,127.32
2021-02-23,125.72,126.01,124.81,125.41,4665666,125.41
2021-02-24,126.46,127.6,126.32,126.96,5711521,126.96
2021-02-25,125.78,127.35,125.53,126.44,9374164,126.44
2021-02-26,132.12,132.45,129.73,131.09,2921678,131.09
2021-03-01,130.47,132.8,129.92,131.36,2265689,131.36
2021-03-02,127.81,129.27,127.51,128.39,2990407,128.39
2021-03-03,130.32,131.94,130.06,131.0,8980164,131.0
2021-03-04,128.35,129.26,128.0,128.63,3036018,128.63
2021-03-05,127.96,129.12,127.82,128.47,2174321,128.47
