date,open,high,low,close,volume,adjusted_close
2021-01-04,149.66,151.18,149.16,150.17,4220255,150.17
2021-01-05,150.34,153.2,150.02,151.61,2865280,151.61
2021-01-06,147.23,148.89,145.87,147.38,8132675,147.38
2021-01-07,150.92,151.55,148.41,149.98,9847430,149.98
2021-01-08,146.02,147.43,145.35,146.39,3274662,146.39
2021-01-11,150.71,151.85,149.19,150.52,4775647,150.52
2021-01-12,150.72,152.12,150.18,151.15,7133298,151.15
2021-01-13,149.82,152.56,149.3,150.93,6374886,150.93
2021-01-14,152.0,152.52,149.94,151.23,3110390,151.23
2021-01-15,150.9,151.28,149.68,150.48,7651026,150.48
2021-01-19,147.96,148.79,145.47,147.13,3425345,147.13
2021-01-20,146.53,146.81,145.17,145.99,2919033,145.99
2021-01-21,150.97,152.29,150.57,151.43,7582333,151.43
2021-01-22,150.28,152.09,148.67,150.38,3932197,150.38
2021-01-25,147.73,148.36,146.7,147.53,9025732,147.53
2021-01-26,149.15,150.94,147.56,149.25,5640597,149.25
2021-01-27,147.88,150.02,147.62,148.82,9182881,148.82
2021-01-28,153.53,154.1,152.08,153.09,8170302,153.09
2021-01-29,148.26,149.99,146.79,148.39,3317636,148.39
2021-02-01,149.01,150.35,147.67,149.01,6796200,149.01
2021-02-02,150.01,150.91,148.67,149.79,8844770,149.79
2021-02-03,152.56,154.96,152.1,153.53,5700006,153.53
2021-02-04,149.94,150.41,148.73,149.57,4010382,149.57
2021-02-05,149.84,151.43,149.19,150.31,3029219,150.31
2021-02-08,149.99,150.91,149.47,150.19,9732666,150.19
2021-02-09,148.46,150.25,147.49,148.87,2130905,148.87
2021-02-10,150.27,151.52,148.96,150.24,7664841,150.24
2021-02-11,148.1,150.33,147.23,148.78,3119778,148.78
2021-02-12,151.91,152.43,150.59,151.51,1820542,151.51
2021-02-16,149.73,150.88,149.22,150.05,8583781,150.05
2021-02-17,150.32,152.24,149.54,150.89,7200499,150.89
2021-02-18,150.75,152.03,149.47,150.75,4990040,150.75
2021-02-19,153.72,155.15,152.91,154.03,1999066,154.03
2021-02-22,154.89,155.78,154.16,154.97,7599475,154.97
2021-02-23,149.42,150.34,148.9,149.62,3758266,149.62
2021-02-24,149.63,151.55,148.41,149.98,4055229,149.98
2021-02-25,150.15,150.79,149.37,150.08,4385965,150.08
2021-02-26,150.5,151.31,148.79,150.05,1734938,150.05
2021-03-01,151.39,153.48,150.66,152.07,5306656,152.07
2021-03-02,150.13,151.2,149.72,150.46,7605218,150.46
2021-03-03,149.04,150.52,148.44,149.48,6842259,149.48
2021-03-04,154.36,156.45,154.13,155.29,4151120,155.29
2021-03-05,151.98,153.59,151.63,152.61,2693448,152.61
2021-03-08,156.8,158.06,154.74,156.4,6982532,156.4
2021-03-09,152.23,153.8,151.46,152.63,8738423,152.63
2021-03-10,150.2,151.78,149.52,150.65,8390420,150.65
2021-03-11,151.27,151.9,148.74,150.32,2777030,150.32
2021-03-12,150.44,151.76,148.46,150.11,2392690,150.11
2021-03-15,156.69,157.95,154.45,156.2,1667894,156.2
2021-03-16,153.31,154.86,152.48,153.67,5013625,153.67
2021-03-17,151.61,152.5,150.96,151.73,2570272,151.73
2021-03-18,157.22,158.66,155.84,157.25,3626999,157.25
2021-03-19,151.81,152.73,150.69,151.71,8965005,151.71
2021-03-22,154.29,156.56,153.82,155.19,2919047,155.19
2021-03-23,153.74,155.15,152.39,153.77,2912199,153.77
2021-03-24,155.77,156.65,153.89,155.27,7024298,155.27
2021-03-25,155.43,156.11,154.17,155.14,7489895,155.14
2021-03-26,151.54,152.17,149.01,150.59,4619030,150.59
2021-03-29,152.19,152.93,150.69,151.81,4872617,151.81
2021-03-30,156.53,157.92,155.84,156.88,8200503,156.88
2021-03-31,155.05,156.57,154.37,155.47,9475461,155.47
2021-04-01,152.51,153.35,151.67,152.51,6364280,152.51
2021-04-05,157.42,157.8,156.54,157.17,4048300,157.17
2021-04-06,152.23,153.98,150.68,152.33,3238037,152.33
2021-04-07,151.14,152.77,149.63,151.2,3600278,151.2
2021-04-08,155.07,155.78,154.1,154.94,3141728,154.94
2021-04-09,158.8,160.39,157.21,158.8,2180120,158.8
2021-04-12,151.92,152.82,150.98,151.9,5455641,151.9
2021-04-13,155.23,155.86,154.1,154.98,4982534,154.98
2021-04-14,154.16,155.14,152.48,153.81,9454293,153.81
2021-04-15,158.16,158.98,157.46,158.22,5080916,158.22
2021-04-16,156.28,157.02,153.8,155.41,4672227,155.41
2021-04-19,153.15,154.01,152.77,153.39,2861301,153.39
2021-04-20,158.89,159.9,157.56,158.73,3924767,158.73
2021-04-21,153.12,154.63,151.55,153.09,9319721,153.09
2021-04-22,157.96,159.29,155.79,157.54,7371892,157.54
2021-04-23,156.22,157.55,154.89,156.22,8962040,156.22
2021-04-26,157.53,159.48,157.16,158.32,4490166,158.32
2021-04-27,155.3,155.9,153.5,154.7,6428625,154.7
2021-04-28,159.19,161.11,157.91,159.51,3917070,159.51
2021-04-29,159.93,160.4,158.58,159.49,6987984,159.49
2021-04-30,159.77,160.67,158.67,159.67,4987645,159.67
2021-05-03,156.04,157.59,155.41,156.5,7493059,156.5
2021-05-04,157.74,158.78,156.74,157.76,8693799,157.76
2021-05-05,158.91,159.21,157.79,158.5,6661109,158.5
2021-05-06,157.15,157.5,154.56,156.03,3950158,156.03
2021-05-07,160.26,162.66,159.08,160.87,5442343,160.87
2021-05-10,157.63,158.48,157.06,157.77,8777310,157.77
2021-05-11,160.71,162.45,158.89,160.67,5053241,160.67
2021-05-12,159.58,160.21,156.87,158.54,3033431,158.54
2021-05-13,160.58,162.25,159.09,160.67,3826917,160.67
2021-05-14,158.77,159.28,155.9,157.59,7560235,157.59
2021-05-17,156.29,156.83,155.15,155.99,7526778,155.99
2021-05-18,157.74,159.26,156.28,157.77,9661159,157.77
2021-05-19,159.52,161.2,158.3,159.75,2857552,159.75
2021-05-20,154.56,156.24,154.0,155.12,3470415,155.12
2021-05-21,154.66,155.39,153.31,154.35,9252455,154.35
2021-05-24,159.06,159.44,157.54,158.49,6313190,158.49
2021-05-25,157.09,158.26,155.26,156.76,2782611,156.76
2021-05-26,157.1,157.61,154.43,156.02,8902874,156.02
2021-05-27,154.93,156.22,153.36,154.79,6093805,154.79
2021-05-28,161.58,161.9,159.9,160.9,6347994,160.9
2021-06-01,158.56,159.85,156.91,158.38,3929806,158.38
2021-06-02,158.64,159.1,156.38,157.74,3457993,157.74
2021-06-03,162.37,163.08,160.64,161.86,6397821,161.86
2021-06-04,156.18,157.5,154.62,156.06,4633804,156.06
2021-06-07,163.34,163.64,160.9,162.27,1967839,162.27
2021-06-08,156.91,158.86,155.76,157.31,5521467,157.31
2021-06-09,158.99,160.88,158.46,159.67,4013372,159.67
2021-06-10,156.19,157.21,155.45,156.33,9054832,156.33
2021-06-11,162.51,163.6,161.06,162.33,2487327,162.33
2021-06-14,155.16,156.98,154.56,155.77,1664575,155.77
2021-06-15,161.67,163.72,161.44,162.58,2520560,162.58
2021-06-16,162.94,163.81,162.33,163.07,7436111,163.07
2021-06-17,162.01,162.57,160.03,161.3,4555028,161.3
2021-06-18,160.16,161.31,159.89,160.6,1705609,160.6
2021-06-21,161.27,161.77,158.83,160.3,2981353,160.3
2021-06-22,159.78,161.38,158.88,160.13,5296026,160.13
2021-06-23,160.57,161.12,158.6,159.86,2205028,159.86
2021-06-24,160.93,161.34,158.2,159.77,2069517,159.77
2021-06-25,159.5,161.28,158.46,159.87,5297547,159.87
2021-06-28,161.2,162.68,160.6,161.64,7208899,161.64
2021-06-29,156.9,157.84,155.7,156.77,3442606,156.77
2021-06-30,162.71,164.86,161.5,163.18,2502026,163.18
2021-07-01,157.02,157.87,156.43,157.15,9755711,157.15
2021-07-02,161.33,163.21,160.41,161.81,4680343,161.81
2021-07-06,157.46,158.71,157.07,157.89,9744174,157.89
2021-07-07,164.62,166.24,164.36,165.3,8514084,165.3
2021-07-08,159.91,160.51,158.43,159.47,9972301,159.47
2021-07-09,158.45,160.29,158.17,159.23,2196403,159.23
2021-07-12,160.56,161.23,159.41,160.32,3424533,160.32
2021-07-13,163.23,165.22,162.46,163.84,2711938,163.84
2021-07-14,158.19,160.2,157.1,158.65,2220665,158.65
2021-07-15,158.77,159.12,157.38,158.25,2989830,158.25
2021-07-16,161.67,162.35,160.09,161.22,5303260,161.22
2021-07-19,164.7,167.37,163.81,165.59,3041935,165.59
2021-07-20,162.66,163.92,162.12,163.02,7781780,163.02
2021-07-21,159.8,162.41,158.97,160.69,8816734,160.69
2021-07-22,160.12,161.03,159.31,160.17,4261077,160.17
2021-07-23,160.61,162.45,160.23,161.34,7635607,161.34
2021-07-26,164.4,164.91,162.87,163.89,7509345,163.89
2021-07-27,162.9,165.37,162.53,163.95,3610243,163.95
2021-07-28,165.81,167.65,164.69,166.17,9474748,166.17
2021-07-29,164.62,165.16,162.92,164.04,5262706,164.04
2021-07-30,167.17,168.21,165.31,166.76,9502694,166.76
2021-08-02,164.87,165.13,163.81,164.47,4188950,164.47
2021-08-03,163.54,165.16,163.3,164.23,9872883,164.23
2021-08-04,159.01,160.25,158.51,159.38,9164579,159.38
2021-08-05,164.05,167.08,163.52,165.3,9737285,165.3
2021-08-06,160.77,160.95,159.55,160.25,9627757,160.25
2021-08-09,165.88,167.88,165.38,166.63,9427370,166.63
2021-08-10,162.09,163.78,161.3,162.54,2756422,162.54
2021-08-11,167.7,168.63,166.05,167.34,4882774,167.34
2021-08-12,159.86,161.3,159.64,160.47,4676723,160.47
2021-08-13,161.44,162.97,160.13,161.55,5590596,161.55
2021-08-16,161.97,164.02,161.36,162.69,9506333,162.69
2021-08-17,163.19,164.87,162.69,163.78,5700653,163.78
2021-08-18,162.14,163.06,161.06,162.06,8506444,162.06
2021-08-19,164.79,166.4,164.46,165.43,2804087,165.43
2021-08-20,163.95,164.69,162.93,163.81,6075328,163.81
2021-08-23,163.62,164.79,162.81,163.8,6392591,163.8
2021-08-24,165.89,168.47,165.07,166.77,4799774,166.77
2021-08-25,163.41,165.14,162.4,163.77,5220987,163.77
2021-08-26,163.1,163.51,161.57,162.54,2958789,162.54
2021-08-27,166.82,167.7,164.32,166.01,5228624,166.01
2021-08-30,163.81,164.25,162.77,163.51,8193660,163.51
2021-08-31,168.0,168.78,167.36,168.07,7577155,168.07
2021-09-01,167.17,168.92,166.1,167.51,6325788,167.51
2021-09-02,168.21,169.53,166.59,168.06,2542045,168.06
2021-09-03,165.96,168.54,165.14,166.84,3970574,166.84
2021-09-07,164.02,165.14,163.44,164.29,7458424,164.29
2021-09-08,164.41,164.74,162.0,163.37,6475038,163.37
2021-09-09,164.95,166.15,164.71,165.43,7406807,165.43
2021-09-10,168.54,170.81,167.37,169.09,8022424,169.09
2021-09-13,163.68,166.42,163.2,164.81,3494165,164.81
2021-09-14,160.8,163.64,160.34,161.99,2948724,161.99
2021-09-15,167.01,167.72,165.86,166.79,8447332,166.79
