date,open,high,low,close,volume,adjusted_close
2021-01-04,99.07,99.47,97.95,98.71,2373024,98.71
2021-01-05,99.81,101.4,99.22,100.31,6411537,100.31
2021-01-06,98.67,99.32,97.62,98.47,7217492,98.47
2021-01-07,100.09,100.94,98.86,99.9,2318529,99.9
2021-01-08,100.08,100.25,99.33,99.79,6212712,99.79
2021-01-11,99.96,100.88,98.7,99.79,6091088,99.79
2021-01-12,101.05,102.31,100.63,101.47,5998335,101.47
2021-01-13,102.59,102.81,101.45,102.13,5904554,102.13
2021-01-14,103.29,104.26,102.16,103.21,6390124,103.21
2021-01-15,104.06,105.52,103.78,104.65,4850486,104.65
2021-01-19,104.93,105.49,103.85,104.67,6239176,104.67
2021-01-20,101.39,101.62,100.78,101.2,3309503,101.2
2021-01-21,104.7,104.92,104.02,104.47,9576306,104.47
2021-01-22,105.44,105.76,103.96,104.86,3489592,104.86
2021-01-25,103.62,104.96,103.3,104.13,5431929,104.13
2021-01-26,106.71,108.09,105.71,106.9,7110192,106.9
2021-01-27,102.86,103.88,102.28,103.08,5189226,103.08
2021-01-28,104.16,105.64,103.94,104.79,5212483,104.79
2021-01-29,104.24,104.95,103.87,104.41,6810824,104.41
2021-02-01,107.33,108.21,106.69,107.45,3172912,107.45
2021-02-02,103.58,104.4,103.06,103.73,1665149,103.73
2021-02-03,108.07,109.24,106.86,108.05,9245641,108.05
2021-02-04,104.69,105.57,104.31,104.94,9990740,104.94
2021-02-05,104.94,105.71,103.69,104.7,4971812,104.7
2021-02-08,107.72,109.35,106.95,108.15,2930742,108.15
2021-02-09,109.92,110.5,108.26,109.38,7248224,109.38
2021-02-10,105.16,106.36,104.7,105.53,8234578,105.53
2021-02-11,106.69,107.37,105.03,106.2,5670541,106.2
2021-02-12,106.29,106.75,105.15,105.95,8854621,105.95
2021-02-16,107.71,109.52,107.42,108.47,8406164,108.47
2021-02-17,106.3,106.62,105.28,105.95,5529346,105.95
2021-02-18,109.11,110.37,108.89,109.63,6144805,109.63
2021-02-19,110.24,110.72,109.34,110.03,3561895,110.03
2021-02-22,111.15,111.44,109.74,110.59,5924873,110.59
2021-02-23,111.35,111.74,109.98,110.86,6555428,110.86
2021-02-24,110.69,111.57,109.37,110.47,9050770,110.47
2021-02-25,112.1,112.66,111.02,111.84,9681016,111.84
2021-02-26,111.22,112.7,110.42,111.56,9102425,111.56
2021-03-01,112.87,113.76,112.3,113.03,8109949,113.03
2021-03-02,109.85,111.1,109.34,110.22,2794979,110.22
2021-03-03,108.5,109.04,107.96,108.5,5997720,108.5
2021-03-04,109.23,110.34,107.88,109.11,3734445,109.11
2021-03-05,109.89,110.57,109.53,110.05,5790665,110.05
2021-03-08,111.04,111.29,110.37,110.83,6319103,110.83
2021-03-09,109.79,110.76,109.08,109.92,9886272,109.92
2021-03-10,110.6,111.38,110.32,110.85,2390016,110.85
2021-03-11,114.06,114.62,113.1,113.86,4718053,113.86
2021-03-12,113.63,114.34,112.52,113.43,4701731,113.43
2021-03-15,110.33,111.18,109.96,110.57,3172180,110.57
2021-03-16,111.45,112.21,111.07,111.64,6658423,111.64
2021-03-17,113.21,113.37,111.91,112.64,6433199,112.64
