date,open,high,low,close,volume,adjusted_close
2021-01-04,153.15,155.14,152.42,153.78,8339697,153.78
2021-01-05,153.92,154.77,153.07,153.92,7224280,153.92
2021-01-06,153.11,153.53,151.21,152.37,5545672,152.37
2021-01-07,151.3,153.41,150.87,152.14,2087287,152.14
2021-01-08,153.13,154.08,150.7,152.39,5553342,152.39
2021-01-11,154.15,155.6,153.1,154.35,7812032,154.35
2021-01-12,156.24,156.83,153.37,155.1,7177593,155.1
2021-01-13,157.24,158.33,155.47,156.9,2196452,156.9
2021-01-14,150.57,151.34,148.78,150.06,9572540,150.06
2021-01-15,154.61,156.06,154.12,155.09,6765695,155.09
2021-01-19,151.52,153.05,150.45,151.75,6872191,151.75
2021-01-20,153.08,153.79,152.17,152.98,4404526,152.98
2021-01-21,150.69,151.35,149.95,150.65,9399963,150.65
2021-01-22,152.69,154.43,152.33,153.38,8452407,153.38
2021-01-25,150.62,152.24,150.36,151.3,9518644,151.3
2021-01-26,155.7,156.29,153.17,154.73,1712871,154.73
2021-01-27,157.76,159.07,157.15,158.11,3496742,158.11
2021-01-28,151.64,152.05,150.69,151.37,7244460,151.37
2021-01-29,158.05,159.2,156.58,157.89,3354286,157.89
2021-02-01,153.33,154.96,153.0,153.98,5607047,153.98
2021-02-02,153.48,154.09,151.73,152.91,5065024,152.91
2021-02-03,152.18,154.45,151.25,152.85,6633379,152.85
2021-02-04,152.1,153.32,151.8,152.56,5244970,152.56
2021-02-05,155.66,156.41,154.13,155.27,4154617,155.27
2021-02-08,153.43,154.37,152.87,153.62,7974267,153.62
2021-02-09,157.18,158.19,155.89,157.04,7109566,157.04
2021-02-10,154.85,156.69,153.15,154.92,8883798,154.92
2021-02-11,158.12,159.06,157.44,158.25,3233472,158.25
2021-02-12,156.92,159.28,156.54,157.91,7651444,157.91
2021-02-16,157.88,158.97,156.31,157.64,4874289,157.64
2021-02-17,157.98,159.17,156.59,157.88,7342284,157.88
2021-02-18,155.15,155.7,154.28,154.99,6109811,154.99
2021-02-19,155.9,157.02,154.64,155.83,3065723,155.83
2021-02-22,158.43,159.98,158.14,159.06,5624886,159.06
2021-02-23,161.27,162.21,159.17,160.69,9390859,160.69
2021-02-24,155.02,155.46,153.14,154.3,2364871,154.3
2021-02-25,156.39,156.79,154.57,155.68,7978712,155.68
2021-02-26,155.57,157.52,154.7,156.11,2681701,156.11
2021-03-01,155.3,157.6,154.58,156.09,7156014,156.09
2021-03-02,159.88,161.14,159.42,160.28,5357777,160.28
2021-03-03,159.04,159.44,157.2,158.32,2459512,158.32
2021-03-04,155.0,155.98,153.7,154.84,8733967,154.84
2021-03-05,159.93,160.57,159.27,159.92,2876601,159.92
2021-03-08,158.07,159.96,156.58,158.27,6998434,158.27
2021-03-09,160.15,161.53,157.99,159.76,6766691,159.76
2021-03-10,160.73,162.71,160.03,161.37,4711536,161.37
2021-03-11,157.63,158.58,157.0,157.79,5236270,157.79
2021-03-12,159.3,160.18,157.52,158.85,9538937,158.85
2021-03-15,159.69,161.8,159.32,160.56,9530325,160.56
2021-03-16,154.7,155.72,153.72,154.72,3570199,154.72
2021-03-17,156.14,158.51,155.27,156.89,8171777,156.89
2021-03-18,156.32,157.19,155.87,156.53,5930504,156.53
2021-03-19,156.78,159.04,155.94,157.49,8193617,157.49
2021-03-22,155.28,156.93,154.97,155.95,6737446,155.95
2021-03-23,160.19,160.62,158.76,159.69,4482787,159.69
2021-03-24,163.01,164.32,160.68,162.5,5606294,162.5
2021-03-25,155.9,158.42,155.06,156.74,3935535,156.74
2021-03-26,162.95,163.91,161.25,162.58,8146534,162.58
2021-03-29,161.84,163.16,160.36,161.76,2369643,161.76
2021-03-30,157.96,159.22,156.06,157.64,8323170,157.64
2021-03-31,156.84,157.6,156.32,156.96,3932351,156.96
2021-04-01,157.65,158.38,155.66,157.02,4748543,157.02
2021-04-05,161.65,162.18,159.26,160.72,9274152,160.72
2021-04-06,156.48,158.1,155.72,156.91,2957622,156.91
2021-04-07,160.9,161.97,158.83,160.4,5437016,160.4
2021-04-08,162.24,163.02,159.88,161.45,7679265,161.45
2021-04-09,159.71,160.34,158.72,159.53,9222371,159.53
2021-04-12,162.67,163.69,161.81,162.75,3212436,162.75
2021-04-13,159.28,162.26,158.58,160.42,8572649,160.42
2021-04-14,160.8,163.78,160.32,162.05,7473284,162.05
2021-04-15,162.14,162.62,160.78,161.7,2193184,161.7
2021-04-16,159.8,160.35,158.87,159.61,6969013,159.61
2021-04-19,158.24,159.62,156.96,158.29,3911238,158.29
2021-04-20,161.59,162.62,160.78,161.7,7634034,161.7
2021-04-21,163.55,165.84,162.32,164.08,3286585,164.08
2021-04-22,163.02,163.83,161.91,162.87,9675888,162.87
2021-04-23,160.43,162.48,159.12,160.8,4152429,160.8
2021-04-26,165.24,166.46,163.96,165.21,4894921,165.21
2021-04-27,164.51,165.86,163.82,164.84,5039944,164.84
2021-04-28,162.81,165.05,161.75,163.4,4704822,163.4
2021-04-29,164.28,164.84,161.52,163.18,8060073,163.18
2021-04-30,163.56,166.27,162.79,164.53,7273132,164.53
2021-05-03,161.69,162.26,159.54,160.9,6380389,160.9
2021-05-04,161.69,164.12,161.0,162.56,2402012,162.56
2021-05-05,161.08,161.5,158.7,160.1,8510395,160.1
2021-05-06,162.79,165.04,161.52,163.28,2990586,163.28
2021-05-07,164.61,165.89,163.47,164.68,6930117,164.68
2021-05-10,162.86,163.52,160.66,162.09,5004547,162.09
2021-05-11,158.71,160.4,158.02,159.21,4641619,159.21
2021-05-12,159.9,162.53,159.11,160.82,5759533,160.82
2021-05-13,159.44,161.02,158.04,159.53,4681157,159.53
2021-05-14,167.46,167.64,165.98,166.81,2591919,166.81
2021-05-17,162.58,165.14,161.82,163.48,4720573,163.48
2021-05-18,164.59,165.54,161.88,163.71,4428944,163.71
2021-05-19,163.53,165.7,162.84,164.27,7200894,164.27
2021-05-20,164.25,166.13,163.55,164.84,1712977,164.84
2021-05-21,162.18,163.08,161.32,162.2,7707479,162.2
2021-05-24,164.87,166.21,164.63,165.42,2942965,165.42
2021-05-25,165.63,166.49,163.31,164.9,1852863,164.9
2021-05-26,165.23,165.75,163.49,164.62,5943507,164.62
2021-05-27,163.97,164.87,161.75,163.31,3588861,163.31
2021-05-28,161.57,163.02,160.34,161.68,9368036,161.68
2021-06-01,169.07,170.3,167.5,168.9,3072286,168.9
2021-06-02,164.84,166.17,164.57,165.37,3434567,165.37
2021-06-03,166.58,168.54,166.34,167.44,1936001,167.44
2021-06-04,165.41,166.11,163.61,164.86,7445422,164.86
2021-06-07,165.92,169.23,165.55,167.39,1618640,167.39
2021-06-08,168.03,168.78,166.7,167.74,2025494,167.74
2021-06-09,165.07,167.58,164.4,165.99,9608411,165.99
2021-06-10,163.04,163.63,160.53,162.08,7752311,162.08
2021-06-11,169.14,169.87,166.53,168.2,7076068,168.2
2021-06-14,166.35,167.05,164.13,165.59,5684546,165.59
2021-06-15,165.45,166.83,163.55,165.19,8307168,165.19
2021-06-16,169.81,171.51,167.89,169.7,1574283,169.7
2021-06-17,166.34,166.78,163.88,165.33,8285995,165.33
2021-06-18,169.68,170.11,168.53,169.32,2881263,169.32
2021-06-21,168.58,171.17,167.97,169.57,3636809,169.57
2021-06-22,166.07,166.57,165.17,165.87,2753254,165.87
2021-06-23,167.16,168.21,166.71,167.46,9658660,167.46
2021-06-24,164.53,165.18,162.86,164.02,9906462,164.02
2021-06-25,166.72,167.5,164.24,165.87,2627666,165.87
2021-06-28,168.84,170.94,167.6,169.27,9430267,169.27
2021-06-29,168.59,170.13,167.93,169.03,5403300,169.03
2021-06-30,169.19,171.48,167.78,169.63,5114988,169.63
2021-07-01,170.13,171.28,168.4,169.84,8811490,169.84
2021-07-02,165.7,167.97,165.13,166.55,9555290,166.55
2021-07-06,166.68,167.23,165.19,166.21,8354943,166.21
2021-07-07,166.18,167.21,165.27,166.24,6314037,166.24
2021-07-08,170.81,172.84,170.24,171.54,5160572,171.54
2021-07-09,170.85,172.53,170.55,171.54,5856485,171.54
2021-07-12,169.68,172.27,169.03,170.65,5612810,170.65
2021-07-13,165.65,166.9,163.34,165.12,2638135,165.12
2021-07-14,169.99,171.66,168.02,169.84,3523884,169.84
2021-07-15,170.87,172.12,168.84,170.48,8652212,170.48
2021-07-16,172.08,173.77,171.35,172.56,6777860,172.56
2021-07-19,170.72,171.93,169.85,170.89,6731392,170.89
2021-07-20,166.43,167.08,164.92,166.0,2717500,166.0
2021-07-21,173.49,174.23,172.59,173.41,7401565,173.41
2021-07-22,168.09,169.15,166.69,167.92,3163967,167.92
2021-07-23,169.58,170.16,166.56,168.36,4331434,168.36
2021-07-26,165.55,166.77,164.51,165.64,3333156,165.64
2021-07-27,170.82,171.14,168.46,169.8,8888478,169.8
2021-07-28,171.97,173.4,170.7,172.05,8706677,172.05
2021-07-29,172.46,172.98,171.26,172.12,4048220,172.12
2021-07-30,172.16,172.9,171.26,172.08,3098365,172.08
2021-08-02,168.06,170.3,167.1,168.7,9045460,168.7
2021-08-03,168.26,169.23,167.17,168.2,7413243,168.2
2021-08-04,167.4,169.56,166.56,168.06,5420898,168.06
2021-08-05,169.62,171.37,168.01,169.69,3377718,169.69
2021-08-06,173.2,175.3,172.38,173.84,6510338,173.84
2021-08-09,171.59,173.02,169.62,171.32,3287568,171.32
2021-08-10,171.31,174.56,170.64,172.6,5332247,172.6
2021-08-11,166.95,168.41,165.85,167.13,3487873,167.13
2021-08-12,173.28,173.47,171.97,172.72,8272157,172.72
2021-08-13,167.97,168.27,166.77,167.52,9592310,167.52
2021-08-16,173.36,174.02,171.14,172.58,2599587,172.58
2021-08-17,171.29,171.91,168.47,170.19,5575272,170.19
2021-08-18,171.44,172.79,170.57,171.68,9985149,171.68
2021-08-19,167.26,169.39,166.69,168.04,5752331,168.04
2021-08-20,171.59,174.5,171.16,172.83,9323763,172.83
2021-08-23,176.75,177.2,174.7,175.95,3971112,175.95
2021-08-24,172.73,173.77,170.53,172.15,2853258,172.15
2021-08-25,168.8,170.25,166.95,168.6,4490366,168.6
2021-08-26,171.68,172.04,170.56,171.3,9179106,171.3
2021-08-27,172.13,173.07,171.53,172.3,8890509,172.3
2021-08-30,170.13,170.99,168.31,169.65,2388778,169.65
2021-08-31,171.77,173.6,171.42,172.51,5426246,172.51
2021-09-01,171.71,172.9,170.48,171.69,2203961,171.69
2021-09-02,170.49,171.6,168.68,170.14,9723492,170.14
2021-09-03,171.86,173.46,170.92,172.19,9467867,172.19
2021-09-07,170.53,172.5,169.52,171.01,7601544,171.01
2021-09-08,169.12,170.03,168.49,169.26,3296511,169.26
2021-09-09,171.03,171.92,168.84,170.38,1787901,170.38
2021-09-10,168.8,171.96,168.06,170.01,3795049,170.01
2021-09-13,170.75,172.92,169.86,171.39,4164099,171.39
2021-09-14,169.39,170.61,169.09,169.85,1582010,169.85
2021-09-15,169.75,171.19,169.19,170.19,5750738,170.19
2021-09-16,176.3,177.26,175.3,176.28,7080681,176.28
2021-09-17,178.61,179.01,177.29,178.15,6156867,178.15
2021-09-20,177.92,178.98,175.44,177.21,8882220,177.21
2021-09-21,172.62,173.31,170.67,171.99,7123024,171.99
2021-09-22,172.65,176.05,172.19,174.12,1555842,174.12
2021-09-23,172.5,172.85,170.53,171.69,8982155,171.69
2021-09-24,178.69,179.33,175.35,177.34,3135194,177.34
2021-09-27,169.74,172.25,168.95,170.6,2148814,170.6
2021-09-28,170.81,173.45,169.93,171.69,3899375,171.69
2021-09-29,172.56,173.6,171.28,172.44,4012605,172.44
2021-09-30,175.92,177.33,174.05,175.69,8957007,175.69
2021-10-01,175.68,177.54,174.92,176.23,8288019,176.23
2021-10-04,174.64,175.07,171.47,173.27,6758078,173.27
2021-10-05,172.52,173.64,170.04,171.84,3363979,171.84
2021-10-06,175.39,176.84,173.82,175.33,7884442,175.33
2021-10-07,177.97,180.17,177.55,178.86,5070966,178.86
2021-10-08,178.97,180.1,178.04,179.07,5938835,179.07
2021-10-11,178.72,178.99,176.91,177.95,6847037,177.95
2021-10-12,175.77,175.95,174.41,175.18,7711758,175.18
2021-10-13,179.46,180.52,177.58,179.05,3437334,179.05
2021-10-14,172.07,173.33,171.27,172.3,3120589,172.3
2021-10-15,178.23,179.54,177.46,178.5,4141787,178.5
2021-10-18,176.47,177.28,175.7,176.49,5098759,176.49
2021-10-19,175.31,175.49,173.95,174.72,3751758,174.72
2021-10-20,177.1,177.6,176.04,176.82,9601658,176.82
2021-10-21,174.03,175.34,173.36,174.35,7734984,174.35
2021-10-22,175.52,177.87,174.01,175.94,8912589,175.94
2021-10-25,179.25,180.93,178.03,179.48,7921232,179.48
2021-10-26,178.25,179.48,176.96,178.22,2345561,178.22
2021-10-27,178.13,178.95,176.31,177.63,5793819,177.63
2021-10-28,180.6,182.15,180.03,181.09,5508737,181.09
2021-10-29,178.59,181.72,178.04,179.88,1639925,179.88
2021-11-01,176.67,179.26,175.8,177.53,3511215,177.53
2021-11-02,179.0,179.56,177.32,178.44,3272145,178.44
2021-11-03,177.81,178.79,175.01,176.9,7772784,176.9
2021-11-04,175.35,175.56,173.66,174.61,3023279,174.61
2021-11-05,175.61,176.35,174.39,175.37,2596932,175.37
2021-11-08,175.95,177.65,175.55,176.6,6811289,176.6
2021-11-09,177.44,179.67,176.77,178.22,8849933,178.22
2021-11-10,177.91,179.51,177.67,178.59,4357923,178.59
2021-11-11,176.94,178.99,175.63,177.31,3193709,177.31
2021-11-12,176.83,178.36,176.32,177.34,6066335,177.34
2021-11-15,176.87,177.32,175.46,176.39,7573426,176.39
2021-11-16,179.82,180.16,177.34,178.75,3387278,178.75
2021-11-17,179.7,182.28,178.18,180.23,2537547,180.23
2021-11-18,184.21,185.0,181.58,183.29,6287907,183.29
2021-11-19,175.92,177.83,175.71,176.77,5832240,176.77
2021-11-22,182.04,184.16,181.3,182.73,8158976,182.73
2021-11-23,179.47,181.35,178.63,179.99,9144421,179.99
2021-11-24,179.84,181.71,178.69,180.2,2572188,180.2
2021-11-26,176.78,178.36,174.5,176.43,6442689,176.43
2021-11-29,182.47,182.87,179.27,181.07,8587119,181.07
2021-11-30,185.11,186.04,183.12,184.58,9576778,184.58
2021-12-01,178.13,180.06,176.12,178.09,6576041,178.09
2021-12-02,183.96,184.28,181.98,183.13,6022396,183.13
2021-12-03,176.61,177.97,176.03,177.0,9319380,177.0
2021-12-06,181.56,183.66,181.22,182.44,9201204,182.44
2021-12-07,185.83,186.23,183.55,184.89,3297915,184.89
2021-12-08,176.5,178.54,174.7,176.62,7418037,176.62
2021-12-09,176.37,178.9,175.12,177.01,2284583,177.01
2021-12-10,183.62,184.73,182.55,183.64,4842439,183.64
2021-12-13,177.96,178.92,177.3,178.11,7938911,178.11
2021-12-14,184.62,185.46,181.64,183.55,6755028,183.55
2021-12-15,183.81,185.28,183.4,184.34,8368172,184.34
2021-12-16,181.77,182.8,179.36,181.08,1688460,181.08
2021-12-17,186.7,187.07,184.99,186.03,2242632,186.03
2021-12-20,183.95,185.89,182.29,184.09,3510116,184.09
2021-12-21,182.08,182.87,180.85,181.86,1832131,181.86
2021-12-22,186.6,187.26,185.26,186.26,7284377,186.26
2021-12-23,184.9,187.54,184.5,186.02,6774083,186.02
2021-12-27,186.74,187.13,185.07,186.1,8012231,186.1
2021-12-28,181.31,182.63,178.51,180.57,8871098,180.57
2021-12-29,179.46,181.26,177.92,179.59,9578756,179.59
2021-12-30,183.39,184.12,182.64,183.38,3630201,183.38
2021-12-31,178.95,179.73,177.03,178.38,7479421,178.38
2022-01-03,182.43,183.55,181.39,182.47,6682838,182.47
2022-01-04,181.76,183.58,179.94,181.76,2132520,181.76
2022-01-05,186.99,187.75,185.13,186.44,8344061,186.44
2022-01-06,178.17,179.1,176.1,177.6,9573739,177.6
2022-01-07,184.36,186.0,184.02,185.01,3815527,185.01
2022-01-10,180.45,181.9,179.6,180.75,6614347,180.75
2022-01-11,180.1,181.67,177.93,179.8,5930528,179.8
2022-01-12,185.0,186.36,183.84,185.1,4921956,185.1
2022-01-13,181.07,183.05,180.09,181.57,3906183,181.57
2022-01-14,179.14,180.83,178.23,179.53,8213065,179.53
2022-01-18,180.39,181.77,177.93,179.85,6942134,179.85
2022-01-19,178.1,178.39,175.75,177.07,1510319,177.07
2022-01-20,182.14,182.8,179.14,180.97,6354872,180.97
2022-01-21,180.56,182.69,179.89,181.29,5926574,181.29
2022-01-24,179.76,180.54,178.04,179.29,9490459,179.29
2022-01-25,174.95,175.84,173.82,174.83,8156286,174.83
2022-01-26,174.76,175.71,174.13,174.92,2111310,174.92
2022-01-27,177.08,178.07,176.65,177.36,7918900,177.36
2022-01-28,174.85,175.53,173.27,174.4,2662300,174.4
2022-01-31,172.23,174.8,171.46,173.13,1582413,173.13
2022-02-01,178.46,180.04,176.82,178.43,9165001,178.43
2022-02-02,173.28,175.0,172.58,173.79,9947059,173.79
