date,open,high,low,close,volume,adjusted_close
2021-01-04,492.72,495.02,486.52,490.77,8296143,490.77
2021-01-05,486.0,488.92,483.08,486.0,3642840,486.0
2021-01-06,488.61,495.82,485.52,490.67,6005380,490.67
2021-01-07,493.54,497.06,486.38,491.72,5953737,491.72
2021-01-08,487.39,489.05,478.69,483.87,6019834,483.87
2021-01-11,490.73,500.04,488.82,494.43,5777447,494.43
2021-01-12,477.95,483.6,476.26,479.93,9799373,479.93
2021-01-13,499.73,500.33,496.05,498.19,8632556,498.19
2021-01-14,483.72,484.82,479.56,482.19,6780229,482.19
2021-01-15,484.8,488.08,477.5,482.79,3517339,482.79
2021-01-19,485.74,489.78,482.16,485.97,2917877,485.97
2021-01-20,489.44,493.83,483.13,488.48,4621889,488.48
2021-01-21,480.74,483.04,475.38,479.21,2399580,479.21
2021-01-22,500.63,507.6,499.2,503.4,8374087,503.4
2021-01-25,489.77,494.24,485.48,489.86,6720199,489.86
2021-01-26,481.82,486.8,480.42,483.61,5821852,483.61
2021-01-27,498.79,506.15,495.63,500.89,9193780,500.89
2021-01-28,500.36,501.25,494.43,497.84,1787757,497.84
2021-01-29,506.3,508.65,499.93,504.29,5189343,504.29
2021-02-01,509.79,510.76,503.86,507.31,4022156,507.31
2021-02-02,507.35,509.78,504.5,507.14,3268124,507.14
2021-02-03,492.58,494.23,487.61,490.92,3178705,490.92
2021-02-04,502.92,507.69,501.49,504.59,2304093,504.59
2021-02-05,504.81,507.8,501.7,504.75,6629241,504.75
2021-02-08,492.61,494.09,489.17,491.63,1924620,491.63
2021-02-09,507.3,509.89,504.01,506.95,2601086,506.95
2021-02-10,504.57,507.79,503.55,505.67,2085854,505.67
2021-02-11,493.44,496.09,490.57,493.33,7331082,493.33
2021-02-12,494.42,497.47,492.71,495.09,9611066,495.09
2021-02-16,506.44,508.18,497.96,503.07,8612073,503.07
2021-02-17,512.75,518.56,510.38,514.47,9838979,514.47
2021-02-18,488.19,494.73,487.21,490.97,8728323,490.97
2021-02-19,504.31,506.51,496.03,501.27,2995029,501.27
2021-02-22,498.98,501.91,495.09,498.5,9890607,498.5
2021-02-23,509.7,516.31,507.25,511.78,5908497,511.78
2021-02-24,510.63,512.16,507.06,509.61,2081420,509.61
2021-02-25,511.09,512.62,507.52,510.07,9248220,510.07
2021-02-26,496.65,500.22,491.3,495.76,8215250,495.76
2021-03-01,506.49,513.27,504.47,508.87,9432493,508.87
2021-03-02,506.54,508.55,500.17,504.36,8062386,504.36
2021-03-03,505.26,509.42,498.18,503.8,7785093,503.8
2021-03-04,498.0,500.73,496.39,498.56,8898907,498.56
2021-03-05,518.74,522.83,513.75,518.29,5916045,518.29
2021-03-08,513.18,519.93,511.89,515.91,8373526,515.91
2021-03-09,500.1,503.38,497.82,500.6,5196831,500.6
2021-03-10,514.61,521.67,510.47,516.07,8685387,516.07
2021-03-11,522.34,525.98,515.88,520.93,5531014,520.93
2021-03-12,525.73,527.16,519.2,523.18,9249272,523.18
2021-03-15,511.61,518.38,507.1,512.74,3333790,512.74
2021-03-16,508.37,510.89,505.75,508.32,9536521,508.32
2021-03-17,498.15,506.43,495.81,501.12,6208732,501.12
2021-03-18,524.41,528.2,523.46,525.83,2354410,525.83
2021-03-19,515.18,522.78,511.92,517.35,2970580,517.35
2021-03-22,509.89,513.03,508.13,510.58,2013066,510.58
2021-03-23,509.08,511.24,503.52,507.38,3709022,507.38
2021-03-24,524.46,530.62,522.52,526.57,3991774,526.57
2021-03-25,518.29,519.33,513.55,516.44,4743032,516.44
2021-03-26,515.98,518.19,508.59,513.39,2020307,513.39
2021-03-29,531.87,535.77,524.95,530.36,5067574,530.36
2021-03-30,516.57,518.87,512.47,515.67,6111094,515.67
2021-03-31,531.69,534.94,527.02,530.98,9562369,530.98
2021-04-01,515.96,520.86,514.5,517.68,2223693,517.68
2021-04-05,526.03,532.04,524.8,528.42,6381207,528.42
2021-04-06,522.01,523.36,515.42,519.39,3669273,519.39
2021-04-07,532.04,537.22,530.98,534.1,5230087,534.1
2021-04-08,508.56,515.77,507.39,511.58,8907684,511.58
2021-04-09,510.28,514.05,506.35,510.2,4460121,510.2
2021-04-12,536.95,539.23,533.23,536.23,7771732,536.23
2021-04-13,517.06,517.84,511.82,514.83,5741837,514.83
2021-04-14,528.96,530.4,520.1,525.25,7306316,525.25
2021-04-15,516.85,518.88,512.9,515.89,9337336,515.89
2021-04-16,519.5,525.31,516.09,520.7,8042347,520.7
2021-04-19,531.64,535.94,530.76,533.35,3921767,533.35
2021-04-20,537.62,541.86,536.2,539.03,5370575,539.03
2021-04-21,531.11,532.78,520.88,526.83,8629996,526.83
2021-04-22,521.93,526.63,521.29,523.96,4963122,523.96
2021-04-23,539.86,541.41,530.37,535.89,7602076,535.89
2021-04-26,537.3,539.87,534.29,537.08,6432124,537.08
2021-04-27,525.98,531.59,520.59,526.09,2960679,526.09
2021-04-28,535.95,537.18,529.5,533.34,7447114,533.34
2021-04-29,522.66,529.43,521.07,525.25,1600329,525.25
2021-04-30,525.66,529.81,522.13,525.97,8507316,525.97
2021-05-03,522.39,526.96,521.1,524.03,2402332,524.03
2021-05-04,538.99,544.99,536.29,540.64,2863781,540.64
2021-05-05,541.76,543.87,536.85,540.36,9254300,540.36
2021-05-06,523.24,524.54,518.34,521.44,5331589,521.44
2021-05-07,534.96,539.46,527.62,533.54,6109492,533.54
2021-05-10,533.31,541.18,529.94,535.56,6135780,535.56
2021-05-11,540.79,546.47,535.11,540.79,6709480,540.79
2021-05-12,523.34,528.9,522.28,525.59,9348246,525.59
2021-05-13,550.78,552.22,546.46,549.34,7792625,549.34
2021-05-14,546.46,549.16,542.72,545.94,1731488,545.94
2021-05-17,540.5,543.08,531.36,537.22,3763988,537.22
2021-05-18,539.62,547.63,535.49,541.56,7679944,541.56
2021-05-19,535.7,538.99,533.85,536.42,5801866,536.42
2021-05-20,545.77,550.71,543.55,547.13,8022901,547.13
2021-05-21,547.65,550.63,545.75,548.19,9016909,548.19
2021-05-24,534.6,538.88,530.32,534.6,3047480,534.6
2021-05-25,541.82,543.51,535.47,539.49,4714469,539.49
2021-05-26,545.74,547.34,535.06,541.2,1959597,541.2
2021-05-27,533.78,536.56,529.62,533.09,5622850,533.09
2021-05-28,544.17,548.77,538.07,543.42,1781167,543.42
2021-06-01,537.23,542.5,534.0,538.25,4446028,538.25
2021-06-02,551.28,558.48,546.28,552.38,5361791,552.38
2021-06-03,540.17,541.35,534.79,538.07,6758792,538.07
2021-06-04,546.08,548.33,538.11,543.22,2993908,543.22
2021-06-07,536.86,538.87,529.31,534.09,4399349,534.09
2021-06-08,551.31,552.62,546.68,549.65,7853828,549.65
2021-06-09,545.19,552.85,541.91,547.38,6289220,547.38
2021-06-10,547.61,549.58,544.66,547.12,1749410,547.12
2021-06-11,548.18,551.02,538.66,544.84,2996947,544.84
2021-06-14,557.0,558.31,553.81,556.06,2703901,556.06
2021-06-15,536.96,542.02,535.28,538.65,3684895,538.65
2021-06-16,552.94,554.56,544.44,549.5,1776554,549.5
2021-06-17,549.24,553.23,545.71,549.47,9298757,549.47
2021-06-18,547.66,548.82,539.14,543.98,8187198,543.98
2021-06-21,563.61,568.98,560.84,564.91,5174264,564.91
2021-06-22,550.1,551.61,546.73,549.17,7760059,549.17
2021-06-23,559.38,561.72,553.92,557.82,3261260,557.82
2021-06-24,563.55,565.55,553.03,559.29,4416794,559.29
2021-06-25,552.89,555.75,550.45,553.1,3320116,553.1
2021-06-28,563.08,567.03,561.39,564.21,1683620,564.21
2021-06-29,548.32,556.37,545.63,551.0,3366815,551.0
2021-06-30,550.26,555.22,549.58,552.4,2007122,552.4
2021-07-01,547.33,549.56,542.58,546.07,7137098,546.07
2021-07-02,563.13,565.16,559.2,562.18,4579976,562.18
2021-07-06,556.95,559.93,550.61,555.27,9648938,555.27
2021-07-07,562.83,566.6,560.52,563.56,2388028,563.56
2021-07-08,553.18,556.5,550.96,553.73,1789870,553.73
2021-07-09,566.1,567.18,558.9,563.04,7634717,563.04
2021-07-12,564.24,570.62,562.74,566.68,3238409,566.68
2021-07-13,572.95,574.68,567.48,571.08,2939746,571.08
2021-07-14,573.49,579.87,568.05,573.96,6061076,573.96
2021-07-15,572.88,576.7,569.36,573.03,8062598,573.03
2021-07-16,553.88,562.47,551.99,557.23,7177208,557.23
2021-07-19,558.49,559.28,554.66,556.97,9143753,556.97
2021-07-20,572.75,575.42,569.36,572.39,4274926,572.39
2021-07-21,582.49,583.63,573.27,578.45,5422399,578.45
2021-07-22,555.34,558.68,549.64,554.16,3938533,554.16
2021-07-23,564.06,573.67,561.81,567.74,3777129,567.74
2021-07-26,570.85,572.64,564.84,568.74,3073907,568.74
2021-07-27,577.26,581.68,572.28,576.98,7767883,576.98
2021-07-28,583.15,586.87,574.05,580.46,3405341,580.46
2021-07-29,570.84,572.6,562.22,567.41,2905353,567.41
