date,open,high,low,close,volume,adjusted_close
2021-01-04,72.5,72.68,71.82,72.25,7319989,72.25
2021-01-05,71.28,72.32,71.04,71.68,7244649,71.68
2021-01-06,70.26,71.02,69.88,70.45,2468983,70.45
2021-01-07,73.03,73.41,71.93,72.67,1745824,72.67
2021-01-08,73.14,73.64,72.72,73.18,4819796,73.18
2021-01-11,70.18,70.51,69.77,70.14,8654925,70.14
2021-01-12,70.41,70.83,70.11,70.47,4081871,70.47
2021-01-13,70.75,71.19,69.87,70.53,1745657,70.53
2021-01-14,73.95,74.24,73.4,73.82,3868135,73.82
2021-01-15,73.33,74.51,73.05,73.78,9183769,73.78
2021-01-19,71.73,72.45,71.11,71.78,9173556,71.78
2021-01-20,72.35,72.57,71.09,71.83,3277275,71.83
2021-01-21,72.93,73.69,72.35,73.02,7094753,73.02
2021-01-22,72.66,73.56,72.34,72.95,8617136,72.95
2021-01-25,73.16,73.67,72.17,72.92,8885976,72.92
2021-01-26,72.22,72.5,71.78,72.14,5954371,72.14
2021-01-27,71.6,72.14,71.18,71.66,5837154,71.66
2021-01-28,73.14,73.54,72.62,73.08,9888446,73.08
2021-01-29,71.04,71.41,70.39,70.9,5878214,70.9
2021-02-01,73.47,74.07,73.37,73.72,5828964,73.72
2021-02-02,71.67,72.37,71.55,71.96,4846485,71.96
2021-02-03,71.69,71.79,71.03,71.41,3763677,71.41
2021-02-04,72.72,72.93,71.67,72.3,1769993,72.3
2021-02-05,73.8,74.68,73.54,74.11,3275373,74.11
2021-02-08,72.84,73.64,72.58,73.11,7772015,73.11
2021-02-09,74.4,75.11,73.91,74.51,2752831,74.51
2021-02-10,72.18,72.52,71.2,71.86,5579904,71.86
2021-02-11,72.52,72.74,71.92,72.33,6823983,72.33
2021-02-12,71.74,72.38,71.6,71.99,9287928,71.99
2021-02-16,71.57,72.3,71.36,71.83,2547052,71.83
2021-02-17,73.41,73.54,72.62,73.08,8830796,73.08
2021-02-18,72.9,73.16,71.78,72.47,4159911,72.47
2021-02-19,73.13,74.21,72.77,73.49,9231615,73.49
2021-02-22,72.14,72.59,71.43,72.01,3227331,72.01
2021-02-23,72.74,73.1,72.24,72.67,5086288,72.67
2021-02-24,74.51,75.5,73.96,74.73,6957626,74.73
2021-02-25,72.11,72.42,71.72,72.07,7061566,72.07
2021-02-26,73.32,73.94,73.08,73.51,5782738,73.51
2021-03-01,73.69,73.88,73.02,73.45,6576788,73.45
2021-03-02,75.22,75.48,74.68,75.08,9431177,75.08
2021-03-03,74.09,74.36,73.2,73.78,3790627,73.78
2021-03-04,73.86,74.97,73.53,74.25,6521613,74.25
2021-03-05,73.7,73.85,72.47,73.16,9506159,73.16
2021-03-08,72.51,73.19,71.81,72.5,7919561,72.5
2021-03-09,74.09,74.62,74.0,74.31,5360004,74.31
2021-03-10,72.55,73.23,71.93,72.58,1600598,72.58
2021-03-11,73.57,73.9,73.0,73.45,4241493,73.45
2021-03-12,74.57,75.02,74.02,74.52,8524205,74.52
2021-03-15,73.26,74.05,73.15,73.6,6318642,73.6
2021-03-16,73.06,73.43,72.01,72.72,4513264,72.72
2021-03-17,73.46,74.01,72.91,73.46,6848920,73.46
2021-03-18,75.56,75.83,75.15,75.49,2120610,75.49
2021-03-19,74.91,75.91,74.75,75.33,3041924,75.33
2021-03-22,75.15,75.59,74.01,74.8,4631982,74.8
2021-03-23,74.83,75.14,73.66,74.4,3374069,74.4
2021-03-24,74.19,74.7,73.92,74.31,8666825,74.31
2021-03-25,75.78,76.13,75.01,75.57,8133819,75.57
2021-03-26,73.66,74.53,72.95,73.74,9678835,73.74
2021-03-29,74.58,75.14,74.02,74.58,3945720,74.58
2021-03-30,74.26,74.4,73.64,74.02,5318872,74.02
2021-03-31,74.9,76.24,74.7,75.47,5261523,75.47
2021-04-01,76.56,76.75,75.25,76.0,2272317,76.0
2021-04-05,76.66,76.98,75.54,76.26,1940308,76.26
2021-04-06,74.15,74.32,73.6,73.96,8315667,73.96
2021-04-07,75.13,76.16,74.64,75.4,5632822,75.4
2021-04-08,74.57,75.36,73.9,74.63,8810116,74.63
2021-04-09,76.64,76.85,76.05,76.45,5905424,76.45
2021-04-12,73.97,74.43,73.35,73.89,3947567,73.89
2021-04-13,75.81,76.08,75.08,75.58,8397503,75.58
2021-04-14,74.72,74.94,73.82,74.38,6558870,74.38
2021-04-15,77.17,77.35,76.73,77.04,1746701,77.04
2021-04-16,75.87,76.06,74.58,75.32,5210317,75.32
2021-04-19,75.52,76.07,75.45,75.76,5150801,75.76
2021-04-20,74.07,74.47,73.65,74.06,9201081,74.06
2021-04-21,75.93,76.55,75.85,76.2,2149761,76.2
2021-04-22,74.31,74.83,73.91,74.37,3548993,74.37
2021-04-23,77.75,78.22,77.16,77.69,8698606,77.69
2021-04-26,77.03,77.16,75.94,76.55,5761679,76.55
2021-04-27,76.44,76.59,75.47,76.03,5240717,76.03
2021-04-28,76.78,77.67,76.23,76.95,7321708,76.95
2021-04-29,77.53,77.89,77.23,77.56,4456355,77.56
2021-04-30,75.73,76.2,75.08,75.64,6560768,75.64
2021-05-03,75.79,76.35,75.11,75.73,5913885,75.73
2021-05-04,75.33,75.96,74.78,75.37,2263877,75.37
2021-05-05,76.11,76.95,75.71,76.33,6446582,76.33
2021-05-06,78.01,78.27,77.31,77.79,9224143,77.79
2021-05-07,77.35,78.09,76.99,77.54,4585063,77.54
2021-05-10,76.88,77.32,76.48,76.9,9293078,76.9
2021-05-11,75.5,75.95,74.27,75.11,3357343,75.11
2021-05-12,75.17,76.38,75.0,75.69,4566002,75.69
2021-05-13,75.58,76.03,74.99,75.51,8841407,75.51
2021-05-14,76.75,77.07,75.89,76.48,4178623,76.48
2021-05-17,77.49,78.29,76.55,77.42,3820044,77.42
2021-05-18,75.56,76.02,74.36,75.19,9552942,75.19
2021-05-19,78.51,79.48,77.72,78.6,8427795,78.6
2021-05-20,78.29,79.04,78.12,78.58,6527688,78.58
2021-05-21,77.81,78.11,76.47,77.29,5907832,77.29
2021-05-24,77.34,77.87,77.07,77.47,5231624,77.47
2021-05-25,76.71,77.0,75.56,76.28,7444710,76.28
2021-05-26,79.41,79.72,78.22,78.97,5352709,78.97
2021-05-27,77.73,78.68,77.24,77.96,5768504,77.96
2021-05-28,76.14,76.59,75.83,76.21,3200671,76.21
2021-06-01,75.83,77.27,75.55,76.41,6652246,76.41
2021-06-02,77.56,78.17,76.81,77.49,2642045,77.49
2021-06-03,77.09,77.37,76.69,77.03,8460209,77.03
2021-06-04,76.61,77.09,76.21,76.65,8534436,76.65
2021-06-07,79.36,80.18,78.4,79.29,9718044,79.29
2021-06-08,78.06,78.81,77.43,78.12,8110996,78.12
2021-06-09,75.77,76.82,75.54,76.18,4630488,76.18
2021-06-10,77.0,77.2,75.94,76.57,9399434,76.57
2021-06-11,79.11,79.62,78.98,79.3,7665851,79.3
2021-06-14,77.87,79.09,77.49,78.29,6713374,78.29
2021-06-15,78.28,79.03,78.09,78.56,9524490,78.56
2021-06-16,77.34,77.44,76.8,77.12,7379354,77.12
2021-06-17,78.31,79.6,77.94,78.77,4431532,78.77
2021-06-18,77.92,78.49,77.57,78.03,1948588,78.03
2021-06-21,79.63,80.03,79.23,79.63,9732520,79.63
2021-06-22,78.59,79.16,78.52,78.84,4025201,78.84
2021-06-23,80.32,80.82,79.64,80.23,9557168,80.23
2021-06-24,78.34,78.46,77.38,77.92,4860159,77.92
2021-06-25,80.27,81.01,79.59,80.3,6206998,80.3
2021-06-28,79.3,80.02,78.3,79.16,6146688,79.16
2021-06-29,79.55,79.94,78.5,79.22,3216703,79.22
2021-06-30,77.6,78.19,77.15,77.67,9710753,77.67
2021-07-01,79.25,80.27,78.99,79.63,1945930,79.63
2021-07-02,80.18,81.1,79.46,80.28,5723074,80.28
2021-07-06,79.61,80.07,79.21,79.64,4981077,79.64
2021-07-07,77.53,78.71,77.23,77.97,1675610,77.97
2021-07-08,80.25,81.44,79.76,80.6,3942179,80.6
2021-07-09,78.51,79.15,78.39,78.77,8735766,78.77
2021-07-12,78.27,78.38,77.64,78.01,3510315,78.01
2021-07-13,77.12,78.14,76.54,77.34,7825626,77.34
2021-07-14,78.18,78.37,76.67,77.52,8430239,77.52
2021-07-15,80.46,80.85,79.89,80.37,5628689,80.37
2021-07-16,78.92,79.3,78.14,78.72,4181017,78.72
2021-07-19,78.86,79.12,77.6,78.36,7163113,78.36
2021-07-20,79.93,80.28,79.52,79.9,5215164,79.9
2021-07-21,78.54,79.18,78.22,78.7,6841943,78.7
2021-07-22,81.38,81.63,80.97,81.3,6290452,81.3
2021-07-23,78.64,78.81,77.25,78.03,9271919,78.03
2021-07-26,81.21,81.75,80.37,81.06,7421091,81.06
2021-07-27,80.74,81.78,80.48,81.13,3035930,81.13
2021-07-28,81.22,81.82,80.36,81.09,2336049,81.09
2021-07-29,81.23,82.27,80.47,81.37,3984992,81.37
2021-07-30,79.18,80.0,78.94,79.47,3617053,79.47
2021-08-02,81.43,82.27,80.55,81.41,5151081,81.41
2021-08-03,81.28,82.25,80.73,81.49,6313706,81.49
2021-08-04,80.19,80.76,80.0,80.38,3281615,80.38
2021-08-05,81.6,82.17,81.35,81.76,5359220,81.76
2021-08-06,81.15,81.66,80.36,81.01,6120931,81.01
2021-08-09,78.26,78.98,77.96,78.47,6870099,78.47
2021-08-10,82.07,82.66,81.94,82.3,2309608,82.3
2021-08-11,79.56,80.0,79.36,79.68,7951301,79.68
2021-08-12,80.25,80.4,79.5,79.95,5510633,79.95
2021-08-13,80.06,80.87,79.39,80.13,3528755,80.13
