date,open,high,low,close,volume,adjusted_close
2021-01-04,266.79,268.41,264.45,266.43,7849569,266.43
2021-01-05,266.32,267.84,265.02,266.43,5612276,266.43
2021-01-06,267.35,267.82,264.18,266.0,5026157,266.0
2021-01-07,260.74,262.28,258.34,260.31,2605171,260.31
2021-01-08,264.55,266.44,263.92,265.18,2409215,265.18
2021-01-11,267.75,270.03,266.87,268.45,4519538,268.45
2021-01-12,260.53,263.77,259.45,261.61,7658735,261.61
2021-01-13,262.34,265.46,261.46,263.46,2279772,263.46
2021-01-14,263.01,265.2,261.06,263.13,7829477,263.13
2021-01-15,267.3,271.14,266.78,268.96,7600882,268.96
2021-01-19,271.75,274.3,268.08,271.19,5858449,271.19
2021-01-20,268.68,269.46,266.76,268.11,3079021,268.11
2021-01-21,270.76,271.47,269.01,270.24,4231661,270.24
2021-01-22,269.01,269.73,265.95,267.84,8325911,267.84
2021-01-25,263.63,264.24,260.18,262.21,8454475,262.21
2021-01-26,260.99,262.24,259.52,260.88,1694524,260.88
2021-01-27,271.82,274.11,269.87,271.99,8164276,271.99
2021-01-28,268.36,269.0,265.8,267.4,1985190,267.4
2021-01-29,265.9,270.4,264.78,267.59,2976730,267.59
2021-02-01,261.89,265.98,260.22,263.1,8013539,263.1
2021-02-02,271.7,272.97,267.67,270.32,1761666,270.32
2021-02-03,262.85,264.75,261.59,263.17,4500190,263.17
2021-02-04,271.07,273.6,267.72,270.66,7697487,270.66
2021-02-05,267.04,268.21,262.37,265.29,9967990,265.29
2021-02-08,268.4,270.37,264.91,267.64,6792774,267.64
2021-02-09,265.52,268.07,264.27,266.17,2767063,266.17
2021-02-10,277.4,279.18,274.74,276.96,9340130,276.96
2021-02-11,270.19,273.65,269.27,271.46,4890731,271.46
2021-02-12,271.85,273.34,269.52,271.43,5468611,271.43
2021-02-16,275.61,277.57,274.95,276.26,5254815,276.26
2021-02-17,271.42,274.0,269.22,271.61,9922996,271.61
2021-02-18,276.83,278.27,272.95,275.61,8571263,275.61
2021-02-19,273.02,276.14,271.34,273.74,2168345,273.74
2021-02-22,275.27,276.06,273.66,274.86,9575657,274.86
2021-02-23,276.03,277.8,275.5,276.65,5593453,276.65
2021-02-24,274.57,277.63,272.35,274.99,8548912,274.99
2021-02-25,271.92,274.85,270.83,272.84,7443617,272.84
2021-02-26,274.51,276.71,271.93,274.32,2149244,274.32
2021-03-01,275.13,278.37,274.77,276.57,8086000,276.57
2021-03-02,276.51,278.77,273.63,276.2,3126606,276.2
2021-03-03,270.54,272.51,270.17,271.34,2019606,271.34
2021-03-04,272.65,277.53,271.51,274.52,7528489,274.52
