date,open,high,low,close,volume,adjusted_close
2021-01-04,60.86,61.26,60.74,61.0,4555054,61.0
2021-01-05,62.77,62.95,62.09,62.52,2582709,62.52
2021-01-06,59.92,60.4,59.62,60.01,5794349,60.01
2021-01-07,60.78,61.17,60.05,60.61,6375655,60.61
2021-01-08,60.94,61.42,60.62,61.02,5650350,61.02
2021-01-11,61.93,62.53,61.37,61.95,1993158,61.95
2021-01-12,62.25,62.44,61.66,62.05,9795346,62.05
2021-01-13,62.11,63.05,61.67,62.36,6457942,62.36
2021-01-14,62.88,63.26,62.52,62.89,9893639,62.89
2021-01-15,62.11,62.26,61.24,61.75,3888235,61.75
2021-01-19,61.79,61.96,61.42,61.69,6183658,61.69
2021-01-20,62.53,62.73,62.03,62.38,3237182,62.38
2021-01-21,62.45,62.53,61.93,62.23,3619916,62.23
2021-01-22,63.39,63.79,62.47,63.13,2371180,63.13
2021-01-25,61.29,62.09,61.11,61.6,2242328,61.6
2021-01-26,62.56,63.16,61.9,62.53,1979322,62.53
2021-01-27,62.34,63.06,61.72,62.39,8456036,62.39
2021-01-28,62.31,63.08,61.68,62.38,9184995,62.38
2021-01-29,60.54,61.55,60.37,60.96,9865364,60.96
2021-02-01,61.78,62.2,61.54,61.87,7113627,61.87
2021-02-02,61.7,61.82,61.12,61.47,1987433,61.47
2021-02-03,61.91,62.15,61.35,61.75,1733500,61.75
2021-02-04,62.44,62.69,62.19,62.44,7002600,62.44
2021-02-05,62.47,62.91,62.15,62.53,2031792,62.53
2021-02-08,62.61,62.87,61.93,62.4,5987022,62.4
2021-02-09,61.03,62.08,60.7,61.39,1920894,61.39
2021-02-10,60.84,61.28,60.44,60.86,3525958,60.86
2021-02-11,62.12,62.39,61.25,61.82,8623906,61.82
2021-02-12,62.18,62.85,62.11,62.48,4351440,62.48
2021-02-16,61.68,61.8,61.18,61.49,8296071,61.49
2021-02-17,62.33,63.06,62.22,62.64,8773203,62.64
2021-02-18,63.15,63.56,62.4,62.98,7234455,62.98
2021-02-19,62.75,62.85,62.35,62.6,1749350,62.6
2021-02-22,61.13,62.01,60.91,61.46,9361450,61.46
2021-02-23,61.2,61.84,60.56,61.2,1977080,61.2
2021-02-24,61.12,61.31,60.55,60.93,8492945,60.93
2021-02-25,61.72,62.21,61.33,61.77,9296914,61.77
2021-02-26,63.8,64.05,62.79,63.42,3256470,63.42
2021-03-01,63.16,63.47,62.25,62.86,8895265,62.86
2021-03-02,61.58,61.96,61.22,61.59,4802039,61.59
2021-03-03,63.39,63.99,62.97,63.48,9338431,63.48
2021-03-04,61.35,61.89,61.07,61.48,5725704,61.48
2021-03-05,61.62,62.08,61.14,61.61,5372521,61.61
2021-03-08,62.37,63.18,61.88,62.53,8993628,62.53
2021-03-09,64.45,64.7,63.7,64.2,7349425,64.2
2021-03-10,63.92,64.07,63.47,63.77,2977665,63.77
2021-03-11,61.51,62.15,61.13,61.64,2725787,61.64
2021-03-12,64.2,64.56,64.04,64.3,3557701,64.3
2021-03-15,62.44,62.77,61.97,62.37,2874849,62.37
2021-03-16,61.95,62.31,61.55,61.93,9422442,61.93
2021-03-17,62.26,62.6,61.42,62.01,2927661,62.01
2021-03-18,62.82,63.37,62.43,62.9,5192271,62.9
2021-03-19,63.79,64.46,63.4,63.93,1853387,63.93
2021-03-22,62.15,62.66,61.44,62.05,7125168,62.05
2021-03-23,64.02,64.94,63.48,64.21,1817547,64.21
2021-03-24,63.02,63.15,62.31,62.73,9690555,62.73
2021-03-25,62.1,62.27,61.63,61.95,5717024,61.95
2021-03-26,61.43,61.88,61.34,61.61,7850407,61.61
2021-03-29,63.33,63.78,62.56,63.17,2458213,63.17
2021-03-30,63.41,63.73,63.09,63.41,3386120,63.41
2021-03-31,63.2,63.3,62.64,62.97,3000875,62.97
2021-04-01,65.23,65.41,64.01,64.71,9745037,64.71
2021-04-05,62.15,62.54,61.98,62.26,7157860,62.26
2021-04-06,61.75,62.19,61.57,61.88,2958019,61.88
2021-04-07,64.35,64.52,63.94,64.23,4790460,64.23
2021-04-08,64.5,64.87,64.19,64.53,8397075,64.53
2021-04-09,62.59,62.97,62.39,62.68,9492664,62.68
2021-04-12,63.79,64.14,63.58,63.86,3008908,63.86
2021-04-13,62.49,62.66,61.52,62.09,6416555,62.09
2021-04-14,64.52,64.62,63.72,64.17,7801359,64.17
2021-04-15,64.57,64.95,64.05,64.5,5311408,64.5
2021-04-16,63.2,63.37,62.41,62.89,5720072,62.89
2021-04-19,63.48,64.25,63.07,63.66,4953705,63.66
2021-04-20,63.13,63.63,62.45,63.04,8003808,63.04
2021-04-21,64.47,64.7,64.12,64.41,9911811,64.41
2021-04-22,63.11,63.7,62.88,63.29,8973298,63.29
2021-04-23,64.54,64.96,63.62,64.29,8132779,64.29
2021-04-26,63.29,63.39,62.65,63.02,5005836,63.02
2021-04-27,62.94,63.39,62.85,63.12,5130007,63.12
2021-04-28,63.12,63.39,62.81,63.1,6282763,63.1
2021-04-29,63.86,64.26,63.24,63.75,6325331,63.75
2021-04-30,62.69,63.2,62.02,62.61,4637407,62.61
2021-05-03,62.91,63.49,62.21,62.85,9918525,62.85
2021-05-04,63.67,64.37,63.35,63.86,4951781,63.86
2021-05-05,64.11,65.01,63.93,64.47,9615287,64.47
2021-05-06,64.69,65.73,64.43,65.08,5065370,65.08
2021-05-07,62.98,63.5,62.42,62.96,3024842,62.96
2021-05-10,62.66,62.83,62.09,62.46,7657187,62.46
2021-05-11,62.94,63.41,62.55,62.98,7328355,62.98
2021-05-12,63.05,63.93,62.65,63.29,4392421,63.29
2021-05-13,65.37,65.85,64.95,65.4,7372757,65.4
2021-05-14,62.94,63.19,62.55,62.87,9958771,62.87
2021-05-17,65.07,65.25,64.43,64.84,3540548,64.84
2021-05-18,62.85,63.03,62.23,62.63,2074947,62.63
2021-05-19,65.23,66.14,64.84,65.49,4597620,65.49
2021-05-20,63.21,63.73,62.73,63.23,7569478,63.23
2021-05-21,65.95,66.27,65.15,65.71,4602941,65.71
2021-05-24,64.28,64.89,63.85,64.37,2425631,64.37
2021-05-25,65.37,65.69,64.65,65.17,5629579,65.17
2021-05-26,64.03,64.33,63.65,63.99,6337326,63.99
2021-05-27,64.42,64.62,64.1,64.36,6965252,64.36
2021-05-28,63.59,63.73,62.55,63.14,3271758,63.14
2021-06-01,65.01,65.47,64.67,65.07,8350192,65.07
2021-06-02,63.47,63.97,63.27,63.62,5110179,63.62
2021-06-03,65.06,66.24,64.82,65.53,6085287,65.53
2021-06-04,64.02,64.17,63.55,63.86,5888066,63.86
2021-06-07,64.32,65.33,63.91,64.62,6766339,64.62
2021-06-08,65.76,65.92,64.7,65.31,7118957,65.31
2021-06-09,64.4,65.68,64.26,64.97,2587440,64.97
2021-06-10,65.26,66.0,64.98,65.49,4730977,65.49
2021-06-11,65.36,66.47,65.21,65.84,2337762,65.84
2021-06-14,66.06,66.3,65.5,65.9,3042940,65.9
2021-06-15,63.66,64.59,63.33,63.96,8262016,63.96
2021-06-16,65.78,66.03,64.71,65.37,5490071,65.37
2021-06-17,66.13,66.44,65.74,66.09,2636526,66.09
2021-06-18,65.38,65.61,64.59,65.1,1606627,65.1
2021-06-21,63.97,64.88,63.7,64.29,5870253,64.29
2021-06-22,62.97,63.51,62.79,63.15,8337135,63.15
2021-06-23,65.9,66.3,65.32,65.81,8152769,65.81
2021-06-24,63.91,64.45,63.69,64.07,6208339,64.07
2021-06-25,64.19,64.62,63.36,63.99,3601416,63.99
2021-06-28,64.02,64.96,63.6,64.28,8051781,64.28
2021-06-29,64.35,65.3,64.16,64.73,7373447,64.73
2021-06-30,63.97,64.88,63.5,64.19,7280984,64.19
2021-07-01,65.88,66.57,65.57,66.07,2849221,66.07
2021-07-02,65.14,66.01,64.89,65.45,8554492,65.45
2021-07-06,65.95,66.12,65.18,65.65,9009112,65.65
2021-07-07,63.68,64.02,63.2,63.61,1627649,63.61
2021-07-08,66.07,66.72,65.94,66.33,8340887,66.33
2021-07-09,65.97,66.33,64.99,65.66,3408223,65.66
2021-07-12,63.5,64.01,63.19,63.6,1995548,63.6
2021-07-13,65.5,65.93,64.81,65.37,5781092,65.37
2021-07-14,65.82,66.25,65.03,65.64,3682455,65.64
