date,open,high,low,close,volume,adjusted_close
2021-01-04,83.97,84.59,83.59,84.09,1541788,84.09
2021-01-05,86.87,87.58,86.32,86.95,4734514,86.95
2021-01-06,86.42,87.85,85.99,86.92,5054733,86.92
2021-01-07,84.4,85.38,84.24,84.81,3930804,84.81
2021-01-08,88.01,88.4,86.78,87.59,2493906,87.59
2021-01-11,89.0,89.59,88.61,89.1,4099230,89.1
2021-01-12,86.59,87.83,86.41,87.12,1771283,87.12
2021-01-13,86.32,87.57,85.99,86.78,3268651,86.78
2021-01-14,85.71,86.45,85.45,85.95,3002736,85.95
2021-01-15,87.02,87.47,86.47,86.97,5562285,86.97
2021-01-19,89.66,90.57,89.05,89.81,8626190,89.81
2021-01-20,89.06,89.91,88.47,89.19,4586431,89.19
2021-01-21,88.59,89.25,87.57,88.41,3453811,88.41
2021-01-22,89.3,89.69,88.47,89.08,9482058,89.08
2021-01-25,88.99,89.2,88.12,88.66,4517591,88.66
2021-01-26,88.98,89.64,88.44,89.04,6177555,89.04
2021-01-27,91.61,91.89,90.85,91.37,6835183,91.37
2021-01-28,88.79,89.25,87.85,88.55,5921177,88.55
2021-01-29,91.01,91.25,90.43,90.84,6475661,90.84
2021-02-01,91.6,92.41,90.75,91.58,2411401,91.58
2021-02-02,93.71,94.26,93.12,93.69,3524442,93.69
2021-02-03,94.05,94.31,93.35,93.83,8434623,93.83
2021-02-04,93.45,93.86,91.92,92.89,3340229,92.89
2021-02-05,91.75,91.88,91.02,91.45,3957115,91.45
2021-02-08,91.4,92.0,90.82,91.41,3109399,91.41
2021-02-09,90.96,91.74,90.66,91.2,2086338,91.2
2021-02-10,93.1,94.75,92.69,93.72,2534090,93.72
2021-02-11,93.38,93.74,92.78,93.26,6952372,93.26
2021-02-12,94.68,95.27,93.63,94.45,5474294,94.45
2021-02-16,92.76,93.28,92.5,92.89,4196503,92.89
2021-02-17,95.04,95.64,94.8,95.22,4740658,95.22
2021-02-18,96.35,97.46,95.96,96.71,9563776,96.71
2021-02-19,97.52,98.0,97.0,97.5,9403722,97.5
