date,open,high,low,close,volume,adjusted_close
2021-01-04,250.86,253.41,248.41,250.91,9630119,250.91
2021-01-05,247.13,248.41,245.21,246.81,7493650,246.81
2021-01-06,244.34,246.25,243.07,244.66,3746350,244.66
2021-01-07,247.07,249.26,244.16,246.71,3351327,246.71
2021-01-08,242.94,243.57,241.33,242.45,2236062,242.45
2021-01-11,248.16,251.62,247.0,249.31,5488255,249.31
2021-01-12,249.31,250.31,247.81,249.06,3367170,249.06
2021-01-13,241.38,243.41,238.07,240.74,5465492,240.74
2021-01-14,250.95,253.5,248.5,251.0,9487319,251.0
2021-01-15,248.69,250.1,245.68,247.89,3713098,247.89
2021-01-19,252.21,253.51,248.09,250.8,2338386,250.8
2021-01-20,251.08,252.78,250.12,251.45,4249626,251.45
2021-01-21,252.27,252.83,248.13,250.48,7625758,250.48
2021-01-22,248.1,250.86,247.32,249.09,7745212,249.09
2021-01-25,242.36,242.6,240.46,241.53,2969359,241.53
2021-01-26,245.31,247.89,242.73,245.31,6215480,245.31
2021-01-27,246.04,246.9,244.64,245.77,3702612,245.77
2021-01-28,248.37,251.93,246.99,249.46,6104818,249.46
2021-01-29,246.02,247.69,242.91,245.3,3397815,245.3
2021-02-01,244.87,246.45,241.65,244.05,5907817,244.05
2021-02-02,245.51,245.89,243.33,244.61,8616075,244.61
2021-02-03,246.52,247.79,244.25,246.02,2497814,246.02
2021-02-04,248.55,251.39,246.31,248.85,2262274,248.85
2021-02-05,253.53,254.2,251.54,252.87,3843825,252.87
2021-02-08,242.03,242.85,240.21,241.53,3867579,241.53
2021-02-09,248.5,251.22,246.76,248.99,8468349,248.99
2021-02-10,246.37,247.45,244.37,245.91,3733095,245.91
2021-02-11,246.24,248.48,245.28,246.88,4376100,246.88
2021-02-12,244.44,246.96,241.48,244.22,4892044,244.22
2021-02-16,243.25,246.96,242.32,244.64,7371610,244.64
2021-02-17,252.59,253.11,250.61,251.86,7781269,251.86
2021-02-18,243.29,245.39,242.05,243.72,7019707,243.72
2021-02-19,252.29,253.66,249.76,251.71,7822375,251.71
2021-02-22,247.43,250.28,246.38,248.33,3780177,248.33
2021-02-23,243.31,245.2,242.0,243.6,5412751,243.6
2021-02-24,249.04,250.43,248.41,249.42,4940501,249.42
2021-02-25,247.07,249.19,246.29,247.74,5548737,247.74
2021-02-26,248.71,250.31,245.73,248.02,6534455,248.02
2021-03-01,251.9,254.69,251.07,252.88,8912413,252.88
2021-03-02,245.05,246.84,242.14,244.49,2591412,244.49
2021-03-03,250.94,252.56,247.64,250.1,1741017,250.1
2021-03-04,252.09,255.98,251.66,253.82,7045040,253.82
2021-03-05,249.45,251.47,249.17,250.32,1914962,250.32
2021-03-08,249.93,251.92,246.94,249.43,1964770,249.43
2021-03-09,253.17,253.94,248.78,251.36,1948875,251.36
2021-03-10,250.13,252.15,249.75,250.95,9357366,250.95
2021-03-11,251.11,252.39,249.93,251.16,1696918,251.16
2021-03-12,253.76,255.76,251.68,253.72,8623081,253.72
2021-03-15,243.1,245.28,242.72,244.0,2831125,244.0
2021-03-16,255.95,256.44,254.2,255.32,9419508,255.32
2021-03-17,254.91,256.52,251.5,254.01,3458218,254.01
2021-03-18,248.9,250.69,248.45,249.57,9460410,249.57
2021-03-19,245.82,247.29,241.83,244.56,1640143,244.56
2021-03-22,244.54,246.83,243.25,245.04,7362266,245.04
2021-03-23,248.3,250.9,245.36,248.13,3550843,248.13
2021-03-24,253.29,254.44,249.2,251.82,7143028,251.82
2021-03-25,253.89,254.6,251.66,253.13,7615986,253.13
2021-03-26,244.94,247.1,243.82,245.46,7050104,245.46
2021-03-29,245.53,248.35,244.99,246.67,8090806,246.67
2021-03-30,246.95,247.54,245.56,246.55,6824700,246.55
2021-03-31,245.78,247.32,245.06,246.19,9442662,246.19
2021-04-01,254.59,258.12,253.82,255.97,2211288,255.97
2021-04-05,245.8,247.68,243.68,245.68,5145883,245.68
2021-04-06,245.19,249.01,243.99,246.5,7961374,246.5
2021-04-07,249.66,252.5,249.04,250.77,1618008,250.77
2021-04-08,247.22,247.56,244.92,246.24,6367277,246.24
2021-04-09,251.72,252.69,249.75,251.22,4249337,251.22
