date,open,high,low,close,volume,adjusted_close
2021-01-04,175.32,175.82,172.24,174.03,5960876,174.03
2021-01-05,174.98,176.38,173.84,175.11,2014515,175.11
2021-01-06,178.12,178.59,176.09,177.34,5151911,177.34
2021-01-07,176.13,177.91,174.89,176.4,7956991,176.4
2021-01-08,176.36,177.12,174.68,175.9,2731259,175.9
2021-01-11,181.23,182.71,181.01,181.86,3384563,181.86
2021-01-12,175.13,175.68,173.28,174.48,2279907,174.48
2021-01-13,174.55,175.85,172.97,174.41,5591085,174.41
2021-01-14,179.75,181.13,179.13,180.13,2180981,180.13
2021-01-15,178.01,178.98,176.22,177.6,4237175,177.6
2021-01-19,180.08,181.65,178.37,180.01,7152202,180.01
2021-01-20,179.0,180.82,177.02,178.92,3169882,178.92
2021-01-21,176.61,177.61,174.47,176.04,5507498,176.04
2021-01-22,183.32,184.15,182.17,183.16,4495728,183.16
2021-01-25,177.6,179.77,175.75,177.76,3906196,177.76
2021-01-26,184.71,186.12,181.96,184.04,2419896,184.04
2021-01-27,182.96,184.36,180.24,182.3,9637096,182.3
2021-01-28,183.55,185.69,183.23,184.46,6622403,184.46
2021-01-29,180.26,181.43,179.41,180.42,6722032,180.42
2021-02-01,182.15,184.7,180.52,182.61,2879549,182.61
2021-02-02,183.88,184.83,181.95,183.39,1987177,183.39
2021-02-03,182.83,184.2,182.12,183.16,8776184,183.16
2021-02-04,176.63,178.56,175.68,177.12,2704983,177.12
2021-02-05,180.46,181.32,177.22,179.27,7826149,179.27
2021-02-08,184.67,187.52,183.72,185.62,3845375,185.62
2021-02-09,185.69,188.05,185.43,186.74,9007360,186.74
2021-02-10,177.92,180.08,176.8,178.44,5293304,178.44
2021-02-11,184.29,186.61,182.47,184.54,9315794,184.54
2021-02-12,182.55,184.06,180.46,182.26,8973168,182.26
2021-02-16,184.02,186.25,182.33,184.29,2694433,184.29
2021-02-17,183.56,184.74,183.24,183.99,8767851,183.99
2021-02-18,183.43,183.95,182.09,183.02,8674222,183.02
2021-02-19,186.23,188.22,185.46,186.84,6122418,186.84
2021-02-22,181.36,182.79,179.39,181.09,8399808,181.09
2021-02-23,182.59,183.58,179.9,181.74,1551023,181.74
2021-02-24,183.58,184.23,182.27,183.25,9694777,183.25
2021-02-25,185.17,188.18,184.8,186.49,4756801,186.49
2021-02-26,187.86,190.22,186.8,188.51,5590901,188.51
2021-03-01,186.95,187.55,184.37,185.96,9441991,185.96
2021-03-02,181.42,184.9,180.76,182.83,9361446,182.83
2021-03-03,189.56,190.43,188.41,189.42,6435727,189.42
2021-03-04,190.73,191.36,188.34,189.85,3277429,189.85
2021-03-05,182.41,183.05,181.37,182.21,5095012,182.21
2021-03-08,188.01,188.39,185.87,187.13,5060555,187.13
2021-03-09,187.72,190.52,187.22,188.87,6255845,188.87
2021-03-10,187.65,189.89,186.69,188.29,8019540,188.29
2021-03-11,191.06,192.41,190.05,191.23,9595793,191.23
2021-03-12,183.53,185.67,181.71,183.69,3971636,183.69
2021-03-15,185.49,186.41,184.53,185.47,7117321,185.47
2021-03-16,190.03,191.37,188.19,189.78,5191488,189.78
2021-03-17,188.82,189.86,188.24,189.05,6586106,189.05
2021-03-18,190.91,192.12,189.6,190.86,1578202,190.86
2021-03-19,190.47,191.26,187.08,189.17,7309191,189.17
2021-03-22,185.94,187.74,185.1,186.42,3449462,186.42
2021-03-23,191.56,191.9,189.08,190.49,3370718,190.49
2021-03-24,191.36,192.0,190.18,191.09,6608215,191.09
2021-03-25,191.88,192.44,190.02,191.23,4441747,191.23
2021-03-26,185.44,187.42,183.54,185.48,2388679,185.48
2021-03-29,187.19,188.24,186.72,187.48,1974101,187.48
2021-03-30,190.42,191.75,189.41,190.58,3743793,190.58
2021-03-31,190.48,192.5,189.66,191.08,5535219,191.08
2021-04-01,190.09,191.47,189.81,190.64,6643207,190.64
2021-04-05,190.96,191.82,188.08,189.95,9810467,189.95
2021-04-06,187.29,187.88,185.32,186.6,6156307,186.6
2021-04-07,189.5,191.81,188.31,190.06,9352104,190.06
2021-04-08,191.44,193.06,189.3,191.18,3235967,191.18
2021-04-09,194.74,195.78,193.96,194.87,7964113,194.87
2021-04-12,195.61,196.69,194.23,195.46,4442046,195.46
2021-04-13,191.8,192.36,189.7,191.03,3002309,191.03
2021-04-14,187.45,188.22,186.38,187.3,6400768,187.3
2021-04-15,189.68,190.14,188.36,189.25,3751264,189.25
2021-04-16,194.0,194.46,192.62,193.54,9666865,193.54
2021-04-19,193.62,194.71,190.81,192.76,3163422,192.76
2021-04-20,189.97,190.55,187.31,188.93,3141992,188.93
2021-04-21,188.31,189.33,187.63,188.48,7248110,188.48
2021-04-22,192.51,193.52,189.62,191.57,3209024,191.57
2021-04-23,189.82,190.94,188.98,189.96,4002673,189.96
2021-04-26,195.47,195.83,193.61,194.72,2102634,194.72
2021-04-27,194.28,196.94,193.62,195.28,8146090,195.28
2021-04-28,198.36,199.13,195.61,197.37,4077348,197.37
2021-04-29,194.49,196.5,193.92,195.21,5271052,195.21
2021-04-30,195.67,198.06,194.78,196.42,7573137,196.42
2021-05-03,198.15,200.47,195.93,198.2,4526999,198.2
2021-05-04,193.79,194.66,192.92,193.79,9079560,193.79
2021-05-05,197.78,198.23,195.85,197.04,2381591,197.04
2021-05-06,196.5,199.68,195.44,197.56,6057535,197.56
2021-05-07,199.15,201.27,198.77,200.02,3285845,200.02
2021-05-10,197.86,198.48,196.88,197.68,6828051,197.68
2021-05-11,193.51,195.65,192.87,194.26,9510813,194.26
2021-05-12,200.82,201.15,198.39,199.77,3568558,199.77
2021-05-13,193.33,196.11,192.59,194.35,7612251,194.35
2021-05-14,194.76,196.15,192.91,194.53,1812687,194.53
2021-05-17,199.33,200.55,197.89,199.22,1537404,199.22
2021-05-18,199.31,200.94,198.08,199.51,2997713,199.51
2021-05-19,201.98,203.56,199.04,201.3,9485495,201.3
2021-05-20,200.67,201.12,198.46,199.79,6103753,199.79
2021-05-21,195.65,196.19,194.45,195.32,6030859,195.32
2021-05-24,201.41,203.38,200.2,201.79,7763628,201.79
2021-05-25,199.21,200.88,197.48,199.18,2524441,199.18
2021-05-26,194.61,196.68,194.22,195.45,3731846,195.45
2021-05-27,196.54,197.21,194.81,196.01,8077342,196.01
2021-05-28,198.43,199.75,195.87,197.81,5095816,197.81
2021-06-01,199.93,201.21,198.59,199.9,5399801,199.9
2021-06-02,203.87,205.02,201.9,203.46,9537973,203.46
2021-06-03,196.5,197.7,195.04,196.37,9902605,196.37
2021-06-04,196.55,197.19,193.21,195.2,6036474,195.2
2021-06-07,202.65,203.92,201.22,202.57,4497403,202.57
2021-06-08,198.06,200.02,197.82,198.92,8522081,198.92
2021-06-09,204.85,206.72,204.08,205.4,7072499,205.4
2021-06-10,197.37,197.64,195.98,196.81,9289754,196.81
2021-06-11,199.4,200.19,196.45,198.32,5499909,198.32
2021-06-14,195.95,198.51,195.05,196.78,2598496,196.78
2021-06-15,203.24,204.86,201.92,203.39,6097715,203.39
2021-06-16,204.5,205.26,203.46,204.36,9740608,204.36
2021-06-17,203.67,205.05,202.49,203.77,8271396,203.77
2021-06-18,203.38,205.52,201.24,203.38,4517880,203.38
2021-06-21,198.7,200.1,198.1,199.1,4082820,199.1
2021-06-22,198.55,201.88,197.66,199.77,9621531,199.77
2021-06-23,199.39,199.77,196.63,198.2,5342878,198.2
2021-06-24,207.05,208.94,206.24,207.59,4206100,207.59
2021-06-25,203.37,204.75,202.59,203.67,4582826,203.67
2021-06-28,206.39,208.17,203.61,205.89,9613091,205.89
2021-06-29,204.66,206.37,202.87,204.62,8540841,204.62
2021-06-30,207.29,207.72,205.94,206.83,6541106,206.83
2021-07-01,207.86,208.49,205.63,207.06,1565908,207.06
2021-07-02,202.59,203.27,199.85,201.56,3153190,201.56
2021-07-06,204.95,205.25,203.57,204.41,9794152,204.41
2021-07-07,206.03,206.69,203.41,205.05,7326230,205.05
2021-07-08,200.92,202.16,197.72,199.94,9991742,199.94
2021-07-09,209.24,209.78,205.26,207.52,7242238,207.52
2021-07-12,203.28,205.6,201.74,203.67,3962510,203.67
2021-07-13,205.71,207.08,203.56,205.32,3088291,205.32
2021-07-14,204.44,205.21,200.91,203.06,3672632,203.06
2021-07-15,202.76,203.68,199.7,201.69,1854867,201.69
2021-07-16,201.43,203.41,199.93,201.67,7244593,201.67
2021-07-19,207.64,208.22,203.76,205.99,8603837,205.99
2021-07-20,206.46,208.98,205.16,207.07,2146504,207.07
2021-07-21,209.41,210.3,208.32,209.31,5801965,209.31
2021-07-22,204.64,207.49,203.69,205.59,6142655,205.59
2021-07-23,203.82,205.65,203.55,204.6,9558723,204.6
2021-07-26,207.22,207.58,204.98,206.28,3834396,206.28
2021-07-27,207.95,209.36,204.82,207.09,8853339,207.09
2021-07-28,206.63,208.0,204.74,206.37,7674928,206.37
2021-07-29,207.91,208.82,205.2,207.01,7489345,207.01
2021-07-30,209.9,211.19,208.71,209.95,5468038,209.95
2021-08-02,208.53,210.86,207.16,209.01,9815947,209.01
2021-08-03,210.86,213.71,210.51,212.11,7287921,212.11
2021-08-04,203.92,204.88,203.14,204.01,7953155,204.01
2021-08-05,205.49,206.17,204.23,205.2,2017815,205.2
2021-08-06,206.03,208.59,204.83,206.71,1936502,206.71
2021-08-09,213.49,214.5,212.26,213.38,5583725,213.38
2021-08-10,209.28,209.75,205.85,207.8,4907758,207.8
2021-08-11,214.31,214.98,212.06,213.52,9279907,213.52
2021-08-12,208.06,208.54,204.22,206.38,6491679,206.38
2021-08-13,210.1,212.38,208.0,210.19,3990278,210.19
2021-08-16,206.1,209.08,205.36,207.22,2497450,207.22
2021-08-17,209.52,210.45,208.17,209.31,1612129,209.31
2021-08-18,216.02,216.68,214.86,215.77,6371654,215.77
2021-08-19,208.53,208.9,206.06,207.48,7645757,207.48
2021-08-20,207.47,208.51,204.51,206.51,7770064,206.51
2021-08-23,207.53,210.47,206.01,208.24,1839784,208.24
2021-08-24,214.73,216.05,211.79,213.92,7475419,213.92
2021-08-25,206.62,208.05,205.89,206.97,4302824,206.97
2021-08-26,217.18,219.76,214.8,217.28,9140998,217.28
