date,open,high,low,close,volume,adjusted_close
2021-01-04,135.85,137.53,135.03,136.28,3817303,136.28
2021-01-05,136.16,137.9,135.04,136.47,9381629,136.47
2021-01-06,132.26,133.61,131.83,132.72,6322254,132.72
2021-01-07,135.92,137.24,135.32,136.28,2670261,136.28
2021-01-08,136.54,137.36,134.96,136.16,9199496,136.16
2021-01-11,130.97,131.78,130.52,131.15,6742666,131.15
2021-01-12,137.4,137.93,135.97,136.95,8030063,136.95
2021-01-13,133.64,135.14,133.24,134.19,2126011,134.19
2021-01-14,136.28,138.39,135.79,137.09,4187209,137.09
2021-01-15,138.31,138.73,135.91,137.32,5362475,137.32
2021-01-19,134.33,136.84,133.74,135.29,7013049,135.29
2021-01-20,133.42,133.79,132.61,133.2,3930859,133.2
2021-01-21,134.16,134.64,133.42,134.03,5139811,134.03
2021-01-22,134.01,134.25,132.43,133.34,7336157,133.34
2021-01-25,135.54,136.86,134.5,135.68,9656194,135.68
2021-01-26,134.82,136.08,133.34,134.71,2609724,134.71
2021-01-27,135.84,136.02,134.72,135.37,3897116,135.37
2021-01-28,136.03,137.15,134.81,135.98,5118842,135.98
2021-01-29,136.12,137.18,134.98,136.08,9807882,136.08
2021-02-01,132.72,132.89,131.77,132.33,8403755,132.33
2021-02-02,130.9,131.82,130.2,131.01,3452593,131.01
2021-02-03,130.25,131.61,129.05,130.33,3562917,130.33
2021-02-04,134.03,134.44,132.92,133.68,7182383,133.68
2021-02-05,131.54,133.45,130.47,131.96,9987546,131.96
2021-02-08,134.24,136.44,134.0,135.22,6242000,135.22
2021-02-09,131.51,131.85,129.27,130.56,8456317,130.56
2021-02-10,132.83,133.06,131.7,132.38,5782073,132.38
2021-02-11,135.14,136.01,134.91,135.46,6327451,135.46
2021-02-12,130.94,132.44,129.94,131.19,7424510,131.19
2021-02-16,129.26,130.0,128.42,129.21,7001643,129.21
2021-02-17,135.27,135.51,133.67,134.59,3983757,134.59
2021-02-18,129.61,131.27,128.75,130.01,8232664,130.01
2021-02-19,133.68,134.87,132.85,133.86,5345471,133.86
2021-02-22,130.31,130.6,129.5,130.05,6818704,130.05
2021-02-23,133.97,136.01,133.67,134.84,6321443,134.84
2021-02-24,130.09,130.8,128.78,129.79,2783975,129.79
2021-02-25,130.31,131.27,129.49,130.38,5399156,130.38
2021-02-26,133.83,134.34,132.12,133.23,8760387,133.23
2021-03-01,132.25,132.66,130.7,131.68,8071269,131.68
2021-03-02,129.3,130.63,128.25,129.44,2921554,129.44
2021-03-03,129.73,131.59,129.01,130.3,3716018,130.3
2021-03-04,130.99,131.75,129.59,130.67,4684935,130.67
2021-03-05,128.75,130.18,127.88,129.03,6787948,129.03
2021-03-08,134.44,134.92,133.5,134.21,8985976,134.21
2021-03-09,133.05,135.07,132.51,133.79,8700811,133.79
2021-03-10,127.6,130.03,127.33,128.68,6488880,128.68
2021-03-11,133.94,135.24,132.36,133.8,3508285,133.8
2021-03-12,131.67,133.14,130.6,131.87,7081712,131.87
2021-03-15,129.86,131.52,129.0,130.26,7649064,130.26
2021-03-16,131.73,133.83,131.17,132.5,5334171,132.5
2021-03-17,130.19,130.67,129.13,129.9,5864539,129.9
2021-03-18,132.98,133.4,132.32,132.86,3995651,132.86
2021-03-19,129.77,130.27,128.11,129.19,4505987,129.19
2021-03-22,133.87,134.28,131.7,132.99,3934314,132.99
2021-03-23,130.48,131.59,129.77,130.68,7599709,130.68
2021-03-24,126.48,128.95,126.11,127.53,8527843,127.53
2021-03-25,129.44,130.67,127.73,129.2,4376448,129.2
2021-03-26,133.8,134.08,132.76,133.42,4872069,133.42
2021-03-29,132.42,134.01,131.17,132.59,2776434,132.59
2021-03-30,129.43,130.99,128.39,129.69,9225070,129.69
2021-03-31,127.29,128.6,126.88,127.74,9406654,127.74
2021-04-01,132.14,132.67,131.61,132.14,7941000,132.14
2021-04-05,131.36,132.58,129.74,131.16,6406287,131.16
2021-04-06,132.97,133.5,130.72,132.11,6201431,132.11
2021-04-07,131.36,131.79,129.55,130.67,3135191,130.67
2021-04-08,129.45,130.27,127.87,129.07,5043656,129.07
2021-04-09,132.98,133.95,131.93,132.94,3787322,132.94
2021-04-12,131.2,131.86,130.56,131.21,2089319,131.21
2021-04-13,129.4,130.3,127.64,128.97,8974376,128.97
2021-04-14,131.55,133.04,130.94,131.99,3266179,131.99
2021-04-15,132.63,133.57,130.55,132.06,7969499,132.06
2021-04-16,125.8,127.01,125.51,126.26,9581289,126.26
2021-04-19,125.68,127.04,125.5,126.27,2624642,126.27
2021-04-20,126.57,127.89,125.57,126.73,4886753,126.73
2021-04-21,131.51,133.23,130.31,131.77,9046191,131.77
2021-04-22,128.27,129.29,127.41,128.35,6708116,128.35
2021-04-23,128.35,129.6,128.08,128.84,3286888,128.84
2021-04-26,130.88,131.1,129.6,130.35,9952635,130.35
2021-04-27,127.47,127.78,125.42,126.6,8122557,126.6
2021-04-28,126.99,127.32,125.38,126.35,6518073,126.35
