date,open,high,low,close,volume,adjusted_close
2021-01-04,238.22,241.56,236.42,238.99,9558185,238.99
2021-01-05,240.49,241.77,236.63,239.2,8606785,239.2
2021-01-06,237.75,238.77,234.35,236.56,1785107,236.56
2021-01-07,233.79,234.26,231.12,232.69,1570155,232.69
2021-01-08,243.08,244.02,241.98,243.0,7011804,243.0
2021-01-11,233.98,236.22,233.38,234.8,7231691,234.8
2021-01-12,237.72,239.71,234.73,237.22,8718930,237.22
2021-01-13,245.67,247.74,242.3,245.02,2434292,245.02
2021-01-14,236.18,238.67,234.37,236.52,2136352,236.52
2021-01-15,238.33,238.56,236.44,237.5,7886559,237.5
2021-01-19,235.37,238.08,233.98,236.03,8873944,236.03
2021-01-20,241.88,243.3,240.34,241.82,2270842,241.82
2021-01-21,238.53,241.53,237.63,239.58,8419533,239.58
2021-01-22,239.34,241.7,238.96,240.33,5355684,240.33
2021-01-25,245.55,247.08,244.24,245.66,1704836,245.66
2021-01-26,244.49,247.51,243.43,245.47,9730736,245.47
2021-01-27,241.19,245.26,240.58,242.92,8388963,242.92
2021-01-28,249.67,252.49,247.37,249.93,9969875,249.93
2021-01-29,240.46,242.38,239.92,241.15,4327772,241.15
2021-02-01,251.31,251.74,249.46,250.6,2076711,250.6
2021-02-02,241.82,243.32,237.98,240.65,6630942,240.65
2021-02-03,241.53,245.39,240.51,242.95,1802171,242.95
2021-02-04,242.49,243.45,239.45,241.45,9056786,241.45
2021-02-05,250.02,251.42,249.36,250.39,4947302,250.39
2021-02-08,246.35,247.2,244.54,245.87,7704778,245.87
2021-02-09,244.91,245.82,243.28,244.55,4571174,244.55
2021-02-10,248.82,250.26,245.28,247.77,6185821,247.77
2021-02-11,247.16,247.97,243.49,245.73,4434952,245.73
2021-02-12,244.4,247.4,242.22,244.81,9036432,244.81
2021-02-16,251.97,254.65,249.39,252.02,2847079,252.02
2021-02-17,255.14,256.34,253.26,254.8,3840691,254.8
2021-02-18,256.89,257.37,255.09,256.23,2391909,256.23
2021-02-19,255.58,256.53,252.87,254.7,3290864,254.7
2021-02-22,253.29,256.12,251.24,253.68,2070512,253.68
2021-02-23,248.16,249.61,244.93,247.27,7339659,247.27
2021-02-24,258.95,259.82,254.04,256.93,3796795,256.93
2021-02-25,253.23,256.38,252.72,254.55,7266164,254.55
2021-02-26,253.95,256.26,252.06,254.16,9996435,254.16
2021-03-01,255.64,256.94,253.98,255.46,2314686,255.46
2021-03-02,260.45,262.73,258.35,260.54,8645238,260.54
2021-03-03,254.91,255.95,251.77,253.86,2520385,253.86
2021-03-04,254.9,256.15,251.51,253.83,3498703,253.83
2021-03-05,247.93,251.23,246.89,249.06,1596494,249.06
2021-03-08,253.41,256.42,252.56,254.49,3290972,254.49
2021-03-09,261.39,262.78,260.34,261.56,3128513,261.56
2021-03-10,253.03,256.3,251.02,253.66,7751628,253.66
2021-03-11,259.01,260.21,257.99,259.1,6552356,259.1
2021-03-12,259.73,261.23,257.29,259.26,5473972,259.26
2021-03-15,263.02,263.93,261.09,262.51,9187178,262.51
2021-03-16,256.4,258.19,254.21,256.2,3675725,256.2
2021-03-17,263.86,268.06,262.3,265.18,7554337,265.18
2021-03-18,260.72,261.95,258.43,260.19,4443255,260.19
2021-03-19,263.07,265.52,262.16,263.84,2775697,263.84
2021-03-22,254.82,257.59,254.51,256.05,4623040,256.05
2021-03-23,260.62,262.38,259.58,260.98,4988827,260.98
2021-03-24,260.26,262.2,257.58,259.89,4745248,259.89
2021-03-25,256.66,258.31,254.57,256.44,8336766,256.44
2021-03-26,267.12,268.18,262.58,265.38,7379431,265.38
2021-03-29,259.07,260.36,257.3,258.83,4350288,258.83
2021-03-30,260.49,262.33,257.95,260.14,3126688,260.14
2021-03-31,259.69,262.06,258.18,260.12,2754669,260.12
2021-04-01,260.28,263.91,259.07,261.49,5060255,261.49
2021-04-05,270.34,272.86,267.0,269.93,7729087,269.93
2021-04-06,268.95,271.28,267.58,269.43,5676507,269.43
2021-04-07,269.67,270.58,266.96,268.77,2817505,268.77
2021-04-08,268.58,271.17,267.97,269.57,4405289,269.57
2021-04-09,261.01,262.9,260.78,261.84,6336401,261.84
2021-04-12,275.39,276.07,272.47,274.27,9424151,274.27
2021-04-13,268.28,269.99,265.71,267.85,9357730,267.85
2021-04-14,275.69,276.22,272.18,274.2,8209517,274.2
2021-04-15,272.11,277.01,271.03,274.02,3327688,274.02
2021-04-16,269.89,271.79,267.27,269.53,8571488,269.53
2021-04-19,274.94,275.98,273.16,274.57,7886373,274.57
2021-04-20,265.32,267.61,263.97,265.79,6479707,265.79
2021-04-21,266.41,269.35,265.53,267.44,2581213,267.44
2021-04-22,265.15,266.87,262.67,264.77,1523729,264.77
2021-04-23,273.34,275.24,272.44,273.84,4970822,273.84
2021-04-26,277.88,279.5,276.6,278.05,2833474,278.05
2021-04-27,278.25,279.52,273.76,276.64,9432628,276.64
2021-04-28,275.14,275.95,269.75,272.85,9359997,272.85
2021-04-29,277.68,279.12,275.52,277.32,5021650,277.32
2021-04-30,275.62,277.45,274.45,275.95,8668029,275.95
2021-05-03,269.22,271.91,267.27,269.59,3413392,269.59
2021-05-04,271.39,272.88,268.36,270.62,7519737,270.62
2021-05-05,271.33,273.83,269.37,271.6,6494834,271.6
2021-05-06,274.24,276.96,270.78,273.87,5078846,273.87
2021-05-07,274.12,275.8,273.14,274.47,8609067,274.47
2021-05-10,277.67,279.11,275.11,277.11,3018214,277.11
2021-05-11,282.67,284.41,279.15,281.78,2503257,281.78
2021-05-12,273.39,275.73,271.95,273.84,2751708,273.84
2021-05-13,269.6,273.02,268.64,270.83,2021532,270.83
2021-05-14,276.68,281.78,275.78,278.78,5986885,278.78
2021-05-17,283.13,286.7,282.06,284.38,4438733,284.38
2021-05-18,275.65,278.34,275.1,276.72,1562887,276.72
2021-05-19,275.35,278.99,273.31,276.15,7490826,276.15
2021-05-20,273.7,277.11,272.57,274.84,5017135,274.84
2021-05-21,275.25,278.79,273.87,276.33,1750498,276.33
2021-05-24,286.01,287.11,284.71,285.91,7320604,285.91
2021-05-25,276.76,279.76,273.64,276.7,8403241,276.7
2021-05-26,284.28,285.58,283.04,284.31,2942759,284.31
2021-05-27,278.23,281.52,276.3,278.91,4527707,278.91
2021-05-28,283.23,284.01,281.49,282.75,3035259,282.75
2021-06-01,285.35,288.21,282.13,285.17,9803883,285.17
2021-06-02,282.08,283.66,279.72,281.69,7449410,281.69
2021-06-03,279.26,280.06,274.34,277.2,8493676,277.2
2021-06-04,283.24,286.18,282.46,284.32,6200251,284.32
2021-06-07,292.79,294.01,290.71,292.36,9138133,292.36
2021-06-08,288.91,291.0,288.6,289.8,9656403,289.8
2021-06-09,288.89,293.61,287.85,290.73,4544168,290.73
2021-06-10,293.14,294.85,291.79,293.32,5070274,293.32
2021-06-11,292.4,293.0,287.52,290.26,5055359,290.26
2021-06-14,290.34,296.11,289.63,292.87,9531841,292.87
2021-06-15,286.2,287.42,283.82,285.62,2080296,285.62
2021-06-16,285.86,287.78,283.7,285.74,1834763,285.74
2021-06-17,286.12,286.82,284.14,285.48,7179664,285.48
2021-06-18,286.93,287.72,283.06,285.39,9405033,285.39
2021-06-21,285.5,287.33,285.01,286.17,5548651,286.17
2021-06-22,294.14,296.86,291.62,294.24,9699398,294.24
2021-06-23,294.92,297.1,293.64,295.37,2492587,295.37
2021-06-24,285.3,287.98,283.8,285.89,9183466,285.89
2021-06-25,294.37,295.31,290.63,292.97,3653430,292.97
2021-06-28,283.79,288.27,282.05,285.16,2503938,285.16
2021-06-29,291.25,294.88,288.72,291.8,3647631,291.8
2021-06-30,299.04,301.83,295.35,298.59,6880687,298.59
2021-07-01,292.61,297.52,290.88,294.2,5702496,294.2
2021-07-02,293.59,295.96,293.14,294.55,8025366,294.55
2021-07-06,298.07,299.97,293.41,296.69,5674141,296.69
2021-07-07,301.52,303.41,298.17,300.79,6605494,300.79
2021-07-08,299.45,300.33,295.17,297.75,6742393,297.75
2021-07-09,293.73,296.82,292.4,294.61,8962020,294.61
2021-07-12,297.21,299.68,295.02,297.35,5359477,297.35
2021-07-13,289.87,292.27,288.69,290.48,1967143,290.48
2021-07-14,304.27,307.12,300.16,303.64,2867249,303.64
2021-07-15,300.26,301.82,295.04,298.43,8280147,298.43
2021-07-16,294.99,299.47,293.33,296.4,4622977,296.4
2021-07-19,301.41,303.86,301.08,302.47,6722962,302.47
2021-07-20,295.87,298.46,292.7,295.58,9749565,295.58
2021-07-21,300.37,302.78,299.8,301.29,5299369,301.29
2021-07-22,305.38,308.95,301.95,305.45,6954999,305.45
2021-07-23,298.27,300.08,297.12,298.6,5731069,298.6
2021-07-26,305.39,308.87,303.51,306.19,6665945,306.19
2021-07-27,310.13,311.04,305.36,308.2,7636554,308.2
2021-07-28,304.56,305.14,302.08,303.61,7598471,303.61
2021-07-29,304.78,306.24,302.58,304.41,5782690,304.41
2021-07-30,299.48,303.01,299.09,301.05,6816800,301.05
2021-08-02,304.49,305.33,300.07,302.7,7251194,302.7
2021-08-03,310.2,312.68,306.48,309.58,8713970,309.58
2021-08-04,302.18,304.87,301.63,303.25,4540327,303.25
2021-08-05,310.82,311.61,307.21,309.41,5740312,309.41
2021-08-06,300.04,303.38,298.54,300.96,9071781,300.96
2021-08-09,300.69,301.71,295.33,298.52,5737034,298.52
2021-08-10,312.79,315.46,310.6,313.03,8665875,313.03
2021-08-11,311.02,312.25,307.85,310.05,8892862,310.05
2021-08-12,307.01,309.1,302.76,305.93,8208777,305.93
2021-08-13,313.55,315.98,310.46,313.22,5670446,313.22
2021-08-16,313.54,316.23,312.55,314.39,5454737,314.39
2021-08-17,302.0,305.84,299.1,302.47,3444593,302.47
2021-08-18,304.71,307.24,302.46,304.85,5289877,304.85
2021-08-19,304.12,305.61,302.51,304.06,4511322,304.06
2021-08-20,303.34,306.15,300.75,303.45,1879398,303.45
2021-08-23,308.02,309.7,306.28,307.99,8183481,307.99
2021-08-24,316.64,319.67,315.83,317.75,3246891,317.75
2021-08-25,305.71,311.3,304.64,307.97,5089286,307.97
2021-08-26,312.08,313.25,307.69,310.47,4668149,310.47
2021-08-27,305.84,306.85,303.95,305.4,2052215,305.4
2021-08-30,318.66,322.02,316.22,319.12,5456352,319.12
2021-08-31,313.52,316.75,311.45,314.1,4340189,314.1
2021-09-01,312.81,314.25,311.53,312.89,6531157,312.89
2021-09-02,308.1,314.09,307.13,310.61,9959044,310.61
2021-09-03,318.81,321.31,314.91,318.11,8396371,318.11
2021-09-07,315.73,316.57,310.09,313.33,8669677,313.33
2021-09-08,305.5,311.26,304.24,307.75,5898648,307.75
2021-09-09,310.03,313.33,306.85,310.09,2607079,310.09
2021-09-10,315.28,317.84,314.9,316.37,8232163,316.37
2021-09-13,317.64,319.41,316.73,318.07,8174504,318.07
2021-09-14,317.74,320.04,317.24,318.64,6155608,318.64
2021-09-15,319.43,322.25,317.97,320.11,9100504,320.11
2021-09-16,324.28,326.26,323.12,324.69,6917867,324.69
2021-09-17,324.43,325.01,322.09,323.55,7015510,323.55
2021-09-20,313.25,317.01,310.29,313.65,8726834,313.65
2021-09-21,323.82,325.53,318.95,322.24,2191824,322.24
2021-09-22,330.01,331.39,324.15,327.77,2329591,327.77
2021-09-23,318.47,320.28,316.34,318.31,8334444,318.31
2021-09-24,314.88,320.12,313.4,316.76,6223532,316.76
2021-09-27,328.39,330.92,326.06,328.49,8271318,328.49
2021-09-28,328.71,332.75,326.23,329.49,5642268,329.49
2021-09-29,317.11,319.68,316.76,318.22,1785362,318.22
2021-09-30,319.45,321.64,316.66,319.15,2106526,319.15
2021-10-01,317.38,319.84,314.26,317.05,8563646,317.05
2021-10-04,328.13,331.31,327.39,329.35,1906089,329.35
2021-10-05,329.07,331.18,328.44,329.81,2200253,329.81
2021-10-06,329.26,331.17,324.57,327.87,3125821,327.87
2021-10-07,333.73,335.55,328.81,332.18,5783823,332.18
2021-10-08,331.07,332.93,330.27,331.6,9955300,331.6
2021-10-11,319.02,320.55,315.09,317.82,9702142,317.82
2021-10-12,334.26,336.55,331.35,333.95,1924926,333.95
2021-10-13,326.64,327.44,321.72,324.58,6675596,324.58
2021-10-14,323.5,326.24,321.74,323.99,9590509,323.99
2021-10-15,327.25,329.6,323.72,326.66,1736450,326.66
2021-10-18,322.95,327.86,321.14,324.5,3042977,324.5
2021-10-19,324.78,330.2,322.78,326.49,7669697,326.49
2021-10-20,325.39,327.46,324.66,326.06,1769056,326.06
2021-10-21,320.91,324.18,318.24,321.21,6679555,321.21
2021-10-22,334.56,338.43,333.93,336.18,5917604,336.18
2021-10-25,323.69,325.78,319.8,322.79,2978855,322.79
2021-10-26,327.59,329.15,323.15,326.15,1553904,326.15
2021-10-27,326.72,328.96,325.56,327.26,2366024,327.26
2021-10-28,325.41,326.78,321.08,323.93,3968946,323.93
2021-10-29,336.0,337.76,333.94,335.85,9425884,335.85
2021-11-01,332.47,332.94,329.8,331.37,5731115,331.37
2021-11-02,330.6,332.42,327.76,330.09,8436211,330.09
2021-11-03,337.33,338.19,333.43,335.81,1695512,335.81
2021-11-04,335.51,342.07,334.53,338.3,9611043,338.3
2021-11-05,329.71,331.5,328.52,330.01,5453310,330.01
2021-11-08,330.6,333.26,329.94,331.6,2269370,331.6
2021-11-09,334.36,337.12,333.0,335.06,8809543,335.06
2021-11-10,329.65,330.76,327.18,328.97,9371979,328.97
2021-11-11,330.82,335.4,329.82,332.61,1929288,332.61
2021-11-12,341.7,343.05,339.09,341.07,8811736,341.07
2021-11-15,345.03,347.02,341.78,344.4,9922372,344.4
2021-11-16,332.31,334.72,331.92,333.32,2142004,333.32
2021-11-17,331.44,333.93,327.21,330.57,5168373,330.57
2021-11-18,338.48,342.85,337.45,340.15,3448729,340.15
2021-11-19,340.87,343.01,337.53,340.27,2868131,340.27
2021-11-22,341.61,345.58,339.66,342.62,6567143,342.62
2021-11-23,343.72,347.99,341.71,344.85,9626902,344.85
2021-11-24,338.53,339.31,334.45,336.88,4882714,336.88
2021-11-26,335.02,340.04,332.54,336.29,6238343,336.29
2021-11-29,346.73,348.93,345.83,347.38,9035459,347.38
2021-11-30,333.76,335.56,332.56,334.06,4801310,334.06
2021-12-01,337.72,340.49,332.99,336.74,3485893,336.74
2021-12-02,348.0,353.36,347.4,350.38,3880640,350.38
2021-12-03,342.69,346.06,341.24,343.65,3575060,343.65
2021-12-06,340.32,344.31,339.83,342.07,7764401,342.07
2021-12-07,344.2,345.84,338.38,342.11,7627988,342.11
2021-12-08,346.28,349.46,344.98,347.22,6695299,347.22
2021-12-09,348.9,349.47,345.05,347.26,3509997,347.26
2021-12-10,339.08,340.71,336.17,338.44,7439254,338.44
2021-12-13,349.74,351.33,347.03,349.18,3108293,349.18
2021-12-14,349.38,355.1,347.58,351.34,3701134,351.34
2021-12-15,340.86,341.92,337.68,339.8,9592545,339.8
2021-12-16,346.35,346.91,342.91,344.91,4821436,344.91
2021-12-17,353.18,355.49,351.57,353.53,6364831,353.53
2021-12-20,343.01,345.63,340.05,342.84,9872683,342.84
2021-12-21,340.38,343.12,339.7,341.41,7009370,341.41
2021-12-22,349.65,351.75,343.99,347.87,7594143,347.87
2021-12-23,356.39,358.76,354.88,356.82,3732029,356.82
2021-12-27,344.95,349.54,344.2,346.87,7395124,346.87
2021-12-28,353.89,354.32,351.28,352.8,9602956,352.8
2021-12-29,344.75,345.68,341.24,343.46,9719749,343.46
2021-12-30,343.46,347.04,342.56,344.8,8251050,344.8
2021-12-31,361.16,363.47,357.23,360.35,9372293,360.35
2022-01-03,344.91,347.9,343.16,345.53,6307707,345.53
2022-01-04,342.32,349.06,341.4,345.23,7845842,345.23
2022-01-05,352.86,353.95,347.15,350.55,9957514,350.55
2022-01-06,351.87,355.36,351.48,353.42,2241280,353.42
2022-01-07,350.05,352.72,348.8,350.76,4960182,350.76
2022-01-10,348.23,354.39,347.23,350.81,8784324,350.81
2022-01-11,337.92,343.09,336.63,339.86,4342810,339.86
2022-01-12,349.4,351.23,344.93,348.08,6199101,348.08
2022-01-13,341.95,342.84,336.9,339.87,7076395,339.87
2022-01-14,338.89,339.57,333.91,336.74,8365438,336.74
2022-01-18,339.28,343.2,336.78,339.99,3552109,339.99
2022-01-19,333.1,337.61,330.33,333.97,7314188,333.97
2022-01-20,347.01,348.85,345.63,347.24,4138913,347.24
2022-01-21,341.97,343.78,338.9,341.34,4062613,341.34
2022-01-24,334.05,338.83,331.69,335.26,4470583,335.26
2022-01-25,334.6,337.69,330.83,334.26,2576525,334.26
2022-01-26,341.69,344.15,341.11,342.63,3975209,342.63
2022-01-27,332.47,336.72,331.34,334.03,6893131,334.03
2022-01-28,332.96,335.16,329.04,332.1,3669654,332.1
2022-01-31,331.87,333.74,327.06,330.4,9565422,330.4
