date,open,high,low,close,volume,adjusted_close
2021-01-04,171.3,172.74,170.68,171.71,6673540,171.71
2021-01-05,166.37,168.73,165.67,167.2,7268253,167.2
2021-01-06,172.26,174.04,171.12,172.58,3228589,172.58
2021-01-07,167.95,168.95,167.23,168.09,7555872,168.09
2021-01-08,167.64,170.85,167.03,168.94,7681046,168.94
2021-01-11,169.34,170.25,167.85,169.05,6860212,169.05
2021-01-12,168.61,170.46,166.96,168.71,6923077,168.71
2021-01-13,173.9,174.92,172.54,173.73,7832607,173.73
2021-01-14,167.71,168.1,166.74,167.42,2686701,167.42
2021-01-15,168.21,168.77,166.51,167.64,4259905,167.64
2021-01-19,172.93,173.66,171.46,172.56,3488697,172.56
2021-01-20,173.43,174.2,172.6,173.4,2291962,173.4
2021-01-21,174.63,175.49,173.73,174.61,2422521,174.61
2021-01-22,168.39,169.37,165.61,167.49,2037744,167.49
2021-01-25,167.98,168.36,166.76,167.56,8805266,167.56
2021-01-26,172.7,173.38,170.94,172.16,5042062,172.16
2021-01-27,171.47,173.26,169.88,171.57,7571717,171.57
2021-01-28,172.06,172.73,170.49,171.61,9329500,171.61
2021-01-29,168.9,171.19,168.01,169.6,2015458,169.6
2021-02-01,173.29,174.01,170.59,172.3,9960469,172.3
2021-02-02,173.92,174.64,171.38,173.01,6627908,173.01
2021-02-03,170.45,172.09,169.35,170.72,5754030,170.72
2021-02-04,175.19,177.22,173.66,175.44,3381073,175.44
2021-02-05,174.12,174.52,172.86,173.69,9458066,173.69
2021-02-08,170.38,171.36,168.56,169.96,3536135,169.96
2021-02-09,171.54,172.13,168.67,170.4,8264073,170.4
2021-02-10,172.33,173.24,171.3,172.27,7337883,172.27
2021-02-11,174.88,175.48,172.34,173.91,8078951,173.91
2021-02-12,176.47,177.83,175.89,176.86,2218180,176.86
2021-02-16,176.12,177.73,173.89,175.81,5083488,175.81
2021-02-17,171.88,172.73,169.03,170.88,3204787,170.88
2021-02-18,178.07,179.3,177.44,178.37,4718424,178.37
2021-02-19,172.25,174.42,171.6,173.01,3185133,173.01
2021-02-22,173.04,174.13,172.57,173.35,8716660,173.35
2021-02-23,178.12,179.59,176.53,178.06,4426442,178.06
2021-02-24,175.44,177.56,174.94,176.25,2178169,176.25
2021-02-25,174.29,176.33,173.33,174.83,2636742,174.83
2021-02-26,178.6,179.44,177.04,178.24,2170055,178.24
2021-03-01,172.63,173.86,170.34,172.1,4550775,172.1
2021-03-02,179.0,179.17,177.59,178.38,6292559,178.38
2021-03-03,175.78,176.84,175.1,175.97,7243069,175.97
2021-03-04,172.4,174.72,171.2,172.96,4418024,172.96
2021-03-05,177.77,178.38,174.98,176.68,7593912,176.68
2021-03-08,178.28,179.89,177.55,178.72,6390901,178.72
2021-03-09,174.23,175.66,173.52,174.59,6536343,174.59
2021-03-10,174.54,175.76,172.18,173.97,7431576,173.97
2021-03-11,172.21,173.92,172.0,172.96,8972481,172.96
2021-03-12,178.03,178.26,176.34,177.3,5254878,177.3
2021-03-15,175.22,178.23,174.85,176.54,7247761,176.54
2021-03-16,177.69,179.62,177.48,178.55,4211840,178.55
2021-03-17,176.05,177.02,175.5,176.26,8976906,176.26
2021-03-18,172.66,175.59,171.69,173.64,7680095,173.64
2021-03-19,175.8,176.75,175.19,175.97,8516109,175.97
2021-03-22,181.26,183.51,180.89,182.2,6542164,182.2
2021-03-23,176.23,177.93,175.83,176.88,1822889,176.88
2021-03-24,175.48,176.22,174.54,175.38,8170766,175.38
2021-03-25,177.35,179.46,176.44,177.95,6327940,177.95
2021-03-26,177.14,179.04,175.58,177.31,8855715,177.31
2021-03-29,175.43,177.28,175.0,176.14,3295049,176.14
2021-03-30,175.96,179.21,175.39,177.3,1845285,177.3
2021-03-31,177.68,179.13,176.59,177.86,9151713,177.86
2021-04-01,174.99,177.4,174.14,175.77,1541856,175.77
2021-04-05,177.34,178.92,177.04,177.98,5338326,177.98
2021-04-06,184.21,185.37,182.67,184.02,5710367,184.02
2021-04-07,179.68,180.29,177.25,178.77,8350390,178.77
2021-04-08,180.44,180.92,177.22,179.07,5564877,179.07
2021-04-09,178.75,179.19,177.51,178.35,9354464,178.35
2021-04-12,178.6,181.0,177.92,179.46,2750092,179.46
2021-04-13,176.99,178.41,175.33,176.87,9733244,176.87
2021-04-14,180.68,182.84,180.1,181.47,5746971,181.47
2021-04-15,179.25,180.17,178.09,179.13,5857886,179.13
2021-04-16,183.42,185.08,182.32,183.7,4285870,183.7
2021-04-19,185.44,186.14,182.44,184.29,3070071,184.29
2021-04-20,187.59,188.57,184.33,186.45,9874947,186.45
2021-04-21,182.86,183.51,180.43,181.97,6371589,181.97
2021-04-22,178.53,178.87,177.31,178.09,7471108,178.09
