date,open,high,low,close,volume,adjusted_close
2021-01-04,243.41,243.95,239.41,241.68,4396158,241.68
2021-01-05,239.63,241.21,236.81,239.01,3229254,239.01
2021-01-06,234.14,235.5,231.1,233.3,3243259,233.3
2021-01-07,238.73,241.31,236.35,238.83,9564278,238.83
2021-01-08,236.26,237.28,234.0,235.64,9074059,235.64
2021-01-11,234.81,236.61,233.51,235.06,3621552,235.06
2021-01-12,235.78,239.47,235.03,237.25,7584007,237.25
2021-01-13,239.86,243.28,238.9,241.09,2424652,241.09
2021-01-14,234.74,236.74,233.1,234.92,7751875,234.92
2021-01-15,234.84,236.32,234.18,235.25,4870261,235.25
2021-01-19,234.87,236.51,232.87,234.69,7525725,234.69
2021-01-20,232.76,233.42,231.06,232.24,9888222,232.24
2021-01-21,234.47,235.19,230.67,232.93,4641514,232.93
2021-01-22,229.27,230.67,228.45,229.56,6712267,229.56
2021-01-25,231.16,233.02,230.78,231.9,6851767,231.9
2021-01-26,240.15,241.99,237.15,239.57,9322372,239.57
2021-01-27,234.57,235.92,232.36,234.14,5283172,234.14
2021-01-28,235.97,238.05,235.45,236.75,3111930,236.75
2021-01-29,232.64,235.75,230.97,233.36,6950825,233.36
2021-02-01,232.52,236.29,232.05,234.17,3913601,234.17
2021-02-02,238.81,240.69,236.85,238.77,4946281,238.77
2021-02-03,238.28,242.6,237.8,240.2,9909120,240.2
2021-02-04,240.72,241.48,239.54,240.51,7160451,240.51
2021-02-05,239.68,240.11,237.95,239.03,6689510,239.03
2021-02-08,237.74,238.66,235.88,237.27,4102137,237.27
2021-02-09,228.05,231.09,227.59,229.34,1778323,229.34
2021-02-10,231.48,232.75,228.89,230.82,6564537,230.82
2021-02-11,234.76,238.25,234.09,236.17,3388646,236.17
2021-02-12,232.85,237.01,231.87,234.44,5389289,234.44
2021-02-16,228.6,230.25,228.33,229.29,8612404,229.29
2021-02-17,233.19,237.17,232.65,234.91,1734962,234.91
2021-02-18,227.49,230.24,226.84,228.54,9765769,228.54
2021-02-19,237.21,240.47,236.01,238.24,5053457,238.24
2021-02-22,234.26,235.46,233.16,234.31,4899718,234.31
2021-02-23,233.2,235.83,231.05,233.44,9883075,233.44
2021-02-24,235.92,239.1,234.62,236.86,1876259,236.86
2021-02-25,237.85,239.09,234.81,236.95,9590301,236.95
2021-02-26,235.45,236.46,234.22,235.34,7579565,235.34
2021-03-01,228.52,231.44,226.66,229.05,3868429,229.05
2021-03-02,236.29,239.41,234.21,236.81,8168590,236.81
2021-03-03,235.18,236.78,233.44,235.11,9305162,235.11
2021-03-04,232.06,233.93,230.59,232.26,3103714,232.26
2021-03-05,235.76,237.35,232.21,234.78,3140539,234.78
2021-03-08,228.73,230.18,227.54,228.86,6513235,228.86
2021-03-09,235.19,238.54,234.24,236.39,6716252,236.39
2021-03-10,233.61,235.47,233.11,234.29,6413371,234.29
2021-03-11,230.82,232.54,227.32,229.93,9440297,229.93
2021-03-12,228.7,230.35,228.21,229.28,7987213,229.28
2021-03-15,235.07,236.64,234.1,235.37,8776828,235.37
2021-03-16,228.3,229.57,227.65,228.61,8278104,228.61
2021-03-17,236.06,238.39,235.71,237.05,7149283,237.05
2021-03-18,229.19,230.81,228.01,229.41,6486992,229.41
2021-03-19,232.31,235.23,230.67,232.95,4681466,232.95
2021-03-22,229.21,230.03,226.99,228.51,6405103,228.51
2021-03-23,227.17,229.06,224.56,226.81,5999168,226.81
2021-03-24,229.21,232.07,227.23,229.65,3422431,229.65
2021-03-25,230.0,230.31,228.11,229.21,2030316,229.21
2021-03-26,227.95,228.8,226.82,227.81,4869407,227.81
2021-03-29,229.45,232.3,228.5,230.4,9686735,230.4
2021-03-30,229.45,231.19,228.59,229.89,4085783,229.89
2021-03-31,232.86,235.24,231.28,233.26,1957390,233.26
2021-04-01,230.64,232.0,228.52,230.26,9932771,230.26
2021-04-05,231.3,232.4,227.38,229.89,1745588,229.89
2021-04-06,232.2,234.18,230.94,232.56,4750909,232.56
2021-04-07,227.03,227.85,225.13,226.49,8713740,226.49
2021-04-08,234.66,236.16,231.0,233.58,7795741,233.58
2021-04-09,231.79,233.36,229.72,231.54,9258927,231.54
2021-04-12,228.98,229.81,225.21,227.51,5657672,227.51
2021-04-13,234.49,236.13,232.85,234.49,7646760,234.49
2021-04-14,236.56,237.58,234.96,236.27,6468931,236.27
2021-04-15,237.08,238.02,234.1,236.06,5996786,236.06
2021-04-16,228.86,229.49,227.45,228.47,2087659,228.47
2021-04-19,226.84,229.63,225.13,227.38,4911868,227.38
2021-04-20,233.22,235.24,232.58,233.91,3973934,233.91
2021-04-21,235.22,237.88,232.76,235.32,6517638,235.32
2021-04-22,234.69,238.56,233.18,235.87,4455698,235.87
2021-04-23,230.21,233.04,228.16,230.6,4239232,230.6
2021-04-26,228.31,229.35,226.55,227.95,4410293,227.95
2021-04-27,232.61,234.14,231.14,232.64,3841399,232.64
2021-04-28,234.08,236.73,231.63,234.18,3704038,234.18
2021-04-29,235.47,237.27,232.53,234.9,4057972,234.9
2021-04-30,226.35,229.68,224.56,227.12,1890745,227.12
2021-05-03,232.31,236.52,231.84,234.18,4726720,234.18
2021-05-04,230.38,232.43,229.93,231.18,9142328,231.18
2021-05-05,223.41,227.21,222.89,225.05,4350562,225.05
2021-05-06,233.8,234.96,232.2,233.58,5540288,233.58
2021-05-07,234.22,235.36,232.58,233.97,7722689,233.97
2021-05-10,228.06,228.9,225.08,226.99,6775988,226.99
2021-05-11,233.62,234.26,229.72,231.99,7225516,231.99
