date,open,high,low,close,volume,adjusted_close
2021-01-04,222.97,224.84,221.72,223.28,2206910,223.28
2021-01-05,218.4,219.98,217.96,218.97,1904412,218.97
2021-01-06,215.69,216.18,213.58,214.88,5144791,214.88
2021-01-07,221.07,222.89,218.23,220.56,4730531,220.56
2021-01-08,220.69,224.38,220.04,222.21,7592965,222.21
2021-01-11,219.6,221.98,219.34,220.66,5065440,220.66
2021-01-12,219.26,220.65,218.13,219.39,8324435,219.39
2021-01-13,213.84,214.65,212.45,213.55,8808773,213.55
2021-01-14,219.37,220.71,218.61,219.66,7474666,219.66
2021-01-15,222.94,224.7,220.52,222.61,6343408,222.61
2021-01-19,222.94,224.5,221.76,223.13,2591793,223.13
2021-01-20,221.18,222.61,218.01,220.31,8014379,220.31
2021-01-21,221.08,221.98,219.16,220.57,4063098,220.57
2021-01-22,218.18,219.22,215.74,217.48,3334780,217.48
2021-01-25,217.19,220.81,216.17,218.49,2323932,218.49
2021-01-26,219.91,220.48,217.14,218.81,5822073,218.81
2021-01-27,212.23,215.76,210.92,213.34,4570497,213.34
2021-01-28,221.25,222.89,219.25,221.07,7119485,221.07
2021-01-29,216.72,218.33,215.41,216.87,5975955,216.87
2021-02-01,219.72,220.2,217.8,219.0,8613430,219.0
2021-02-02,222.64,223.7,219.62,221.66,6006704,221.66
2021-02-03,216.57,218.84,214.02,216.43,6797643,216.43
2021-02-04,215.91,216.74,213.66,215.2,6817263,215.2
2021-02-05,215.85,216.28,213.62,214.95,3571994,214.95
2021-02-08,218.92,220.0,216.52,218.26,9115979,218.26
2021-02-09,218.82,221.62,218.08,219.85,8974731,219.85
2021-02-10,213.06,214.75,212.53,213.64,2109374,213.64
2021-02-11,221.2,223.26,220.44,221.85,5450497,221.85
2021-02-12,219.65,221.49,218.83,220.16,3072741,220.16
2021-02-16,215.19,216.31,214.27,215.29,6926515,215.29
2021-02-17,222.17,222.88,220.14,221.51,8956544,221.51
2021-02-18,223.21,223.6,220.32,221.96,5568718,221.96
2021-02-19,215.64,216.33,212.89,214.61,2524630,214.61
2021-02-22,221.72,222.08,219.52,220.8,7750636,220.8
2021-02-23,219.93,220.87,217.27,219.07,4693984,219.07
2021-02-24,221.87,222.6,220.16,221.38,1774780,221.38
2021-02-25,214.48,215.85,214.09,214.97,9999452,214.97
2021-02-26,219.85,220.64,217.2,218.92,6004627,218.92
2021-03-01,222.0,225.15,221.49,223.32,3540884,223.32
2021-03-02,218.09,219.7,217.14,218.42,6809787,218.42
2021-03-03,217.66,218.5,215.96,217.23,8336537,217.23
2021-03-04,219.55,221.18,217.0,219.09,2214211,219.09
2021-03-05,216.53,218.66,216.18,217.42,8356084,217.42
2021-03-08,214.74,217.71,213.69,215.7,7904656,215.7
2021-03-09,216.4,218.11,214.63,216.37,3661481,216.37
2021-03-10,221.47,223.02,219.58,221.3,9396125,221.3
2021-03-11,219.31,219.97,216.69,218.33,5148070,218.33
2021-03-12,214.98,217.31,213.43,215.37,5561550,215.37
2021-03-15,220.68,223.14,220.02,221.58,6675211,221.58
2021-03-16,221.29,222.41,220.21,221.31,5350519,221.31
2021-03-17,212.78,214.83,211.81,213.32,2445462,213.32
2021-03-18,222.47,224.85,220.19,222.52,3555879,222.52
2021-03-19,220.23,221.15,216.55,218.85,7080630,218.85
2021-03-22,218.72,221.03,218.21,219.62,5445448,219.62
2021-03-23,217.26,218.15,215.09,216.62,1656061,216.62
2021-03-24,220.23,221.47,217.83,219.65,6811336,219.65
2021-03-25,219.5,219.86,216.6,218.23,6914319,218.23
2021-03-26,216.38,217.74,215.74,216.74,1943062,216.74
2021-03-29,222.62,225.73,221.59,223.66,9233855,223.66
2021-03-30,220.18,221.76,218.4,220.08,5530523,220.08
2021-03-31,224.11,224.57,222.65,223.61,9627506,223.61
2021-04-01,219.5,223.08,219.1,221.09,8588800,221.09
2021-04-05,214.74,216.48,214.36,215.42,8048568,215.42
2021-04-06,214.03,216.11,213.09,214.6,3868661,214.6
2021-04-07,222.1,223.27,220.41,221.84,6067249,221.84
2021-04-08,213.73,215.7,211.6,213.65,6473562,213.65
2021-04-09,215.9,217.74,214.06,215.9,8801640,215.9
2021-04-12,222.79,223.37,219.25,221.31,2402956,221.31
2021-04-13,222.45,223.53,221.23,222.38,3905323,222.38
2021-04-14,216.1,219.29,215.45,217.37,3193847,217.37
2021-04-15,218.36,221.74,217.62,219.68,8966408,219.68
2021-04-16,217.31,219.64,215.4,217.52,2946915,217.52
2021-04-19,215.65,216.24,212.04,214.14,6277116,214.14
2021-04-20,218.83,220.59,218.49,219.54,8598166,219.54
2021-04-21,220.72,221.31,218.73,220.02,5245187,220.02
