ticker,company_name,sector,industry,entry_date,entry_signal,entry_price,exit_date,exit_reason,exit_price,holding_days,return_pct,pnl_dollar,confidence_score,trigger_reason,trigger_accession,trigger_url,local_source_file
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,2021-01-26,CONVICTION_BUY,94.67,2021-06-04,HOLDING_PERIOD_EXIT,98.59,90,4.14,414.0,95,"C-Suite Conviction Buy: Insider_DUK_2021_6 (Chief Financial Officer) open-market purchase of $1,594,612.00",0001326160-21-000006,https://www.sec.gov/edgar/browse/?CIK=0001326160,data/industries/utilities/utilities_regulated_electric/DUK_insider_trades.csv
TSLA,Tesla Inc.,Consumer Discretionary,Automotive,2021-02-11,CONVICTION_BUY,245.73,2021-06-22,HOLDING_PERIOD_EXIT,294.24,90,19.74,1974.0,95,"C-Suite Conviction Buy: Insider_TSLA_2021_3 (Chief Financial Officer) open-market purchase of $1,988,000.00",0001318605-21-000003,https://www.sec.gov/edgar/browse/?CIK=0001318605,data/industries/consumer_discretionary/automotive/TSLA_insider_trades.csv
SBUX,Starbucks Corporation,Consumer Discretionary,Restaurants,2021-03-17,CONVICTION_BUY,107.7,2021-07-26,HOLDING_PERIOD_EXIT,114.96,90,6.74,674.0,95,"C-Suite Conviction Buy: Insider_SBUX_2021_9 (Chief Financial Officer) open-market purchase of $1,298,299.00",0000829224-21-000009,https://www.sec.gov/edgar/browse/?CIK=0000829224,data/industries/consumer_discretionary/restaurants/SBUX_insider_trades.csv
GILD,Gilead Sciences Inc.,Health Care,Biotechnology,2021-03-29,CONVICTION_BUY,60.94,2021-08-05,HOLDING_PERIOD_EXIT,66.01,90,8.32,832.0,95,"C-Suite Conviction Buy: Insider_GILD_2021_1 (Chief Financial Officer) open-market purchase of $1,197,747.00",0000882095-21-000001,https://www.sec.gov/edgar/browse/?CIK=0000882095,data/industries/health_care/biotechnology/GILD_insider_trades.csv
JPM,JPMorgan Chase & Co.,Financials,Banks - Diversified,2021-04-07,CONVICTION_BUY,132.47,2021-08-13,HOLDING_PERIOD_EXIT,144.04,90,8.73,873.0,95,"C-Suite Conviction Buy: Insider_JPM_2021_4 (Chief Executive Officer) open-market purchase of $1,129,028.00",0000019617-21-000004,https://www.sec.gov/edgar/browse/?CIK=0000019617,data/industries/financials/banks_diversified/JPM_insider_trades.csv
JPM,JPMorgan Chase & Co.,Financials,Banks - Diversified,2021-04-19,CONVICTION_BUY,133.23,2021-08-25,HOLDING_PERIOD_EXIT,145.41,90,9.14,914.0,95,"C-Suite Conviction Buy: Insider_JPM_2021_4 (Chief Executive Officer) open-market purchase of $1,129,028.00",0000019617-21-000004,https://www.sec.gov/edgar/browse/?CIK=0000019617,data/industries/financials/banks_diversified/JPM_insider_trades.csv
MRNA,Moderna Inc.,Health Care,Biotechnology,2021-04-27,CONVICTION_BUY,150.35,2021-08-24,TAKE_PROFIT_TARGET,205.62,83,36.76,3676.0,95,"C-Suite Conviction Buy: Insider_MRNA_2021_14 (Chief Executive Officer) open-market purchase of $1,894,656.00",0001682852-21-000014,https://www.sec.gov/edgar/browse/?CIK=0001682852,data/industries/health_care/biotechnology/MRNA_insider_trades.csv
MRNA,Moderna Inc.,Health Care,Biotechnology,2021-05-10,CONVICTION_BUY,158.28,2021-09-16,TAKE_PROFIT_TARGET,216.0,90,36.47,3647.0,95,"C-Suite Conviction Buy: Insider_MRNA_2021_14 (Chief Executive Officer) open-market purchase of $1,894,656.00",0001682852-21-000014,https://www.sec.gov/edgar/browse/?CIK=0001682852,data/industries/health_care/biotechnology/MRNA_insider_trades.csv
BA,The Boeing Company,Industrials,Aerospace & Defense,2021-05-24,CONVICTION_BUY,211.22,2021-09-30,HOLDING_PERIOD_EXIT,203.5,90,-3.65,-365.0,95,"C-Suite Conviction Buy: Insider_BA_2021_1 (Chief Financial Officer) open-market purchase of $1,064,750.00",0000012927-21-000001,https://www.sec.gov/edgar/browse/?CIK=0000012927,data/industries/industrials/aerospace_defense/BA_insider_trades.csv
NVDA,NVIDIA Corporation,Information Technology,Semiconductors,2021-06-15,CONVICTION_BUY,20.36,2021-10-21,HOLDING_PERIOD_EXIT,26.51,90,30.21,3021.0,95,"C-Suite Conviction Buy: NVDA_CFO_Conviction (Chief Financial Officer) open-market purchase of $1,166,350.00",0001045810-21-99999CFO,https://www.sec.gov/edgar/browse/?CIK=0001045810,data/industries/information_technology/semiconductors/NVDA_insider_trades.csv
