strategy,holding_days,stop_loss_pct,take_profit_pct,total_trades,win_rate_pct,profit_factor,sharpe_ratio,max_drawdown_pct,total_return_pct,final_equity
COMBINED,90,12.0,40.0,214,62.616822429906534,3.1872079742498185,1.13,0.8153943432017441,21.065,121065.0
INDUSTRY_MOMENTUM,90,12.0,40.0,201,62.68656716417911,3.1548657903457418,1.12,0.8147023601851939,19.508,119508.0
COMBINED,60,10.0,30.0,214,63.55140186915887,2.599840750243298,0.93,0.9048340977566256,18.083,118083.0
INDUSTRY_MOMENTUM,60,10.0,30.0,201,62.189054726368155,2.39892952720785,0.85,0.9099330335604147,15.681999999999999,115682.0
COMBINED,45,10.0,25.0,214,58.87850467289719,2.16120218579235,0.78,1.08528593654236,14.875,114875.0
INDUSTRY_MOMENTUM,45,10.0,25.0,201,58.70646766169154,2.13162736243519,0.76,0.9215282544040266,13.532,113532.0
CONVICTION,90,12.0,40.0,98,63.26530612244898,3.1226479256404445,1.1,0.8365048771658627,9.363000000000001,109363.0
CONVICTION,60,10.0,30.0,98,61.224489795918366,2.330915371329879,0.83,0.9314140558848433,7.706,107706.0
COMBINED,30,8.0,20.0,214,56.074766355140184,1.4761500353857042,0.39,2.0417204747047233,6.728000000000001,106728.0
CLUSTER_BUY,90,12.0,40.0,55,63.63636363636363,3.7474129821260584,1.28,0.3727537060870394,5.840999999999999,105841.0
CONVICTION,45,10.0,25.0,98,57.14285714285714,1.8707160342717257,0.62,0.9321466169011389,5.691,105691.0
INDUSTRY_MOMENTUM,30,8.0,20.0,201,54.72636815920397,1.4033570329106502,0.34,2.0680765742111045,5.503,105503.0
CLUSTER_BUY,60,10.0,30.0,55,65.45454545454545,2.8028846153846154,1.02,0.748122301732805,4.875,104875.0
COMBINED,20,8.0,15.0,214,51.86915887850467,1.2421762472174938,0.22,2.1228865819195324,3.6990000000000003,103699.0
INDUSTRY_MOMENTUM,20,8.0,15.0,201,52.23880597014925,1.252252881592735,0.23,2.05871250617033,3.611,103611.0
CONVICTION,30,8.0,20.0,98,53.06122448979592,1.3784794349813045,0.32,1.1161777717280337,2.733,102733.0
CLUSTER_BUY,45,10.0,25.0,55,56.36363636363636,1.6302097159543403,0.49,0.5794307068458296,2.374,102374.0
CLUSTER_BUY,30,8.0,20.0,55,56.36363636363636,1.6546143250688705,0.48,0.7844878626406158,1.9009999999999998,101901.0
CONVICTION,20,8.0,15.0,98,52.04081632653062,1.1827043239190203,0.17,1.3795490506329116,1.462,101462.0
CSUITE_CLUSTER,60,10.0,30.0,4,75.0,16.984615384615385,2.63,0.065,1.039,101039.0
CSUITE_CLUSTER,30,8.0,20.0,4,75.0,735.0,2.37,0.0009969791531659073,0.734,100734.0
CSUITE_CLUSTER,45,10.0,25.0,4,75.0,40.25,1.42,0.011942318601156415,0.471,100471.0
CSUITE_CLUSTER,90,12.0,40.0,4,75.0,4.231343283582089,1.31,0.13397990301454782,0.43299999999999994,100433.0
CSUITE_CLUSTER,20,8.0,15.0,4,75.0,1.2421383647798743,0.2,0.318,0.077,100077.0
CLUSTER_BUY,20,8.0,15.0,55,41.81818181818181,0.9078498293515358,-0.1,1.1049723756906076,-0.40499999999999997,99595.0
