sector,industry,industry_slug,year_filter,total_companies,total_transactions,open_market_buys_count,open_market_buys_dollar_value,open_market_sells_count,open_market_sells_dollar_value,net_dollar_flow,buy_sell_dollar_ratio,data_note
Communication Services,Entertainment,entertainment,ALL,3,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Communication Services,Telecom Services,telecom_services,ALL,3,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Communication Services,Internet Content & Information,internet_content_information,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Consumer Staples,Beverages - Non-Alcoholic,beverages_non_alcoholic,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Consumer Staples,Discount Stores,discount_stores,ALL,3,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Consumer Staples,Household & Personal Products,household_personal_products,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Consumer Discretionary,Automotive,automotive,ALL,3,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Consumer Discretionary,Home Improvement Retail,home_improvement_retail,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Consumer Discretionary,Internet Retail,internet_retail,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Consumer Discretionary,Restaurants,restaurants,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Energy,Oil & Gas E&P,oil_gas_ep,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Energy,Oil & Gas Equipment,oil_gas_equipment,ALL,1,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Energy,Oil & Gas Integrated,oil_gas_integrated,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Financials,Banks - Diversified,banks_diversified,ALL,4,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Financials,Capital Markets,capital_markets,ALL,3,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Financials,Credit Services,credit_services,ALL,3,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Financials,Insurance - Property & Casualty,insurance_property_casualty,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Health Care,Biotechnology,biotechnology,ALL,5,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Health Care,Health Care Plans,health_care_plans,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Health Care,Medical Devices,medical_devices,ALL,3,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Health Care,Pharmaceuticals,pharmaceuticals,ALL,4,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Industrials,Aerospace & Defense,aerospace_defense,ALL,4,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Industrials,Industrial Machinery,industrial_machinery,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Industrials,Integrated Freight & Logistics,integrated_freight_logistics,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Information Technology,Communication Equipment,communication_equipment,ALL,1,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Information Technology,IT Services,it_services,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Information Technology,Consumer Electronics,consumer_electronics,ALL,1,1,0,0,1,442851.25,-442851.25,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Information Technology,Semiconductors,semiconductors,ALL,7,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Information Technology,Software - Infrastructure,software_infrastructure,ALL,6,1,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Materials,Copper & Metals,copper_metals,ALL,1,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Materials,Specialty Chemicals,specialty_chemicals,ALL,2,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Real Estate,REIT - Industrial,reit_industrial,ALL,1,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Real Estate,REIT - Retail,reit_retail,ALL,1,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Real Estate,REIT - Telecom Tower,reit_telecom_tower,ALL,1,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
Utilities,Utilities - Regulated Electric,utilities_regulated_electric,ALL,3,0,0,0,0,0,0,0.0,Official SEC Form 4 rows only. Run `python main.py collect` to pull more filings.
