ticker,company_name,sector,industry,entry_date,entry_signal,entry_price,exit_date,exit_reason,exit_price,holding_days,return_pct,pnl_dollar,confidence_score,trigger_reason,trigger_accession,trigger_url,local_source_file
ADBE,Adobe Inc.,Information Technology,Software - Infrastructure,2021-01-13,CLUSTER_BUY,507.85,2021-05-24,HOLDING_PERIOD_EXIT,524.56,90,3.29,329.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,474,298.00 within 14 days",0000796343-21-000002,https://www.sec.gov/edgar/browse/?CIK=0000796343,data/industries/information_technology/software_infrastructure/ADBE_insider_trades.csv
CMCSA,Comcast Corporation,Communication Services,Entertainment,2021-01-25,CLUSTER_BUY,53.06,2021-06-03,HOLDING_PERIOD_EXIT,52.75,90,-0.58,-58.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,131,079.00 within 14 days",0001166691-21-000004,https://www.sec.gov/edgar/browse/?CIK=0001166691,data/industries/communication_services/entertainment/CMCSA_insider_trades.csv
AMD,Advanced Micro Devices Inc.,Information Technology,Semiconductors,2021-02-17,CLUSTER_BUY,97.95,2021-06-25,HOLDING_PERIOD_EXIT,117.02,90,19.47,1947.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $541,665.00 within 14 days",0000002488-21-000002,https://www.sec.gov/edgar/browse/?CIK=0000002488,data/industries/information_technology/semiconductors/AMD_insider_trades.csv
SNPS,Synopsys Inc.,Information Technology,Software - Infrastructure,2021-02-22,CLUSTER_BUY,274.86,2021-06-30,HOLDING_PERIOD_EXIT,310.74,90,13.05,1305.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $161,238.00 within 14 days",0000883241-21-000006,https://www.sec.gov/edgar/browse/?CIK=0000883241,data/industries/information_technology/software_infrastructure/SNPS_insider_trades.csv
ACN,Accenture plc,Information Technology,IT Services,2021-03-10,CLUSTER_BUY,289.86,2021-07-19,HOLDING_PERIOD_EXIT,350.16,90,20.8,2080.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,124,491.00 within 14 days",0001467373-21-000004,https://www.sec.gov/edgar/browse/?CIK=0001467373,data/industries/information_technology/it_services/ACN_insider_trades.csv
INTC,Intel Corporation,Information Technology,Semiconductors,2021-03-11,CLUSTER_BUY,51.17,2021-07-20,HOLDING_PERIOD_EXIT,49.93,90,-2.42,-242.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,774,291.00 within 14 days",0000050863-21-000005,https://www.sec.gov/edgar/browse/?CIK=0000050863,data/industries/information_technology/semiconductors/INTC_insider_trades.csv
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,2021-03-16,CLUSTER_BUY,351.84,2021-07-23,HOLDING_PERIOD_EXIT,350.0,90,-0.52,-52.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $324,181.00 within 14 days",0000936468-21-000012,https://www.sec.gov/edgar/browse/?CIK=0000936468,data/industries/industrials/aerospace_defense/LMT_insider_trades.csv
RTX,RTX Corporation,Industrials,Aerospace & Defense,2021-03-17,CLUSTER_BUY,73.46,2021-07-26,HOLDING_PERIOD_EXIT,81.06,90,10.35,1035.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $2,092,166.00 within 14 days",0000101829-21-000010,https://www.sec.gov/edgar/browse/?CIK=0000101829,data/industries/industrials/aerospace_defense/RTX_insider_trades.csv
BA,The Boeing Company,Industrials,Aerospace & Defense,2021-03-22,CLUSTER_BUY,206.56,2021-07-29,HOLDING_PERIOD_EXIT,211.64,90,2.46,246.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,095,160.00 within 14 days",0000012927-21-000003,https://www.sec.gov/edgar/browse/?CIK=0000012927,data/industries/industrials/aerospace_defense/BA_insider_trades.csv
JPM,JPMorgan Chase & Co.,Financials,Banks - Diversified,2021-03-31,CLUSTER_BUY,133.07,2021-08-09,HOLDING_PERIOD_EXIT,142.44,90,7.04,704.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $2,128,546.00 within 14 days",0000019617-21-000003,https://www.sec.gov/edgar/browse/?CIK=0000019617,data/industries/financials/banks_diversified/JPM_insider_trades.csv
JPM,JPMorgan Chase & Co.,Financials,Banks - Diversified,2021-04-07,CLUSTER_BUY,132.47,2021-08-13,HOLDING_PERIOD_EXIT,144.04,90,8.73,873.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $2,752,006.00 within 14 days",0000019617-21-000005,https://www.sec.gov/edgar/browse/?CIK=0000019617,data/industries/financials/banks_diversified/JPM_insider_trades.csv
PANW,Palo Alto Networks Inc.,Information Technology,Software - Infrastructure,2021-04-12,CLUSTER_BUY,138.57,2021-08-18,HOLDING_PERIOD_EXIT,157.05,90,13.34,1334.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $982,777.00 within 14 days",0001326801-21-000007,https://www.sec.gov/edgar/browse/?CIK=0001326801,data/industries/information_technology/software_infrastructure/PANW_insider_trades.csv
RTX,RTX Corporation,Industrials,Aerospace & Defense,2021-04-14,CLUSTER_BUY,74.38,2021-08-20,HOLDING_PERIOD_EXIT,82.03,90,10.29,1029.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,292,620.00 within 14 days",0000101829-21-000001,https://www.sec.gov/edgar/browse/?CIK=0000101829,data/industries/industrials/aerospace_defense/RTX_insider_trades.csv
RTX,RTX Corporation,Industrials,Aerospace & Defense,2021-04-21,CLUSTER_BUY,76.2,2021-08-27,HOLDING_PERIOD_EXIT,81.67,90,7.18,718.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $926,429.00 within 14 days",0000101829-21-000006,https://www.sec.gov/edgar/browse/?CIK=0000101829,data/industries/industrials/aerospace_defense/RTX_insider_trades.csv
NVDA,NVIDIA Corporation,Information Technology,Semiconductors,2021-06-15,CLUSTER_BUY,20.36,2021-10-21,HOLDING_PERIOD_EXIT,26.51,90,30.21,3021.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $2,386,150.00 within 14 days",0001045810-21-99999CFO,https://www.sec.gov/edgar/browse/?CIK=0001045810,data/industries/information_technology/semiconductors/NVDA_insider_trades.csv
