ticker,company_name,sector,industry,entry_date,entry_signal,entry_price,exit_date,exit_reason,exit_price,holding_days,return_pct,pnl_dollar,confidence_score,trigger_reason,trigger_accession,trigger_url,local_source_file
DE,Deere & Company,Industrials,Industrial Machinery,2021-01-11,HEAVY_SELL_EXIT,202.39,2021-04-11,HOLDING_PERIOD_EXIT,249.99,90,23.52,2352.0,75,"Heavy Sell Exit: 2 executives sold $1,496,974.00 over 14 days",0000315189-21-000011,https://www.sec.gov/edgar/browse/?CIK=0000315189,data/industries/industrials/industrial_machinery/DE_insider_trades.csv
ADBE,Adobe Inc.,Information Technology,Software - Infrastructure,2021-01-13,CLUSTER_BUY,128.6,2021-04-13,HOLDING_PERIOD_EXIT,147.89,90,15.0,1500.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,474,298.00 within 14 days",0000796343-21-000002,https://www.sec.gov/edgar/browse/?CIK=0000796343,data/industries/information_technology/software_infrastructure/ADBE_insider_trades.csv
DE,Deere & Company,Industrials,Industrial Machinery,2021-01-13,HEAVY_SELL_EXIT,85.68,2021-04-13,HOLDING_PERIOD_EXIT,101.1,90,18.0,1800.0,75,"Heavy Sell Exit: 2 executives sold $1,496,974.00 over 14 days",0000315189-21-000011,https://www.sec.gov/edgar/browse/?CIK=0000315189,data/industries/industrials/industrial_machinery/DE_insider_trades.csv
META,Meta Platforms Inc.,Communication Services,Internet Content & Information,2021-01-14,CONVICTION_BUY,117.22,2021-04-14,HOLDING_PERIOD_EXIT,130.16,90,11.04,1104.0,90,"C-Suite Conviction Buy: Insider_META_2021_9 (Chief Financial Officer) open-market purchase of $663,135.00",0001326801-21-000009,https://www.sec.gov/edgar/browse/?CIK=0001326801,data/industries/communication_services/internet_content_information/META_insider_trades.csv
UNH,UnitedHealth Group Incorporated,Health Care,Health Care Plans,2021-01-15,CONVICTION_BUY,256.75,2021-04-15,HOLDING_PERIOD_EXIT,230.56,90,-10.2,-1020.0,70,"C-Suite Conviction Buy: Insider_UNH_2021_1 (Chief Financial Officer) open-market purchase of $225,424.00",0000731766-21-000001,https://www.sec.gov/edgar/browse/?CIK=0000731766,data/industries/health_care/health_care_plans/UNH_insider_trades.csv
UNH,UnitedHealth Group Incorporated,Health Care,Health Care Plans,2021-01-16,CONVICTION_BUY,187.08,2021-04-16,HOLDING_PERIOD_EXIT,209.98,90,12.24,1224.0,70,"C-Suite Conviction Buy: Insider_UNH_2021_1 (Chief Financial Officer) open-market purchase of $225,424.00",0000731766-21-000001,https://www.sec.gov/edgar/browse/?CIK=0000731766,data/industries/health_care/health_care_plans/UNH_insider_trades.csv
DE,Deere & Company,Industrials,Industrial Machinery,2021-01-17,HEAVY_SELL_EXIT,258.04,2021-04-12,TAKE_PROFIT_TARGET,361.26,85,40.0,4000.0,75,"Heavy Sell Exit: 2 executives sold $1,496,974.00 over 14 days",0000315189-21-000011,https://www.sec.gov/edgar/browse/?CIK=0000315189,data/industries/industrials/industrial_machinery/DE_insider_trades.csv
WMT,Walmart Inc.,Consumer Staples,Discount Stores,2021-01-21,HEAVY_SELL_EXIT,133.59,2021-04-21,HOLDING_PERIOD_EXIT,118.49,90,-11.3,-1130.0,75,"Heavy Sell Exit: 2 executives sold $1,018,884.00 over 14 days",0000104169-21-000007,https://www.sec.gov/edgar/browse/?CIK=0000104169,data/industries/consumer_staples/discount_stores/WMT_insider_trades.csv
SCHW,The Charles Schwab Corporation,Financials,Capital Markets,2021-01-22,CONVICTION_BUY,199.71,2021-04-22,HOLDING_PERIOD_EXIT,251.95,90,26.16,2616.0,90,"C-Suite Conviction Buy: Insider_SCHW_2021_3 (Chief Executive Officer) open-market purchase of $858,636.00",0000316709-21-000003,https://www.sec.gov/edgar/browse/?CIK=0000316709,data/industries/financials/capital_markets/SCHW_insider_trades.csv
BA,The Boeing Company,Industrials,Aerospace & Defense,2021-01-22,CONVICTION_BUY,245.57,2021-02-21,STOP_LOSS_EXIT,216.1,30,-12.0,-1200.0,90,"C-Suite Conviction Buy: Insider_BA_2021_6 (Chief Financial Officer) open-market purchase of $608,385.00",0000012927-21-000006,https://www.sec.gov/edgar/browse/?CIK=0000012927,data/industries/industrials/aerospace_defense/BA_insider_trades.csv
CAT,Caterpillar Inc.,Industrials,Industrial Machinery,2021-01-22,HEAVY_SELL_EXIT,190.24,2021-04-22,HOLDING_PERIOD_EXIT,233.16,90,22.56,2256.0,80,"Heavy Sell Exit: 2 executives sold $1,629,710.00 over 14 days",0000018230-21-000006,https://www.sec.gov/edgar/browse/?CIK=0000018230,data/industries/industrials/industrial_machinery/CAT_insider_trades.csv
PLD,Prologis Inc.,Real Estate,REIT - Industrial,2021-01-23,HEAVY_SELL_EXIT,106.91,2021-04-23,HOLDING_PERIOD_EXIT,126.28,90,18.12,1812.0,75,"Heavy Sell Exit: 2 executives sold $1,182,821.00 over 14 days",0001045609-21-000009,https://www.sec.gov/edgar/browse/?CIK=0001045609,data/industries/real_estate/reit_industrial/PLD_insider_trades.csv
CMCSA,Comcast Corporation,Communication Services,Entertainment,2021-01-24,CLUSTER_BUY,123.4,2021-04-24,HOLDING_PERIOD_EXIT,151.68,90,22.92,2292.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,131,079.00 within 14 days",0001166691-21-000004,https://www.sec.gov/edgar/browse/?CIK=0001166691,data/industries/communication_services/entertainment/CMCSA_insider_trades.csv
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,2021-01-26,CONVICTION_BUY,244.87,2021-04-26,HOLDING_PERIOD_EXIT,271.61,90,10.92,1092.0,95,"C-Suite Conviction Buy: Insider_DUK_2021_6 (Chief Financial Officer) open-market purchase of $1,594,612.00",0001326160-21-000006,https://www.sec.gov/edgar/browse/?CIK=0001326160,data/industries/utilities/utilities_regulated_electric/DUK_insider_trades.csv
CAT,Caterpillar Inc.,Industrials,Industrial Machinery,2021-01-27,HEAVY_SELL_EXIT,232.75,2021-04-27,HOLDING_PERIOD_EXIT,284.7,90,22.32,2232.0,75,"Heavy Sell Exit: 2 executives sold $1,324,936.00 over 14 days",0000018230-21-000010,https://www.sec.gov/edgar/browse/?CIK=0000018230,data/industries/industrials/industrial_machinery/CAT_insider_trades.csv
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment,2021-02-06,HEAVY_SELL_EXIT,198.75,2021-05-07,HOLDING_PERIOD_EXIT,236.91,90,19.2,1920.0,85,"Heavy Sell Exit: 2 executives sold $2,108,301.00 over 14 days",0000087347-21-000007,https://www.sec.gov/edgar/browse/?CIK=0000087347,data/industries/energy/oil_gas_equipment/SLB_insider_trades.csv
CSCO,Cisco Systems Inc.,Information Technology,Communication Equipment,2021-02-10,CONVICTION_BUY,236.95,2021-05-08,TAKE_PROFIT_TARGET,331.73,87,40.0,4000.0,80,"C-Suite Conviction Buy: Insider_CSCO_2021_12 (Chief Financial Officer) open-market purchase of $262,400.00",0000023217-21-000012,https://www.sec.gov/edgar/browse/?CIK=0000023217,data/industries/information_technology/communication_equipment/CSCO_insider_trades.csv
TSLA,Tesla Inc.,Consumer Discretionary,Automotive,2021-02-11,CONVICTION_BUY,256.44,2021-05-12,HOLDING_PERIOD_EXIT,227.21,90,-11.4,-1140.0,95,"C-Suite Conviction Buy: Insider_TSLA_2021_3 (Chief Financial Officer) open-market purchase of $1,988,000.00",0001318605-21-000003,https://www.sec.gov/edgar/browse/?CIK=0001318605,data/industries/consumer_discretionary/automotive/TSLA_insider_trades.csv
RTX,RTX Corporation,Industrials,Aerospace & Defense,2021-02-16,CONVICTION_BUY,195.44,2021-05-17,HOLDING_PERIOD_EXIT,248.68,90,27.24,2724.0,80,"C-Suite Conviction Buy: Insider_RTX_2021_11 (Chief Executive Officer) open-market purchase of $273,930.00",0000101829-21-000011,https://www.sec.gov/edgar/browse/?CIK=0000101829,data/industries/industrials/aerospace_defense/RTX_insider_trades.csv
AMD,Advanced Micro Devices Inc.,Information Technology,Semiconductors,2021-02-17,CONVICTION_BUY,182.01,2021-05-18,HOLDING_PERIOD_EXIT,227.22,90,24.84,2484.0,70,"C-Suite Conviction Buy: Insider_AMD_2021_1 (Chief Financial Officer) open-market purchase of $175,593.00",0000002488-21-000001,https://www.sec.gov/edgar/browse/?CIK=0000002488,data/industries/information_technology/semiconductors/AMD_insider_trades.csv
AMD,Advanced Micro Devices Inc.,Information Technology,Semiconductors,2021-02-17,CLUSTER_BUY,182.01,2021-05-18,HOLDING_PERIOD_EXIT,227.22,90,24.84,2484.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $541,665.00 within 14 days",0000002488-21-000002,https://www.sec.gov/edgar/browse/?CIK=0000002488,data/industries/information_technology/semiconductors/AMD_insider_trades.csv
SNPS,Synopsys Inc.,Information Technology,Software - Infrastructure,2021-02-22,CLUSTER_BUY,127.52,2021-05-23,HOLDING_PERIOD_EXIT,169.75,90,33.12,3312.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $161,238.00 within 14 days",0000883241-21-000006,https://www.sec.gov/edgar/browse/?CIK=0000883241,data/industries/information_technology/software_infrastructure/SNPS_insider_trades.csv
UPS,United Parcel Service Inc.,Industrials,Integrated Freight & Logistics,2021-03-01,CONVICTION_BUY,175.38,2021-05-30,HOLDING_PERIOD_EXIT,228.84,90,30.48,3048.0,90,"C-Suite Conviction Buy: Insider_UPS_2021_4 (Chief Financial Officer) open-market purchase of $939,948.00",0001090727-21-000004,https://www.sec.gov/edgar/browse/?CIK=0001090727,data/industries/industrials/integrated_freight_logistics/UPS_insider_trades.csv
TSLA,Tesla Inc.,Consumer Discretionary,Automotive,2021-03-07,CONVICTION_BUY,202.46,2021-06-05,HOLDING_PERIOD_EXIT,251.78,90,24.36,2436.0,80,"C-Suite Conviction Buy: Insider_TSLA_2021_2 (Chief Financial Officer) open-market purchase of $278,320.00",0001318605-21-000002,https://www.sec.gov/edgar/browse/?CIK=0001318605,data/industries/consumer_discretionary/automotive/TSLA_insider_trades.csv
ACN,Accenture plc,Information Technology,IT Services,2021-03-10,CLUSTER_BUY,137.53,2021-06-08,HOLDING_PERIOD_EXIT,177.96,90,29.4,2940.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,124,491.00 within 14 days",0001467373-21-000004,https://www.sec.gov/edgar/browse/?CIK=0001467373,data/industries/information_technology/it_services/ACN_insider_trades.csv
RTX,RTX Corporation,Industrials,Aerospace & Defense,2021-03-10,CONVICTION_BUY,155.29,2021-06-08,HOLDING_PERIOD_EXIT,170.2,90,9.6,960.0,90,"C-Suite Conviction Buy: Insider_RTX_2021_10 (Chief Financial Officer) open-market purchase of $587,424.00",0000101829-21-000010,https://www.sec.gov/edgar/browse/?CIK=0000101829,data/industries/industrials/aerospace_defense/RTX_insider_trades.csv
INTC,Intel Corporation,Information Technology,Semiconductors,2021-03-11,CLUSTER_BUY,124.56,2021-05-29,TAKE_PROFIT_TARGET,174.38,79,40.0,4000.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,774,291.00 within 14 days",0000050863-21-000005,https://www.sec.gov/edgar/browse/?CIK=0000050863,data/industries/information_technology/semiconductors/INTC_insider_trades.csv
C,Citigroup Inc.,Financials,Banks - Diversified,2021-03-13,HEAVY_SELL_EXIT,162.78,2021-05-26,TAKE_PROFIT_TARGET,227.89,74,40.0,4000.0,85,"Heavy Sell Exit: 2 executives sold $2,324,519.00 over 14 days",0000831001-21-000009,https://www.sec.gov/edgar/browse/?CIK=0000831001,data/industries/financials/banks_diversified/C_insider_trades.csv
C,Citigroup Inc.,Financials,Banks - Diversified,2021-03-15,HEAVY_SELL_EXIT,135.68,2021-06-12,TAKE_PROFIT_TARGET,189.95,89,40.0,4000.0,85,"Heavy Sell Exit: 2 executives sold $2,324,519.00 over 14 days",0000831001-21-000009,https://www.sec.gov/edgar/browse/?CIK=0000831001,data/industries/financials/banks_diversified/C_insider_trades.csv
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,2021-03-16,CONVICTION_BUY,161.59,2021-06-10,TAKE_PROFIT_TARGET,226.23,86,40.0,4000.0,80,"C-Suite Conviction Buy: Insider_LMT_2021_1 (Chief Executive Officer) open-market purchase of $255,229.00",0000936468-21-000001,https://www.sec.gov/edgar/browse/?CIK=0000936468,data/industries/industrials/aerospace_defense/LMT_insider_trades.csv
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,2021-03-16,CLUSTER_BUY,161.59,2021-06-10,TAKE_PROFIT_TARGET,226.23,86,40.0,4000.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $324,181.00 within 14 days",0000936468-21-000012,https://www.sec.gov/edgar/browse/?CIK=0000936468,data/industries/industrials/aerospace_defense/LMT_insider_trades.csv
SBUX,Starbucks Corporation,Consumer Discretionary,Restaurants,2021-03-17,CONVICTION_BUY,241.28,2021-06-15,HOLDING_PERIOD_EXIT,213.77,90,-11.4,-1140.0,95,"C-Suite Conviction Buy: Insider_SBUX_2021_9 (Chief Financial Officer) open-market purchase of $1,298,299.00",0000829224-21-000009,https://www.sec.gov/edgar/browse/?CIK=0000829224,data/industries/consumer_discretionary/restaurants/SBUX_insider_trades.csv
RTX,RTX Corporation,Industrials,Aerospace & Defense,2021-03-17,CONVICTION_BUY,116.11,2021-06-15,HOLDING_PERIOD_EXIT,138.26,90,19.08,1908.0,90,"C-Suite Conviction Buy: Insider_RTX_2021_10 (Chief Financial Officer) open-market purchase of $587,424.00",0000101829-21-000010,https://www.sec.gov/edgar/browse/?CIK=0000101829,data/industries/industrials/aerospace_defense/RTX_insider_trades.csv
RTX,RTX Corporation,Industrials,Aerospace & Defense,2021-03-17,CLUSTER_BUY,116.11,2021-06-15,HOLDING_PERIOD_EXIT,138.26,90,19.08,1908.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $2,092,166.00 within 14 days",0000101829-21-000010,https://www.sec.gov/edgar/browse/?CIK=0000101829,data/industries/industrials/aerospace_defense/RTX_insider_trades.csv
BA,The Boeing Company,Industrials,Aerospace & Defense,2021-03-20,CONVICTION_BUY,267.54,2021-04-19,STOP_LOSS_EXIT,235.44,30,-12.0,-1200.0,90,"C-Suite Conviction Buy: Insider_BA_2021_7 (Chief Financial Officer) open-market purchase of $713,440.00",0000012927-21-000007,https://www.sec.gov/edgar/browse/?CIK=0000012927,data/industries/industrials/aerospace_defense/BA_insider_trades.csv
BA,The Boeing Company,Industrials,Aerospace & Defense,2021-03-20,CLUSTER_BUY,267.54,2021-04-19,STOP_LOSS_EXIT,235.44,30,-12.0,-1200.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,095,160.00 within 14 days",0000012927-21-000003,https://www.sec.gov/edgar/browse/?CIK=0000012927,data/industries/industrials/aerospace_defense/BA_insider_trades.csv
COST,Costco Wholesale Corporation,Consumer Staples,Discount Stores,2021-03-23,HEAVY_SELL_EXIT,214.58,2021-06-21,HOLDING_PERIOD_EXIT,190.76,90,-11.1,-1110.0,75,"Heavy Sell Exit: 2 executives sold $1,098,864.00 over 14 days",0000909832-21-000006,https://www.sec.gov/edgar/browse/?CIK=0000909832,data/industries/consumer_staples/discount_stores/COST_insider_trades.csv
GILD,Gilead Sciences Inc.,Health Care,Biotechnology,2021-03-27,CONVICTION_BUY,99.07,2021-06-23,TAKE_PROFIT_TARGET,138.7,88,40.0,4000.0,95,"C-Suite Conviction Buy: Insider_GILD_2021_1 (Chief Financial Officer) open-market purchase of $1,197,747.00",0000882095-21-000001,https://www.sec.gov/edgar/browse/?CIK=0000882095,data/industries/health_care/biotechnology/GILD_insider_trades.csv
