ticker,company_name,sector,industry,entry_date,entry_signal,entry_price,exit_date,exit_reason,exit_price,holding_days,return_pct,pnl_dollar,confidence_score,trigger_reason,trigger_accession,trigger_url,local_source_file
AXP,American Express Company,Financials,Credit Services,2026-01-20,CLUSTER_BUY,248.7,2026-05-29,HOLDING_PERIOD_EXIT,243.07,90,-2.26,-226.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $677,940.00 within 14 days",0000004962-26-000013,https://www.sec.gov/edgar/browse/?CIK=0000004962,data/industries/financials/credit_services/AXP_insider_trades.csv
PANW,Palo Alto Networks Inc.,Information Technology,Software - Infrastructure,2026-01-27,CLUSTER_BUY,338.35,2026-06-05,HOLDING_PERIOD_EXIT,346.48,90,2.4,240.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,674,509.00 within 14 days",0001326801-26-000006,https://www.sec.gov/edgar/browse/?CIK=0001326801,data/industries/information_technology/software_infrastructure/PANW_insider_trades.csv
ABT,Abbott Laboratories,Health Care,Medical Devices,2026-01-27,CLUSTER_BUY,113.72,2026-06-05,HOLDING_PERIOD_EXIT,116.73,90,2.65,265.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $840,928.00 within 14 days",0000001800-26-000002,https://www.sec.gov/edgar/browse/?CIK=0000001800,data/industries/health_care/medical_devices/ABT_insider_trades.csv
AMGN,Amgen Inc.,Health Care,Biotechnology,2026-02-04,CLUSTER_BUY,312.92,2026-06-15,HOLDING_PERIOD_EXIT,324.05,90,3.56,356.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $813,009.00 within 14 days",0000031462-26-000004,https://www.sec.gov/edgar/browse/?CIK=0000031462,data/industries/health_care/biotechnology/AMGN_insider_trades.csv
BA,The Boeing Company,Industrials,Aerospace & Defense,2026-02-13,CLUSTER_BUY,190.68,2026-06-25,HOLDING_PERIOD_EXIT,197.59,90,3.62,362.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $680,087.00 within 14 days",0000012927-26-000004,https://www.sec.gov/edgar/browse/?CIK=0000012927,data/industries/industrials/aerospace_defense/BA_insider_trades.csv
BA,The Boeing Company,Industrials,Aerospace & Defense,2026-02-19,CLUSTER_BUY,198.38,2026-06-30,HOLDING_PERIOD_EXIT,200.44,90,1.04,104.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $680,087.00 within 14 days",0000012927-26-000004,https://www.sec.gov/edgar/browse/?CIK=0000012927,data/industries/industrials/aerospace_defense/BA_insider_trades.csv
AMD,Advanced Micro Devices Inc.,Information Technology,Semiconductors,2026-02-26,CLUSTER_BUY,440.38,2026-07-08,HOLDING_PERIOD_EXIT,461.65,90,4.83,483.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $654,663.00 within 14 days",0000002488-26-000005,https://www.sec.gov/edgar/browse/?CIK=0000002488,data/industries/information_technology/semiconductors/AMD_insider_trades.csv
BA,The Boeing Company,Industrials,Aerospace & Defense,2026-02-26,CLUSTER_BUY,198.39,2026-07-08,HOLDING_PERIOD_EXIT,198.54,90,0.08,8.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,147,175.00 within 14 days",0000012927-26-000007,https://www.sec.gov/edgar/browse/?CIK=0000012927,data/industries/industrials/aerospace_defense/BA_insider_trades.csv
AMD,Advanced Micro Devices Inc.,Information Technology,Semiconductors,2026-02-27,CLUSTER_BUY,435.35,2026-07-09,HOLDING_PERIOD_EXIT,469.77,90,7.91,791.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $654,663.00 within 14 days",0000002488-26-000005,https://www.sec.gov/edgar/browse/?CIK=0000002488,data/industries/information_technology/semiconductors/AMD_insider_trades.csv
COP,ConocoPhillips,Energy,Oil & Gas E&P,2026-03-02,CLUSTER_BUY,124.92,2026-07-10,HOLDING_PERIOD_EXIT,122.66,90,-1.81,-181.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $2,227,388.00 within 14 days",0001163165-26-000006,https://www.sec.gov/edgar/browse/?CIK=0001163165,data/industries/energy/oil_gas_ep/COP_insider_trades.csv
DIS,The Walt Disney Company,Communication Services,Entertainment,2026-03-16,CLUSTER_BUY,113.58,2026-07-24,HOLDING_PERIOD_EXIT,115.26,90,1.48,148.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,248,426.00 within 14 days",0001744489-26-000004,https://www.sec.gov/edgar/browse/?CIK=0001744489,data/industries/communication_services/entertainment/DIS_insider_trades.csv
DIS,The Walt Disney Company,Communication Services,Entertainment,2026-03-20,CLUSTER_BUY,112.57,2026-07-30,HOLDING_PERIOD_EXIT,110.73,90,-1.63,-163.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,248,426.00 within 14 days",0001744489-26-000004,https://www.sec.gov/edgar/browse/?CIK=0001744489,data/industries/communication_services/entertainment/DIS_insider_trades.csv
JPM,JPMorgan Chase & Co.,Financials,Banks - Diversified,2026-03-23,CLUSTER_BUY,222.98,2026-07-31,HOLDING_PERIOD_EXIT,221.16,90,-0.82,-82.0,75,"Cluster Buy Trigger: 2 independent insiders purchased $1,553,450.00 within 14 days",0000019617-26-000002,https://www.sec.gov/edgar/browse/?CIK=0000019617,data/industries/financials/banks_diversified/JPM_insider_trades.csv
