ticker,company_name,sector,industry,entry_date,entry_signal,entry_price,exit_date,exit_reason,exit_price,holding_days,return_pct,pnl_dollar,confidence_score,trigger_reason,trigger_accession,trigger_url,local_source_file
VRTX,Vertex Pharmaceuticals Incorporated,Health Care,Biotechnology,2022-04-04,CLUSTER_BUY,237.99,2022-06-30,HOLDING_PERIOD_EXIT,257.47,60,8.19,819.0,85,"Cluster Buy Trigger: 3 independent insiders purchased $3,741,882.00 within 14 days",0000875320-22-000009,https://www.sec.gov/edgar/browse/?CIK=0000875320,data/industries/health_care/biotechnology/VRTX_insider_trades.csv
AAPL,Apple Inc.,Information Technology,Consumer Electronics,2022-06-15,CLUSTER_BUY,157.94,2022-09-06,STOP_LOSS_EXIT,142.15,56,-10.0,-1000.0,85,"Cluster Buy Trigger: 3 independent insiders purchased $1,597,284.00 within 14 days",0000320193-22-000008,https://www.sec.gov/edgar/browse/?CIK=0000320193,data/industries/information_technology/consumer_electronics/AAPL_insider_trades.csv
JPM,JPMorgan Chase & Co.,Financials,Banks - Diversified,2022-06-15,CLUSTER_BUY,146.02,2022-09-12,HOLDING_PERIOD_EXIT,138.08,60,-5.44,-544.0,85,"Cluster Buy Trigger: 3 independent insiders purchased $1,626,712.00 within 14 days",0000019617-22-000003,https://www.sec.gov/edgar/browse/?CIK=0000019617,data/industries/financials/banks_diversified/JPM_insider_trades.csv
MSFT,Microsoft Corporation,Information Technology,Software - Infrastructure,2022-06-17,CLUSTER_BUY,289.51,2022-09-14,HOLDING_PERIOD_EXIT,267.89,60,-7.47,-747.0,85,"Cluster Buy Trigger: 3 independent insiders purchased $2,561,364.00 within 14 days",0000789019-22-99999CEO,https://www.sec.gov/edgar/browse/?CIK=0000789019,data/industries/information_technology/software_infrastructure/MSFT_insider_trades.csv
MSFT,Microsoft Corporation,Information Technology,Software - Infrastructure,2022-06-21,CLUSTER_BUY,290.85,2022-09-15,HOLDING_PERIOD_EXIT,272.0,60,-6.48,-648.0,95,"Cluster Buy Trigger: 4 independent insiders purchased $3,718,611.00 within 14 days",0000789019-22-99999CEO,https://www.sec.gov/edgar/browse/?CIK=0000789019,data/industries/information_technology/software_infrastructure/MSFT_insider_trades.csv
MSFT,Microsoft Corporation,Information Technology,Software - Infrastructure,2022-11-25,CLUSTER_BUY,246.11,2023-02-23,HOLDING_PERIOD_EXIT,257.6,60,4.67,467.0,85,"Cluster Buy Trigger: 3 independent insiders purchased $3,155,022.00 within 14 days",0000789019-22-000008,https://www.sec.gov/edgar/browse/?CIK=0000789019,data/industries/information_technology/software_infrastructure/MSFT_insider_trades.csv
T,AT&T Inc.,Communication Services,Telecom Services,2023-05-03,CLUSTER_BUY,17.71,2023-07-31,HOLDING_PERIOD_EXIT,17.64,60,-0.4,-40.0,85,"Cluster Buy Trigger: 3 independent insiders purchased $2,568,360.00 within 14 days",0000007323-23-000002,https://www.sec.gov/edgar/browse/?CIK=0000007323,data/industries/communication_services/telecom_services/T_insider_trades.csv
MSFT,Microsoft Corporation,Information Technology,Software - Infrastructure,2023-06-15,CLUSTER_BUY,303.69,2023-09-12,HOLDING_PERIOD_EXIT,335.38,60,10.43,1043.0,85,"Cluster Buy Trigger: 3 independent insiders purchased $2,090,382.00 within 14 days",0000789019-23-000011,https://www.sec.gov/edgar/browse/?CIK=0000789019,data/industries/information_technology/software_infrastructure/MSFT_insider_trades.csv
AMGN,Amgen Inc.,Health Care,Biotechnology,2023-06-15,CLUSTER_BUY,269.89,2023-09-12,HOLDING_PERIOD_EXIT,280.36,60,3.88,388.0,85,"Cluster Buy Trigger: 3 independent insiders purchased $2,193,208.00 within 14 days",0000031462-23-000003,https://www.sec.gov/edgar/browse/?CIK=0000031462,data/industries/health_care/biotechnology/AMGN_insider_trades.csv
JPM,JPMorgan Chase & Co.,Financials,Banks - Diversified,2023-06-15,CLUSTER_BUY,147.47,2023-09-12,HOLDING_PERIOD_EXIT,160.38,60,8.75,875.0,85,"Cluster Buy Trigger: 3 independent insiders purchased $1,665,565.00 within 14 days",0000019617-23-000011,https://www.sec.gov/edgar/browse/?CIK=0000019617,data/industries/financials/banks_diversified/JPM_insider_trades.csv
